ID	Name	City	State	Country	SalesGoal
PARIS	Paris sp¨¦cialit¨¦s	shenyang	Liaoning	China	10
PERIC	Pericles Comidas cl¨¢sicas	dalian	Liaoning	China	5
PICCO	Piccolo und mehr	yingkou	Liaoning	China	5
PRINI	Princesa Isabel Vinhos	benxi	Liaoning	China	7
QUEDE	Que Del¨ªcia	Shijiazhuang	Hebei	China	11
QUEEN	Queen Cozinha	Langfang	Hebei	China	1
QUICK	QUICK-Stop	tangshan	Hebei	China	10
RANCH	Rancho grande	jinan	Shandong	China	7
RATTC	Rattlesnake Canyon Grocery	qingdao	Shandong	China	5
REGGC	Reggiani Caseifici	dongying	Shandong	China	2
RICAR	Ricardo Adocicados	Ankleiqi	Alaska	USA	5
RICSU	Richter Supermarkt	Fermi	Alaska	USA	3
ROMEY	Romero y tomillo	Los Angeles	California	USA	4
SANTG	Sant¨¦ Gourmet	Hollywood	California	USA	10
SAVEA	Save-a-lot Markets	shenyang	Liaoning	China	4
SEVES	Seven Seas Imports	dalian	Liaoning	China	8
SIMOB	Simons bistro	yingkou	Liaoning	China	4
SPECD	Sp¨¦cialit¨¦s du monde	benxi	Liaoning	China	1
SPLIR	Split Rail Beer & Ale	Shijiazhuang	Hebei	China	8
SUPRD	Supr¨ºmes d¨¦lices	Langfang	Hebei	China	7
THEBI	The Big Cheese	tangshan	Hebei	China	8
THECR	The Cracker Box	jinan	Shandong	China	11
TOMSP	Toms Spezialit?ten	qingdao	Shandong	China	2
TORTU	Tortuga Restaurante	dongying	Shandong	China	1
TRADH	Tradi??o Hipermercados	Ankleiqi	Alaska	USA	10
TRAIH	Trail's Head Gourmet Provisioners	Fermi	Alaska	USA	7
VAFFE	Vaffeljernet	Los Angeles	California	USA	2
VICTE	Victuailles en stock	Hollywood	California	USA	1
VINET	Vins et alcools Chevalier	shenyang	Liaoning	China	2
WANDK	Die Wandernde Kuh	dalian	Liaoning	China	11
WARTH	Wartian Herkku	yingkou	Liaoning	China	11
WELLI	Wellington Importadora	benxi	Liaoning	China	11
WHITC	White Clover Markets	Shijiazhuang	Hebei	China	1
WILMK	Wilman Kala	Langfang	Hebei	China	3
WOLZA	Wolski  Zajazd	tangshan	Hebei	China	5
