Subscriber	Time	CalledNo	Length	isLocal	isOutgoing	isRoaming
10009	2010-01-12 04:14:42	--------	193	true	false	false
10008	2010-01-12 04:47:15	--------	3256	false	false	false
10006	2010-01-12 05:01:12	--------	172	true	true	false
10002	2010-01-12 06:34:12	--------	148	true	false	false
10009	2010-01-12 06:52:48	--------	242	true	true	true
10000	2010-01-12 07:34:39	--------	258	false	true	false
10005	2010-01-12 07:43:57	--------	2817	true	false	false
10003	2010-01-12 07:48:36	--------	214	true	true	false
10000	2010-01-12 08:07:12	--------	2707	true	false	false
10004	2010-01-12 13:00:09	--------	298	true	false	false
10005	2010-01-12 13:32:42	--------	274	true	true	false
10009	2010-01-12 13:46:39	--------	241	true	true	true
10009	2010-01-12 16:10:48	--------	22	true	true	false
10005	2010-01-12 17:57:45	--------	91	false	false	false
10010	2010-01-12 18:30:18	--------	172	true	false	true
10010	2010-01-12 18:48:54	--------	205	false	true	true
10002	2010-01-12 20:12:36	--------	1427	true	true	false
10004	2010-01-12 21:45:36	--------	56	true	false	false
10007	2010-01-12 23:13:57	--------	295	true	false	false
10007	2010-01-12 23:18:36	--------	37	true	true	false
10002	2010-01-13 00:23:42	--------	278	true	false	false
10003	2010-01-13 02:19:57	--------	201	true	true	false
10003	2010-01-13 02:52:30	--------	271	false	false	false
10002	2010-01-13 04:02:15	--------	238	false	false	false
10005	2010-01-13 07:08:15	--------	64	true	false	false
10003	2010-01-13 07:31:30	--------	172	false	false	false
10009	2010-01-13 08:31:57	--------	257	false	false	false
10009	2010-01-13 12:33:45	--------	2767	true	true	false
10008	2010-01-01 00:24:18	--------	113	true	false	true
10002	2010-01-01 00:56:51	--------	54	true	false	false
10009	2010-01-01 00:56:51	--------	167	false	false	false
10003	2010-01-01 01:06:09	--------	137	true	false	false
10005	2010-01-01 01:10:48	--------	85	true	false	false
10005	2010-01-01 02:15:54	--------	1484	true	true	false
10007	2010-01-01 02:29:51	--------	283	true	true	false
10005	2010-01-01 02:43:48	--------	252	false	false	false
10008	2010-01-01 03:21:00	--------	198	true	false	false
10006	2010-01-01 03:53:33	--------	246	true	false	false
10009	2010-01-01 06:27:00	--------	205	true	true	false
10002	2010-01-01 08:32:33	--------	181	false	true	false
10002	2010-01-01 09:56:15	--------	224	true	false	false
10004	2010-01-01 10:19:30	--------	278	true	false	false
10007	2010-01-01 10:28:48	--------	236	true	true	true
10004	2010-01-01 12:25:03	--------	168	true	true	false
10004	2010-01-01 14:16:39	--------	283	true	false	false
10007	2010-01-01 15:54:18	--------	2288	true	false	true
10000	2010-01-01 17:55:12	--------	300	true	true	true
10004	2010-01-01 18:18:27	--------	231	true	true	false
10005	2010-01-01 19:04:57	--------	25	true	false	false
10006	2010-01-01 19:14:15	--------	87	true	false	false
10004	2010-01-01 19:18:54	--------	257	true	false	false
10004	2010-01-01 20:42:36	--------	274	true	false	false
10001	2010-01-02 00:11:51	--------	137	true	false	false
10005	2010-01-02 00:11:51	--------	225	true	true	false
10006	2010-01-02 01:16:57	--------	213	true	false	false
10005	2010-01-02 01:30:54	--------	63	true	false	false
10001	2010-01-02 01:58:48	--------	65	false	true	false
10009	2010-01-02 02:17:24	--------	143	true	false	false
10008	2010-01-02 03:08:33	--------	95	true	false	false
10005	2010-01-02 03:41:06	--------	301	false	true	false
10010	2010-01-02 06:09:54	--------	139	true	false	false
10005	2010-01-02 07:47:33	--------	256	true	true	false
10006	2010-01-02 08:29:24	--------	135	true	false	false
10002	2010-01-02 09:15:54	--------	143	true	true	false
10010	2010-01-02 10:39:36	--------	234	true	true	true
10001	2010-01-02 12:17:15	--------	184	true	true	false
10005	2010-01-02 12:31:12	--------	166	true	false	false
10006	2010-01-02 13:45:36	--------	28	true	false	false
10001	2010-01-02 17:10:12	--------	169	true	false	false
10010	2010-01-02 18:15:18	--------	112	true	false	false
10004	2010-01-02 18:24:36	--------	288	true	false	false
10001	2010-01-02 20:16:12	--------	22	true	true	true
10004	2010-01-02 21:21:18	--------	62	true	true	false
10006	2010-01-03 00:27:18	--------	177	true	false	false
10005	2010-01-03 01:37:03	--------	82	true	false	false
10006	2010-01-03 01:55:39	--------	116	true	true	false
10001	2010-01-03 03:47:15	--------	46	true	false	false
10009	2010-01-03 04:47:42	--------	253	true	false	true
10005	2010-01-03 06:20:42	--------	1249	true	false	false
10005	2010-01-03 07:25:48	--------	60	true	true	false
10003	2010-01-03 07:35:06	--------	69	true	false	false
10002	2010-01-03 07:49:03	--------	68	true	true	false
10002	2010-01-03 08:30:54	--------	175	true	false	false
10010	2010-01-03 08:30:54	--------	189	true	false	true
10010	2010-01-03 12:18:45	--------	231	true	true	false
10008	2010-01-03 12:51:18	--------	150	true	false	false
10000	2010-01-03 14:42:54	--------	31	true	false	false
10010	2010-01-03 17:25:39	--------	177	false	true	false
10001	2010-01-03 21:27:27	--------	52	false	true	false
10008	2010-01-03 21:50:42	--------	289	false	false	false
10005	2010-01-03 22:23:15	--------	183	true	true	false
10008	2010-01-03 22:41:51	--------	203	true	true	false
10007	2010-01-03 23:51:36	--------	134	true	true	false
10004	2010-01-04 00:00:54	--------	143	true	false	false
10005	2010-01-04 01:24:36	--------	269	false	false	false
10006	2010-01-04 02:06:27	--------	234	true	true	false
10005	2010-01-04 02:48:18	--------	56	true	true	false
10009	2010-01-04 04:44:33	--------	210	true	true	false
10002	2010-01-04 05:35:42	--------	313	false	true	false
10010	2010-01-04 07:55:12	--------	76	true	true	false
10002	2010-01-04 08:41:42	--------	141	true	false	false
10005	2010-01-04 09:14:15	--------	75	true	false	false
10006	2010-01-04 11:52:21	--------	278	false	false	false
10009	2010-01-04 12:57:27	--------	169	false	true	false
10009	2010-01-04 13:53:15	--------	136	true	true	false
10002	2010-01-04 17:22:30	--------	229	true	false	false
10002	2010-01-04 19:51:18	--------	243	true	true	false
10002	2010-01-04 22:10:48	--------	2619	false	false	false
10001	2010-01-04 22:34:03	--------	231	true	true	false
10001	2010-01-04 22:52:39	--------	223	true	false	false
10009	2010-01-04 23:34:30	--------	225	true	true	false
10009	2010-01-05 00:02:24	--------	33	true	true	false
10000	2010-01-05 00:07:03	--------	48	true	false	false
10010	2010-01-05 00:21:00	--------	248	true	false	false
10008	2010-01-05 00:34:57	--------	2066	true	false	false
10004	2010-01-05 00:39:36	--------	278	false	false	false
10004	2010-01-05 04:08:51	--------	203	false	false	false
10004	2010-01-05 04:18:09	--------	198	true	true	false
10007	2010-01-05 05:04:39	--------	159	true	false	false
10007	2010-01-05 09:11:06	--------	64	true	true	true
10009	2010-01-05 10:58:03	--------	183	false	true	false
10010	2010-01-05 12:45:00	--------	3312	true	false	false
10009	2010-01-05 12:49:39	--------	2210	false	false	false
10002	2010-01-05 13:08:15	--------	106	true	false	false
10009	2010-01-05 13:17:33	--------	125	true	false	false
10004	2010-01-05 13:54:45	--------	209	true	false	false
10001	2010-01-05 16:46:48	--------	270	true	false	false
10004	2010-01-05 16:51:27	--------	151	false	false	false
10002	2010-01-05 17:37:57	--------	135	true	true	false
10009	2010-01-05 19:01:39	--------	2872	true	false	false
10008	2010-01-05 19:34:12	--------	173	true	true	false
10001	2010-01-05 20:20:42	--------	235	true	true	false
10001	2010-01-05 20:25:21	--------	157	false	true	false
10003	2010-01-05 20:25:21	--------	217	false	true	false
10004	2010-01-05 20:25:21	--------	161	false	false	false
10006	2010-01-05 20:30:00	--------	77	true	false	false
10007	2010-01-05 21:21:09	--------	228	true	true	false
10006	2010-01-05 22:44:51	--------	257	true	true	false
10009	2010-01-05 22:49:30	--------	36	true	true	false
10002	2010-01-05 23:17:24	--------	154	true	true	false
10006	2010-01-05 23:40:39	--------	2102	true	false	false
10006	2010-01-06 02:18:45	--------	285	true	false	false
10004	2010-01-06 04:24:18	--------	253	true	true	false
10009	2010-01-06 05:20:06	--------	317	false	false	false
10000	2010-01-06 06:15:54	--------	133	true	false	false
10006	2010-01-06 08:21:27	--------	64	true	false	false
10008	2010-01-06 08:21:27	--------	122	true	true	false
10003	2010-01-06 11:50:42	--------	244	false	true	false
10007	2010-01-06 13:42:18	--------	118	true	true	true
10004	2010-01-06 14:42:45	--------	310	true	false	false
10004	2010-01-06 16:15:45	--------	265	true	true	false
10008	2010-01-06 16:15:45	--------	2052	true	false	false
10009	2010-01-06 17:30:09	--------	102	true	true	false
10001	2010-01-06 19:07:48	--------	1094	true	true	false
10006	2010-01-06 19:12:27	--------	90	false	true	false
10004	2010-01-06 19:21:45	--------	1381	true	false	false
10008	2010-01-06 19:45:00	--------	102	true	false	false
10009	2010-01-06 20:45:27	--------	141	true	false	false
10000	2010-01-06 21:50:33	--------	140	true	false	false
10008	2010-01-06 22:46:21	--------	146	true	true	false
10008	2010-01-06 23:14:15	--------	273	false	false	false
10000	2010-01-06 23:42:09	--------	60	true	false	false
10006	2010-01-07 02:01:39	--------	146	true	true	false
10000	2010-01-07 02:57:27	--------	232	true	false	false
10005	2010-01-07 04:11:51	--------	217	true	false	false
10008	2010-01-07 05:40:12	--------	108	false	false	false
10007	2010-01-07 06:59:15	--------	3365	true	false	false
10005	2010-01-07 07:36:27	--------	24	true	false	false
10006	2010-01-07 07:55:03	--------	136	true	true	false
10003	2010-01-07 08:13:39	--------	233	true	true	false
10005	2010-01-07 09:32:42	--------	233	true	true	false
10008	2010-01-07 10:00:36	--------	133	false	false	false
10004	2010-01-07 10:14:33	--------	76	false	false	false
10003	2010-01-07 10:19:12	--------	229	true	false	false
10008	2010-01-07 11:01:03	--------	287	true	false	false
10008	2010-01-07 11:24:18	--------	203	false	true	false
10005	2010-01-07 11:28:57	--------	38	true	true	false
10010	2010-01-07 11:28:57	--------	122	false	false	false
10004	2010-01-07 12:15:27	--------	173	true	false	false
10008	2010-01-07 13:01:57	--------	148	true	true	false
10001	2010-01-07 13:57:45	--------	232	true	true	false
10008	2010-01-07 14:02:24	--------	247	false	false	false
10010	2010-01-07 14:21:00	--------	52	true	true	false
10006	2010-01-07 15:26:06	--------	188	true	false	false
10009	2010-01-07 15:35:24	--------	318	true	true	false
10010	2010-01-07 16:03:18	--------	287	false	false	false
10008	2010-01-07 16:12:36	--------	166	true	true	false
10002	2010-01-07 16:21:54	--------	205	false	false	false
10010	2010-01-07 16:35:51	--------	215	true	false	false
10008	2010-01-07 17:22:21	--------	276	true	false	false
10005	2010-01-07 17:40:57	--------	93	false	true	false
10006	2010-01-07 17:59:33	--------	55	true	false	false
10002	2010-01-07 18:18:09	--------	47	true	true	false
10002	2010-01-07 18:50:42	--------	260	false	false	false
10007	2010-01-07 20:46:57	--------	29	false	true	false
10009	2010-01-08 01:07:21	--------	38	true	true	true
10007	2010-01-08 01:49:12	--------	283	true	false	false
10004	2010-01-08 03:03:36	--------	275	true	true	false
10000	2010-01-08 03:17:33	--------	137	false	true	false
10009	2010-01-08 04:22:39	--------	285	false	true	false
10004	2010-01-08 05:32:24	--------	118	true	false	false
10000	2010-01-08 07:10:03	--------	105	true	false	false
10006	2010-01-08 08:29:06	--------	138	true	true	true
10001	2010-01-08 08:47:42	--------	91	false	true	false
10001	2010-01-08 09:06:18	--------	60	true	true	false
10000	2010-01-08 09:24:54	--------	35	true	false	false
10010	2010-01-08 11:11:51	--------	241	true	false	false
10007	2010-01-08 11:16:30	--------	268	true	false	false
10001	2010-01-08 12:26:15	--------	48	true	true	false
10004	2010-01-08 13:22:03	--------	198	true	false	false
10004	2010-01-08 14:17:51	--------	198	true	true	true
10003	2010-01-08 15:41:33	--------	150	true	true	false
10008	2010-01-08 15:46:12	--------	44	true	true	false
10001	2010-01-08 16:00:09	--------	235	true	false	true
10006	2010-01-08 16:00:09	--------	141	true	false	false
10002	2010-01-08 22:26:06	--------	21	true	true	false
10009	2010-01-13 14:11:24	--------	171	true	false	false
10008	2010-01-13 17:22:03	--------	240	true	false	false
10004	2010-01-13 18:50:24	--------	148	true	false	false
10008	2010-01-13 20:23:24	--------	319	false	false	false
10001	2010-01-13 21:47:06	--------	284	false	true	false
10003	2010-01-14 00:01:57	--------	161	true	true	false
10010	2010-01-14 00:15:54	--------	127	true	true	false
10010	2010-01-14 02:44:42	--------	133	true	false	false
10007	2010-01-14 02:54:00	--------	252	true	false	false
10004	2010-01-14 04:59:33	--------	20	true	true	true
10001	2010-01-14 05:27:27	--------	297	true	false	false
10008	2010-01-14 06:41:51	--------	1757	true	true	false
10007	2010-01-14 08:14:51	--------	56	true	true	false
10003	2010-01-14 08:38:06	--------	188	true	true	false
10004	2010-01-14 08:42:45	--------	25	true	false	false
10007	2010-01-14 12:12:00	--------	196	true	true	false
10008	2010-01-14 15:36:36	--------	286	true	false	false
10006	2010-01-14 15:55:12	--------	2017	true	false	false
10002	2010-01-14 17:00:18	--------	247	true	true	false
10007	2010-01-14 17:09:36	--------	140	true	true	false
10002	2010-01-14 18:47:15	--------	86	false	false	false
10010	2010-01-14 20:24:54	--------	142	true	true	false
10002	2010-01-14 21:02:06	--------	159	true	true	false
10004	2010-01-14 21:25:21	--------	25	false	false	false
10002	2010-01-14 21:48:36	--------	267	true	true	false
10002	2010-01-14 22:21:09	--------	207	true	false	true
10000	2010-01-15 00:49:57	--------	241	true	false	false
10008	2010-01-15 01:08:33	--------	61	true	true	false
10004	2010-01-15 01:13:12	--------	181	true	true	false
10002	2010-01-15 01:17:51	--------	86	true	false	false
10010	2010-01-15 04:47:06	--------	158	true	false	false
10006	2010-01-15 05:10:21	--------	266	true	true	false
10008	2010-01-15 05:15:00	--------	172	true	false	false
10007	2010-01-15 05:42:54	--------	82	true	true	false
10002	2010-01-15 06:43:21	--------	174	false	false	false
10008	2010-01-15 07:01:57	--------	82	true	true	false
10002	2010-01-15 08:53:33	--------	76	true	false	false
10005	2010-01-15 09:12:09	--------	228	true	true	false
10005	2010-01-15 09:21:27	--------	183	false	false	true
10003	2010-01-15 10:17:15	--------	126	true	true	false
10002	2010-01-15 13:04:39	--------	3170	true	false	false
10010	2010-01-15 15:42:45	--------	40	true	false	true
10008	2010-01-15 18:20:51	--------	172	true	false	true
10001	2010-01-15 20:49:39	--------	29	true	true	false
10010	2010-01-15 21:08:15	--------	257	true	false	false
10006	2010-01-15 21:17:33	--------	169	true	false	false
10005	2010-01-15 21:59:24	--------	58	true	false	false
10002	2010-01-15 22:18:00	--------	311	false	false	false
10003	2010-01-15 23:51:00	--------	2111	true	false	false
10008	2010-01-16 00:42:09	--------	59	true	false	false
10003	2010-01-16 00:51:27	--------	183	false	true	false
10004	2010-01-16 02:43:03	--------	264	true	true	false
10002	2010-01-16 02:57:00	--------	208	true	false	false
10007	2010-01-16 03:24:54	--------	22	true	false	false
10007	2010-01-16 03:43:30	--------	214	false	false	false
10004	2010-01-16 04:06:45	--------	76	true	true	false
10002	2010-01-16 04:57:54	--------	164	true	true	false
10000	2010-01-16 05:30:27	--------	259	true	false	false
10002	2010-01-16 05:35:06	--------	171	true	false	false
10006	2010-01-16 05:39:45	--------	146	true	false	false
10003	2010-01-16 06:26:15	--------	209	false	true	false
10007	2010-01-16 07:17:24	--------	108	false	false	false
10001	2010-01-16 07:22:03	--------	128	false	true	false
10002	2010-01-16 07:22:03	--------	3364	true	false	false
10001	2010-01-16 07:36:00	--------	118	true	true	false
10009	2010-01-16 08:36:27	--------	223	true	false	true
10001	2010-01-16 10:04:48	--------	94	true	false	false
10006	2010-01-16 10:42:00	--------	29	true	false	false
10005	2010-01-16 12:15:00	--------	24	true	true	true
10002	2010-01-16 13:29:24	--------	93	true	true	false
10004	2010-01-16 15:07:03	--------	44	true	false	false
10002	2010-01-16 16:49:21	--------	161	true	true	false
10010	2010-01-16 17:07:57	--------	209	false	true	false
10005	2010-01-16 19:32:06	--------	313	false	false	false
10003	2010-01-16 20:55:48	--------	58	false	false	false
10003	2010-01-16 21:05:06	--------	302	true	false	false
10000	2010-01-16 23:52:30	--------	259	true	false	false
10003	2010-01-17 00:39:00	--------	251	false	true	false
10009	2010-01-17 00:39:00	--------	36	true	false	true
10004	2010-01-17 01:02:15	--------	71	false	true	false
10006	2010-01-17 02:44:33	--------	172	true	true	false
10009	2010-01-17 04:17:33	--------	47	true	false	true
10009	2010-01-17 04:45:27	--------	217	true	false	false
10005	2010-01-17 05:45:54	--------	84	true	true	false
10000	2010-01-17 07:04:57	--------	212	true	false	false
10006	2010-01-17 07:04:57	--------	181	true	true	false
10000	2010-01-17 08:33:18	--------	1893	false	true	false
10004	2010-01-17 09:01:12	--------	3248	true	true	false
10002	2010-01-17 10:43:30	--------	190	false	false	false
10007	2010-01-17 14:08:06	--------	278	true	true	false
10009	2010-01-17 15:08:33	--------	267	true	true	false
10007	2010-01-17 15:17:51	--------	291	true	false	false
10004	2010-01-17 17:00:09	--------	138	true	true	false
10000	2010-01-17 18:00:36	--------	106	true	true	false
10005	2010-01-17 23:54:00	--------	237	true	true	false
10000	2010-01-18 00:26:33	--------	90	true	false	false
10010	2010-01-18 01:08:24	--------	256	true	true	false
10010	2010-01-18 01:17:42	--------	186	true	false	false
10010	2010-01-18 01:36:18	--------	287	true	true	false
10008	2010-01-18 01:50:15	--------	37	false	false	false
10003	2010-01-18 01:59:33	--------	97	true	false	false
10006	2010-01-18 02:18:09	--------	245	false	false	false
10010	2010-01-18 02:41:24	--------	197	true	false	false
10002	2010-01-18 04:23:42	--------	222	true	false	false
10003	2010-01-18 04:28:21	--------	166	true	false	false
10007	2010-01-18 05:56:42	--------	32	true	true	false
10008	2010-01-18 09:21:18	--------	236	false	true	false
10002	2010-01-18 09:30:36	--------	303	false	false	false
10008	2010-01-18 11:03:36	--------	1039	true	true	false
10001	2010-01-18 11:31:30	--------	49	true	false	false
10007	2010-01-18 12:45:54	--------	136	false	true	true
10009	2010-01-18 13:18:27	--------	197	true	false	false
10005	2010-01-18 13:37:03	--------	177	true	false	false
10005	2010-01-18 15:56:33	--------	177	true	true	false
10001	2010-01-18 17:10:57	--------	93	true	true	false
10002	2010-01-18 17:57:27	--------	99	true	true	false
10007	2010-01-18 17:57:27	--------	128	true	true	false
10006	2010-01-18 18:02:06	--------	3202	true	false	false
10006	2010-01-18 19:11:51	--------	88	true	true	false
10003	2010-01-18 20:12:18	--------	3416	true	false	false
10002	2010-01-18 20:58:48	--------	33	false	false	false
10002	2010-01-18 22:27:09	--------	41	true	true	false
10006	2010-01-18 23:50:51	--------	157	true	true	false
10002	2010-01-19 01:56:24	--------	107	true	false	true
10010	2010-01-19 02:05:42	--------	143	true	false	false
10001	2010-01-19 02:19:39	--------	30	false	true	false
10002	2010-01-19 05:53:33	--------	52	true	true	false
10002	2010-01-19 06:54:00	--------	32	false	false	false
10010	2010-01-19 08:08:24	--------	39	true	false	false
10008	2010-01-19 09:04:12	--------	288	true	true	true
10004	2010-01-19 11:14:24	--------	44	true	true	false
10003	2010-01-19 12:10:12	--------	261	true	false	true
10004	2010-01-19 13:29:15	--------	247	true	true	false
10010	2010-01-19 14:52:57	--------	226	true	false	false
10007	2010-01-19 15:11:33	--------	129	true	true	false
10002	2010-01-19 16:44:33	--------	264	true	false	false
10004	2010-01-19 17:12:27	--------	50	false	true	false
10001	2010-01-19 18:26:51	--------	71	false	true	false
10005	2010-01-19 18:45:27	--------	271	true	true	true
10001	2010-01-19 19:18:00	--------	40	true	true	false
10007	2010-01-19 19:50:33	--------	89	true	true	false
10007	2010-01-19 20:18:27	--------	301	true	true	false
10009	2010-01-19 22:24:00	--------	158	true	false	false
10007	2010-01-19 22:47:15	--------	2566	true	false	false
10006	2010-01-19 23:10:30	--------	144	true	true	false
10004	2010-01-20 01:57:54	--------	164	true	true	true
10000	2010-01-20 02:49:03	--------	45	true	true	false
10008	2010-01-20 03:49:30	--------	2421	true	false	false
10005	2010-01-20 04:36:00	--------	267	false	true	false
10009	2010-01-20 07:04:48	--------	149	false	true	false
10007	2010-01-20 08:00:36	--------	244	true	true	false
10009	2010-01-20 09:19:39	--------	239	true	false	false
10006	2010-01-20 09:47:33	--------	47	false	false	false
10004	2010-01-20 11:57:45	--------	217	true	true	false
10003	2010-01-20 12:16:21	--------	151	true	false	false
10000	2010-01-20 12:53:33	--------	2994	true	false	false
10002	2010-01-20 14:12:36	--------	226	true	true	false
10002	2010-01-20 14:35:51	--------	191	true	true	true
10004	2010-01-20 14:59:06	--------	58	true	true	false
10003	2010-01-20 15:17:42	--------	185	true	false	false
10006	2010-01-20 17:13:57	--------	144	true	true	false
10009	2010-01-20 18:19:03	--------	258	true	false	true
10005	2010-01-20 18:23:42	--------	293	true	true	false
10004	2010-01-20 18:46:57	--------	182	true	true	false
10005	2010-01-20 18:46:57	--------	120	true	false	false
10010	2010-01-20 19:28:48	--------	124	true	true	false
10009	2010-01-20 23:02:42	--------	111	true	true	true
10007	2010-01-21 00:26:24	--------	273	false	true	false
10007	2010-01-21 00:49:39	--------	259	false	false	false
10003	2010-01-21 01:50:06	--------	288	true	true	false
10004	2010-01-21 02:13:21	--------	220	true	false	false
10002	2010-01-21 02:18:00	--------	68	true	true	false
10001	2010-01-21 02:22:39	--------	249	true	true	false
10000	2010-01-21 03:18:27	--------	208	false	false	false
10008	2010-01-21 04:18:54	--------	1247	true	true	false
10007	2010-01-21 04:56:06	--------	200	true	false	false
10006	2010-01-21 05:05:24	--------	149	true	false	false
10001	2010-01-21 05:19:21	--------	1446	false	true	false
10002	2010-01-21 05:28:39	--------	170	true	false	false
10006	2010-01-21 05:37:57	--------	134	false	true	false
10002	2010-01-21 05:56:33	--------	1157	false	true	false
10009	2010-01-21 06:33:45	--------	54	true	false	false
10005	2010-01-21 06:47:42	--------	228	true	false	false
10010	2010-01-21 08:02:06	--------	137	true	false	false
10002	2010-01-21 08:11:24	--------	195	true	false	false
10002	2010-01-21 09:16:30	--------	218	true	false	false
10003	2010-01-21 09:44:24	--------	230	false	true	true
10006	2010-01-21 09:58:21	--------	210	false	false	false
10006	2010-01-21 10:12:18	--------	234	false	true	false
10009	2010-01-21 11:54:36	--------	101	true	true	true
10010	2010-01-21 13:13:39	--------	137	false	true	false
10003	2010-01-21 14:04:48	--------	1687	true	false	false
10004	2010-01-21 14:04:48	--------	142	true	true	false
10006	2010-01-21 14:28:03	--------	1793	true	false	false
10003	2010-01-21 15:47:06	--------	21	true	true	false
10003	2010-01-21 16:15:00	--------	260	true	false	false
10005	2010-01-21 17:34:03	--------	217	true	true	false
10010	2010-01-21 17:48:00	--------	32	true	true	false
10005	2010-01-21 18:11:15	--------	268	true	false	false
10004	2010-01-21 20:16:48	--------	90	true	true	false
10006	2010-01-21 20:44:42	--------	216	true	false	false
10001	2010-01-21 21:12:36	--------	154	false	false	false
10006	2010-01-21 22:54:54	--------	33	true	false	false
10000	2010-01-22 00:51:09	--------	260	true	true	false
10000	2010-01-22 03:19:57	--------	86	true	false	false
10002	2010-01-22 04:20:24	--------	221	false	false	false
10002	2010-01-22 04:43:39	--------	70	true	true	false
10004	2010-01-22 06:39:54	--------	72	true	true	false
10001	2010-01-22 08:17:33	--------	167	false	false	false
10004	2010-01-22 08:36:09	--------	136	true	false	false
10006	2010-01-22 09:22:39	--------	115	false	false	false
10006	2010-01-22 13:10:30	--------	187	true	false	false
10002	2010-01-22 13:57:00	--------	308	true	false	false
10009	2010-01-22 13:57:00	--------	177	true	false	false
10000	2010-01-22 14:24:54	--------	28	false	true	false
10007	2010-01-22 15:20:42	--------	234	true	false	true
10000	2010-01-22 16:16:30	--------	316	true	false	false
10009	2010-01-22 18:40:39	--------	3306	true	false	false
10007	2010-01-22 19:13:12	--------	260	true	true	false
10006	2010-01-22 20:13:39	--------	243	true	true	false
10004	2010-01-22 21:00:09	--------	20	true	true	false
10001	2010-01-23 00:29:24	--------	185	true	false	false
10005	2010-01-23 00:34:03	--------	313	true	false	false
10002	2010-01-23 02:16:21	--------	164	true	true	false
10005	2010-01-23 03:21:27	--------	62	true	true	false
10010	2010-01-23 03:49:21	--------	177	true	true	false
10006	2010-01-23 06:36:45	--------	68	true	false	false
10008	2010-01-23 07:13:57	--------	275	false	true	false
10001	2010-01-23 07:27:54	--------	116	false	false	false
10005	2010-01-23 07:46:30	--------	162	true	true	false
10009	2010-01-23 07:46:30	--------	83	true	false	false
10009	2010-01-23 11:25:03	--------	312	true	false	false
