CODE	DT	CL
129623	2009-01-01 00:00:00	2.1
129625	2009-01-01 00:00:00	165.28
129627	2009-01-01 00:00:00	7.71
129663	2009-01-01 00:00:00	1.46
129677	2009-01-01 00:00:00	22.94
129684	2009-01-01 00:00:00	36.95
129688	2009-01-01 00:00:00	32.79
129702	2009-01-01 00:00:00	38.79
129797	2009-01-01 00:00:00	11.87
129808	2009-01-01 00:00:00	71.36
129869	2009-01-01 00:00:00	30.97
129915	2009-01-01 00:00:00	29.0
129926	2009-01-01 00:00:00	27.29
129950	2009-01-01 00:00:00	2.37
129976	2009-01-01 00:00:00	36.7
129980	2009-01-01 00:00:00	44.31
129995	2009-01-01 00:00:00	243.37
201010	2009-01-01 00:00:00	38.19
201051	2009-01-01 00:00:00	3.24
201072	2009-01-01 00:00:00	37.74
201097	2009-01-01 00:00:00	28.18
201116	2009-01-01 00:00:00	121.91
201164	2009-01-01 00:00:00	44.65
201173	2009-01-01 00:00:00	20.46
201214	2009-01-01 00:00:00	130.22
201221	2009-01-01 00:00:00	23.22
201234	2009-01-01 00:00:00	26.44
201237	2009-01-01 00:00:00	172.5
201245	2009-01-01 00:00:00	32.12
201263	2009-01-01 00:00:00	46.65
201304	2009-01-01 00:00:00	1.93
201355	2009-01-01 00:00:00	44.51
201383	2009-01-01 00:00:00	39.97
201390	2009-01-01 00:00:00	3.15
201403	2009-01-01 00:00:00	6.39
201430	2009-01-01 00:00:00	32.17
201431	2009-01-01 00:00:00	92.54
201463	2009-01-01 00:00:00	28.03
201473	2009-01-01 00:00:00	48.18
201570	2009-01-01 00:00:00	49.29
201609	2009-01-01 00:00:00	9.27
201695	2009-01-01 00:00:00	6.74
201696	2009-01-01 00:00:00	197.79
201713	2009-01-01 00:00:00	44.18
201745	2009-01-01 00:00:00	6.37
201763	2009-01-01 00:00:00	39.65
201792	2009-01-01 00:00:00	8.24
201829	2009-01-01 00:00:00	38.94
201894	2009-01-01 00:00:00	18.59
201907	2009-01-01 00:00:00	15.5
201915	2009-01-01 00:00:00	25.43
201918	2009-01-01 00:00:00	54.25
201963	2009-01-01 00:00:00	19.25
310011	2009-01-01 00:00:00	48.87
310024	2009-01-01 00:00:00	3.66
310049	2009-01-01 00:00:00	56.06
310077	2009-01-01 00:00:00	17.66
310090	2009-01-01 00:00:00	22.02
310102	2009-01-01 00:00:00	21.63
310105	2009-01-01 00:00:00	24.62
310128	2009-01-01 00:00:00	16.96
310139	2009-01-01 00:00:00	50.71
310148	2009-01-01 00:00:00	33.33
310206	2009-01-01 00:00:00	25.92
310222	2009-01-01 00:00:00	5.62
310256	2009-01-01 00:00:00	36.52
310273	2009-01-01 00:00:00	34.49
310332	2009-01-01 00:00:00	17.79
310338	2009-01-01 00:00:00	24.92
310369	2009-01-01 00:00:00	28.09
310386	2009-01-01 00:00:00	200.15
310412	2009-01-01 00:00:00	18.52
310455	2009-01-01 00:00:00	36.35
310484	2009-01-01 00:00:00	17.11
310509	2009-01-01 00:00:00	40.43
310526	2009-01-01 00:00:00	2.43
310533	2009-01-01 00:00:00	7.5
310553	2009-01-01 00:00:00	1.9
310564	2009-01-01 00:00:00	238.61
310567	2009-01-01 00:00:00	35.77
310593	2009-01-01 00:00:00	33.56
310613	2009-01-01 00:00:00	41.78
310636	2009-01-01 00:00:00	10.79
310660	2009-01-01 00:00:00	37.89
310674	2009-01-01 00:00:00	40.48
310759	2009-01-01 00:00:00	8.91
310774	2009-01-01 00:00:00	36.22
310806	2009-01-01 00:00:00	13.56
310871	2009-01-01 00:00:00	87.77
310906	2009-01-01 00:00:00	45.88
310910	2009-01-01 00:00:00	44.46
500013	2009-01-01 00:00:00	20.01
500052	2009-01-01 00:00:00	247.22
500089	2009-01-01 00:00:00	7.05
500105	2009-01-01 00:00:00	18.94
500106	2009-01-01 00:00:00	40.14
500120	2009-01-01 00:00:00	30.4
500161	2009-01-01 00:00:00	51.77
500193	2009-01-01 00:00:00	156.34
500224	2009-01-01 00:00:00	1.17
500234	2009-01-01 00:00:00	29.37
500266	2009-01-01 00:00:00	94.62
500283	2009-01-01 00:00:00	5.36
500290	2009-01-01 00:00:00	1.92
500357	2009-01-01 00:00:00	68.63
500364	2009-01-01 00:00:00	10.82
500453	2009-01-01 00:00:00	21.68
500511	2009-01-01 00:00:00	19.74
500542	2009-01-01 00:00:00	20.98
500587	2009-01-01 00:00:00	12.25
500589	2009-01-01 00:00:00	50.46
500632	2009-01-01 00:00:00	13.15
500679	2009-01-01 00:00:00	151.28
500680	2009-01-01 00:00:00	48.76
500701	2009-01-01 00:00:00	45.51
500735	2009-01-01 00:00:00	36.83
500749	2009-01-01 00:00:00	34.69
500753	2009-01-01 00:00:00	40.3
500787	2009-01-01 00:00:00	28.16
500794	2009-01-01 00:00:00	11.13
500805	2009-01-01 00:00:00	32.18
500823	2009-01-01 00:00:00	39.19
500835	2009-01-01 00:00:00	25.28
500845	2009-01-01 00:00:00	32.17
500861	2009-01-01 00:00:00	33.16
500898	2009-01-01 00:00:00	184.75
500933	2009-01-01 00:00:00	7.99
500950	2009-01-01 00:00:00	43.43
500954	2009-01-01 00:00:00	29.0
500989	2009-01-01 00:00:00	75.01
550129	2009-01-01 00:00:00	162.58
550131	2009-01-01 00:00:00	242.04
550146	2009-01-01 00:00:00	20.73
550147	2009-01-01 00:00:00	7.76
550152	2009-01-01 00:00:00	157.34
550166	2009-01-01 00:00:00	2.72
550173	2009-01-01 00:00:00	25.52
550274	2009-01-01 00:00:00	8.75
550313	2009-01-01 00:00:00	226.75
550363	2009-01-01 00:00:00	41.34
550421	2009-01-01 00:00:00	25.39
550435	2009-01-01 00:00:00	35.06
550446	2009-01-01 00:00:00	15.72
550454	2009-01-01 00:00:00	93.98
550482	2009-01-01 00:00:00	245.62
550610	2009-01-01 00:00:00	6.31
550612	2009-01-01 00:00:00	36.63
550622	2009-01-01 00:00:00	46.29
550652	2009-01-01 00:00:00	19.38
550672	2009-01-01 00:00:00	177.87
550674	2009-01-01 00:00:00	11.54
550675	2009-01-01 00:00:00	19.66
550709	2009-01-01 00:00:00	37.71
550714	2009-01-01 00:00:00	24.63
550766	2009-01-01 00:00:00	15.42
550771	2009-01-01 00:00:00	15.0
550794	2009-01-01 00:00:00	13.37
550823	2009-01-01 00:00:00	18.59
550955	2009-01-01 00:00:00	183.42
550956	2009-01-01 00:00:00	38.59
550962	2009-01-01 00:00:00	36.36
550967	2009-01-01 00:00:00	31.76
550978	2009-01-01 00:00:00	14.04
550990	2009-01-01 00:00:00	41.86
550992	2009-01-01 00:00:00	194.64
600001	2009-01-01 00:00:00	1.96
600039	2009-01-01 00:00:00	40.92
600045	2009-01-01 00:00:00	37.1
600066	2009-01-01 00:00:00	45.72
600076	2009-01-01 00:00:00	24.94
600092	2009-01-01 00:00:00	13.73
600099	2009-01-01 00:00:00	44.12
600123	2009-01-01 00:00:00	31.04
600149	2009-01-01 00:00:00	21.07
600198	2009-01-01 00:00:00	51.03
600234	2009-01-01 00:00:00	28.21
600239	2009-01-01 00:00:00	24.54
600251	2009-01-01 00:00:00	43.62
600273	2009-01-01 00:00:00	21.28
600307	2009-01-01 00:00:00	43.27
600324	2009-01-01 00:00:00	37.03
600348	2009-01-01 00:00:00	29.28
600353	2009-01-01 00:00:00	17.05
600362	2009-01-01 00:00:00	23.29
600412	2009-01-01 00:00:00	39.27
600440	2009-01-01 00:00:00	1.88
600452	2009-01-01 00:00:00	28.89
600526	2009-01-01 00:00:00	35.16
600581	2009-01-01 00:00:00	43.06
600594	2009-01-01 00:00:00	44.99
600624	2009-01-01 00:00:00	35.12
600642	2009-01-01 00:00:00	201.75
600656	2009-01-01 00:00:00	40.24
600660	2009-01-01 00:00:00	19.28
600668	2009-01-01 00:00:00	37.19
600677	2009-01-01 00:00:00	12.41
600692	2009-01-01 00:00:00	34.51
600703	2009-01-01 00:00:00	33.56
600706	2009-01-01 00:00:00	24.46
600710	2009-01-01 00:00:00	27.99
600719	2009-01-01 00:00:00	35.47
600915	2009-01-01 00:00:00	12.14
600918	2009-01-01 00:00:00	109.27
600986	2009-01-01 00:00:00	34.72
600992	2009-01-01 00:00:00	34.26
700028	2009-01-01 00:00:00	23.29
700051	2009-01-01 00:00:00	11.46
700056	2009-01-01 00:00:00	86.87
700071	2009-01-01 00:00:00	16.29
700073	2009-01-01 00:00:00	104.11
700110	2009-01-01 00:00:00	49.66
700129	2009-01-01 00:00:00	36.09
700162	2009-01-01 00:00:00	35.19
700182	2009-01-01 00:00:00	17.25
700200	2009-01-01 00:00:00	39.95
700231	2009-01-01 00:00:00	10.14
700304	2009-01-01 00:00:00	23.7
700314	2009-01-01 00:00:00	122.34
700348	2009-01-01 00:00:00	44.64
700361	2009-01-01 00:00:00	9.56
700365	2009-01-01 00:00:00	10.74
700392	2009-01-01 00:00:00	35.63
700450	2009-01-01 00:00:00	25.93
700456	2009-01-01 00:00:00	63.04
700554	2009-01-01 00:00:00	8.08
700561	2009-01-01 00:00:00	35.92
700584	2009-01-01 00:00:00	16.77
700601	2009-01-01 00:00:00	5.13
700760	2009-01-01 00:00:00	73.43
700778	2009-01-01 00:00:00	54.2
700791	2009-01-01 00:00:00	43.93
700807	2009-01-01 00:00:00	7.29
700834	2009-01-01 00:00:00	42.29
700862	2009-01-01 00:00:00	116.38
700909	2009-01-01 00:00:00	10.95
700964	2009-01-01 00:00:00	30.12
701003	2009-01-01 00:00:00	220.66
701063	2009-01-01 00:00:00	38.79
701081	2009-01-01 00:00:00	83.72
701088	2009-01-01 00:00:00	187.08
701093	2009-01-01 00:00:00	40.68
701112	2009-01-01 00:00:00	49.55
701165	2009-01-01 00:00:00	29.63
701185	2009-01-01 00:00:00	23.5
701187	2009-01-01 00:00:00	1.88
701265	2009-01-01 00:00:00	19.81
701278	2009-01-01 00:00:00	42.76
701314	2009-01-01 00:00:00	39.83
701347	2009-01-01 00:00:00	17.21
701358	2009-01-01 00:00:00	7.81
701366	2009-01-01 00:00:00	12.45
701494	2009-01-01 00:00:00	10.21
701515	2009-01-01 00:00:00	35.25
701518	2009-01-01 00:00:00	16.42
701549	2009-01-01 00:00:00	15.06
701563	2009-01-01 00:00:00	49.1
701604	2009-01-01 00:00:00	36.71
701623	2009-01-01 00:00:00	30.94
701626	2009-01-01 00:00:00	6.66
701660	2009-01-01 00:00:00	56.2
701687	2009-01-01 00:00:00	49.27
701721	2009-01-01 00:00:00	75.63
701730	2009-01-01 00:00:00	1.8
701766	2009-01-01 00:00:00	29.12
701776	2009-01-01 00:00:00	28.56
701778	2009-01-01 00:00:00	209.67
701780	2009-01-01 00:00:00	34.73
701784	2009-01-01 00:00:00	88.84
701792	2009-01-01 00:00:00	42.17
701801	2009-01-01 00:00:00	7.39
701818	2009-01-01 00:00:00	27.71
701876	2009-01-01 00:00:00	18.65
701903	2009-01-01 00:00:00	82.45
701910	2009-01-01 00:00:00	13.45
701922	2009-01-01 00:00:00	25.75
701937	2009-01-01 00:00:00	136.18
701946	2009-01-01 00:00:00	38.21
701955	2009-01-01 00:00:00	42.73
710036	2009-01-01 00:00:00	120.26
710069	2009-01-01 00:00:00	27.65
710070	2009-01-01 00:00:00	53.72
710128	2009-01-01 00:00:00	121.28
710166	2009-01-01 00:00:00	251.9
710212	2009-01-01 00:00:00	20.79
710251	2009-01-01 00:00:00	19.48
710260	2009-01-01 00:00:00	4.68
710283	2009-01-01 00:00:00	28.86
710300	2009-01-01 00:00:00	42.58
710355	2009-01-01 00:00:00	144.03
710409	2009-01-01 00:00:00	15.9
710424	2009-01-01 00:00:00	49.07
710431	2009-01-01 00:00:00	20.67
710449	2009-01-01 00:00:00	88.85
710463	2009-01-01 00:00:00	17.86
710495	2009-01-01 00:00:00	34.26
710519	2009-01-01 00:00:00	12.94
710543	2009-01-01 00:00:00	160.56
710559	2009-01-01 00:00:00	136.21
710579	2009-01-01 00:00:00	7.57
710642	2009-01-01 00:00:00	110.65
710671	2009-01-01 00:00:00	42.84
710709	2009-01-01 00:00:00	12.96
710745	2009-01-01 00:00:00	209.04
710753	2009-01-01 00:00:00	22.24
710786	2009-01-01 00:00:00	38.94
710787	2009-01-01 00:00:00	16.5
710796	2009-01-01 00:00:00	47.76
710799	2009-01-01 00:00:00	52.93
710825	2009-01-01 00:00:00	21.49
710838	2009-01-01 00:00:00	16.6
710841	2009-01-01 00:00:00	3.32
710859	2009-01-01 00:00:00	7.02
710897	2009-01-01 00:00:00	34.47
710912	2009-01-01 00:00:00	144.02
710917	2009-01-01 00:00:00	23.78
711020	2009-01-01 00:00:00	31.34
711108	2009-01-01 00:00:00	32.0
711132	2009-01-01 00:00:00	165.79
711137	2009-01-01 00:00:00	10.87
711252	2009-01-01 00:00:00	32.21
711270	2009-01-01 00:00:00	5.89
711273	2009-01-01 00:00:00	2.07
711299	2009-01-01 00:00:00	18.93
711324	2009-01-01 00:00:00	6.42
711389	2009-01-01 00:00:00	15.32
711408	2009-01-01 00:00:00	8.13
711455	2009-01-01 00:00:00	56.08
711481	2009-01-01 00:00:00	27.33
001001	2009-01-01 00:00:00	4.0
001026	2009-01-01 00:00:00	2.13
001028	2009-01-01 00:00:00	20.09
001070	2009-01-01 00:00:00	14.95
001107	2009-01-01 00:00:00	3.74
001134	2009-01-01 00:00:00	10.68
001137	2009-01-01 00:00:00	42.31
001147	2009-01-01 00:00:00	19.61
001206	2009-01-01 00:00:00	14.01
001213	2009-01-01 00:00:00	40.94
001228	2009-01-01 00:00:00	9.69
001236	2009-01-01 00:00:00	134.61
001242	2009-01-01 00:00:00	21.1
001247	2009-01-01 00:00:00	21.7
001252	2009-01-01 00:00:00	14.88
001259	2009-01-01 00:00:00	27.64
001287	2009-01-01 00:00:00	231.91
001298	2009-01-01 00:00:00	10.81
001326	2009-01-01 00:00:00	101.95
001344	2009-01-01 00:00:00	28.26
001350	2009-01-01 00:00:00	43.63
001370	2009-01-01 00:00:00	85.84
001414	2009-01-01 00:00:00	30.12
001437	2009-01-01 00:00:00	29.24
001457	2009-01-01 00:00:00	22.08
001495	2009-01-01 00:00:00	37.38
001504	2009-01-01 00:00:00	25.3
001508	2009-01-01 00:00:00	6.46
001560	2009-01-01 00:00:00	4.3
001640	2009-01-01 00:00:00	78.93
001669	2009-01-01 00:00:00	166.61
001671	2009-01-01 00:00:00	60.16
001703	2009-01-01 00:00:00	44.5
001704	2009-01-01 00:00:00	21.62
001709	2009-01-01 00:00:00	258.71
001740	2009-01-01 00:00:00	2.7
001762	2009-01-01 00:00:00	41.98
001788	2009-01-01 00:00:00	27.74
001795	2009-01-01 00:00:00	12.25
001808	2009-01-01 00:00:00	13.19
001825	2009-01-01 00:00:00	20.24
001836	2009-01-01 00:00:00	30.82
001875	2009-01-01 00:00:00	48.89
001892	2009-01-01 00:00:00	39.03
001905	2009-01-01 00:00:00	8.35
001912	2009-01-01 00:00:00	8.07
001948	2009-01-01 00:00:00	49.52
001981	2009-01-01 00:00:00	4.46
001992	2009-01-01 00:00:00	9.76
001998	2009-01-01 00:00:00	79.49
100005	2009-01-01 00:00:00	12.65
100011	2009-01-01 00:00:00	9.93
100046	2009-01-01 00:00:00	3.89
100075	2009-01-01 00:00:00	47.14
100080	2009-01-01 00:00:00	37.83
100125	2009-01-01 00:00:00	22.26
100137	2009-01-01 00:00:00	9.47
100140	2009-01-01 00:00:00	40.64
100208	2009-01-01 00:00:00	2.05
100218	2009-01-01 00:00:00	4.76
100220	2009-01-01 00:00:00	76.2
100239	2009-01-01 00:00:00	18.57
100250	2009-01-01 00:00:00	16.61
100271	2009-01-01 00:00:00	183.47
100282	2009-01-01 00:00:00	199.89
100293	2009-01-01 00:00:00	7.84
100298	2009-01-01 00:00:00	21.29
100330	2009-01-01 00:00:00	126.67
100378	2009-01-01 00:00:00	96.79
100405	2009-01-01 00:00:00	42.56
100413	2009-01-01 00:00:00	47.01
100434	2009-01-01 00:00:00	41.68
100436	2009-01-01 00:00:00	207.54
100466	2009-01-01 00:00:00	48.22
100501	2009-01-01 00:00:00	51.95
100517	2009-01-01 00:00:00	243.87
100554	2009-01-01 00:00:00	201.27
100574	2009-01-01 00:00:00	181.8
100595	2009-01-01 00:00:00	1.15
100606	2009-01-01 00:00:00	41.78
100660	2009-01-01 00:00:00	46.6
100679	2009-01-01 00:00:00	23.11
100696	2009-01-01 00:00:00	42.16
100713	2009-01-01 00:00:00	38.27
100737	2009-01-01 00:00:00	20.97
100775	2009-01-01 00:00:00	25.5
100801	2009-01-01 00:00:00	8.81
100850	2009-01-01 00:00:00	27.81
100896	2009-01-01 00:00:00	29.73
100934	2009-01-01 00:00:00	33.24
100935	2009-01-01 00:00:00	21.31
100936	2009-01-01 00:00:00	19.43
100948	2009-01-01 00:00:00	8.26
100954	2009-01-01 00:00:00	75.68
100979	2009-01-01 00:00:00	28.45
110023	2009-01-01 00:00:00	13.9
110043	2009-01-01 00:00:00	50.03
110063	2009-01-01 00:00:00	31.78
110104	2009-01-01 00:00:00	140.38
110116	2009-01-01 00:00:00	36.91
110122	2009-01-01 00:00:00	39.65
110128	2009-01-01 00:00:00	71.23
110162	2009-01-01 00:00:00	28.94
110187	2009-01-01 00:00:00	37.45
711514	2009-01-01 00:00:00	44.18
711533	2009-01-01 00:00:00	245.11
711606	2009-01-01 00:00:00	27.3
711616	2009-01-01 00:00:00	44.81
711650	2009-01-01 00:00:00	39.14
711754	2009-01-01 00:00:00	41.49
711793	2009-01-01 00:00:00	36.0
711796	2009-01-01 00:00:00	4.36
711813	2009-01-01 00:00:00	3.08
711945	2009-01-01 00:00:00	217.98
711953	2009-01-01 00:00:00	45.92
711954	2009-01-01 00:00:00	34.5
711969	2009-01-01 00:00:00	61.53
720009	2009-01-01 00:00:00	29.67
720030	2009-01-01 00:00:00	45.7
720049	2009-01-01 00:00:00	41.34
720109	2009-01-01 00:00:00	90.33
720111	2009-01-01 00:00:00	16.95
720122	2009-01-01 00:00:00	6.12
720140	2009-01-01 00:00:00	48.7
720141	2009-01-01 00:00:00	222.33
720151	2009-01-01 00:00:00	254.66
720172	2009-01-01 00:00:00	27.98
720175	2009-01-01 00:00:00	140.96
720201	2009-01-01 00:00:00	15.77
720217	2009-01-01 00:00:00	13.81
720227	2009-01-01 00:00:00	43.38
720240	2009-01-01 00:00:00	3.14
720272	2009-01-01 00:00:00	2.79
720287	2009-01-01 00:00:00	22.77
720303	2009-01-01 00:00:00	10.57
720313	2009-01-01 00:00:00	189.71
720330	2009-01-01 00:00:00	8.46
720344	2009-01-01 00:00:00	21.88
720434	2009-01-01 00:00:00	46.7
720438	2009-01-01 00:00:00	54.14
720439	2009-01-01 00:00:00	41.5
720441	2009-01-01 00:00:00	46.06
720451	2009-01-01 00:00:00	184.9
720505	2009-01-01 00:00:00	243.7
720523	2009-01-01 00:00:00	32.93
720556	2009-01-01 00:00:00	24.51
720637	2009-01-01 00:00:00	38.19
720691	2009-01-01 00:00:00	22.56
720718	2009-01-01 00:00:00	23.89
720758	2009-01-01 00:00:00	49.1
720774	2009-01-01 00:00:00	167.86
720821	2009-01-01 00:00:00	37.95
720931	2009-01-01 00:00:00	131.16
720971	2009-01-01 00:00:00	34.1
720989	2009-01-01 00:00:00	66.78
720992	2009-01-01 00:00:00	38.81
730010	2009-01-01 00:00:00	9.37
730016	2009-01-01 00:00:00	46.82
730024	2009-01-01 00:00:00	199.39
730028	2009-01-01 00:00:00	51.56
730074	2009-01-01 00:00:00	22.28
730093	2009-01-01 00:00:00	59.31
730102	2009-01-01 00:00:00	42.83
730110	2009-01-01 00:00:00	34.37
730116	2009-01-01 00:00:00	103.29
730135	2009-01-01 00:00:00	14.87
730215	2009-01-01 00:00:00	1.09
730292	2009-01-01 00:00:00	44.85
730331	2009-01-01 00:00:00	34.3
730349	2009-01-01 00:00:00	32.11
730401	2009-01-01 00:00:00	16.32
730429	2009-01-01 00:00:00	7.01
730458	2009-01-01 00:00:00	105.71
730466	2009-01-01 00:00:00	3.16
730488	2009-01-01 00:00:00	48.38
730515	2009-01-01 00:00:00	48.01
730572	2009-01-01 00:00:00	18.56
730623	2009-01-01 00:00:00	28.41
730627	2009-01-01 00:00:00	44.89
730650	2009-01-01 00:00:00	162.86
730655	2009-01-01 00:00:00	43.17
730659	2009-01-01 00:00:00	16.07
730664	2009-01-01 00:00:00	163.79
730668	2009-01-01 00:00:00	43.2
730690	2009-01-01 00:00:00	44.26
730727	2009-01-01 00:00:00	21.11
730734	2009-01-01 00:00:00	45.58
730774	2009-01-01 00:00:00	127.52
730796	2009-01-01 00:00:00	61.17
730827	2009-01-01 00:00:00	33.47
730862	2009-01-01 00:00:00	12.28
730898	2009-01-01 00:00:00	77.63
730913	2009-01-01 00:00:00	46.31
730946	2009-01-01 00:00:00	21.82
730956	2009-01-01 00:00:00	51.51
730987	2009-01-01 00:00:00	11.79
735010	2009-01-01 00:00:00	36.28
735026	2009-01-01 00:00:00	6.26
735032	2009-01-01 00:00:00	29.9
735088	2009-01-01 00:00:00	49.66
735105	2009-01-01 00:00:00	79.04
735182	2009-01-01 00:00:00	29.52
735190	2009-01-01 00:00:00	12.34
735202	2009-01-01 00:00:00	3.33
735216	2009-01-01 00:00:00	40.48
735261	2009-01-01 00:00:00	16.79
735296	2009-01-01 00:00:00	5.22
735314	2009-01-01 00:00:00	34.35
735321	2009-01-01 00:00:00	6.87
735370	2009-01-01 00:00:00	29.56
735426	2009-01-01 00:00:00	49.33
735473	2009-01-01 00:00:00	14.08
735480	2009-01-01 00:00:00	15.78
735498	2009-01-01 00:00:00	45.16
735521	2009-01-01 00:00:00	42.62
735524	2009-01-01 00:00:00	150.93
735540	2009-01-01 00:00:00	35.2
735571	2009-01-01 00:00:00	15.54
735574	2009-01-01 00:00:00	22.94
735588	2009-01-01 00:00:00	6.93
735604	2009-01-01 00:00:00	45.23
735647	2009-01-01 00:00:00	1.18
735671	2009-01-01 00:00:00	49.99
735680	2009-01-01 00:00:00	22.65
735700	2009-01-01 00:00:00	11.81
735720	2009-01-01 00:00:00	4.95
735725	2009-01-01 00:00:00	44.16
735727	2009-01-01 00:00:00	49.44
735739	2009-01-01 00:00:00	39.66
735775	2009-01-01 00:00:00	34.57
735796	2009-01-01 00:00:00	31.6
735800	2009-01-01 00:00:00	11.02
735830	2009-01-01 00:00:00	38.98
735857	2009-01-01 00:00:00	25.49
735859	2009-01-01 00:00:00	24.88
735872	2009-01-01 00:00:00	44.85
735878	2009-01-01 00:00:00	34.36
735952	2009-01-01 00:00:00	169.34
737053	2009-01-01 00:00:00	22.39
737097	2009-01-01 00:00:00	84.16
737113	2009-01-01 00:00:00	233.35
737127	2009-01-01 00:00:00	16.41
737168	2009-01-01 00:00:00	18.65
737190	2009-01-01 00:00:00	27.65
737213	2009-01-01 00:00:00	6.54
737214	2009-01-01 00:00:00	24.84
737258	2009-01-01 00:00:00	18.25
737310	2009-01-01 00:00:00	15.69
737313	2009-01-01 00:00:00	117.18
737410	2009-01-01 00:00:00	32.23
737427	2009-01-01 00:00:00	13.15
737428	2009-01-01 00:00:00	53.23
737432	2009-01-01 00:00:00	12.46
737473	2009-01-01 00:00:00	30.89
737502	2009-01-01 00:00:00	33.82
737521	2009-01-01 00:00:00	38.04
737527	2009-01-01 00:00:00	34.39
737622	2009-01-01 00:00:00	214.46
737627	2009-01-01 00:00:00	226.94
737631	2009-01-01 00:00:00	34.17
737647	2009-01-01 00:00:00	51.79
737672	2009-01-01 00:00:00	12.91
737699	2009-01-01 00:00:00	5.86
737718	2009-01-01 00:00:00	125.35
737722	2009-01-01 00:00:00	146.67
737738	2009-01-01 00:00:00	28.21
737750	2009-01-01 00:00:00	40.85
737751	2009-01-01 00:00:00	4.46
737757	2009-01-01 00:00:00	19.59
737763	2009-01-01 00:00:00	128.46
737775	2009-01-01 00:00:00	8.61
737819	2009-01-01 00:00:00	189.65
737825	2009-01-01 00:00:00	21.51
737833	2009-01-01 00:00:00	3.72
737851	2009-01-01 00:00:00	1.66
737870	2009-01-01 00:00:00	19.56
737924	2009-01-01 00:00:00	35.48
737989	2009-01-01 00:00:00	36.12
737991	2009-01-01 00:00:00	32.85
900012	2009-01-01 00:00:00	33.45
900016	2009-01-01 00:00:00	28.63
900079	2009-01-01 00:00:00	19.64
900086	2009-01-01 00:00:00	36.69
