Subscriber	Time	CalledNo
10001	2010-01-01 23:25:03	--------
10005	2010-01-01 23:25:03	--------
10005	2010-01-01 23:29:42	--------
10001	2010-01-01 23:34:21	--------
10009	2010-01-01 23:34:21	--------
10005	2010-01-01 23:39:00	--------
10006	2010-01-01 23:43:39	--------
10010	2010-01-01 23:48:18	--------
10009	2010-01-02 00:06:54	--------
10006	2010-01-02 00:44:06	--------
10006	2010-01-02 01:07:21	--------
10004	2010-01-02 01:12:00	--------
10009	2010-01-02 01:12:00	--------
10007	2010-01-02 01:39:54	--------
10010	2010-01-02 01:53:51	--------
10008	2010-01-02 01:58:30	--------
10006	2010-01-02 02:17:06	--------
10001	2010-01-02 02:31:03	--------
10000	2010-01-02 02:35:42	--------
10010	2010-01-02 02:40:21	--------
10005	2010-01-02 02:58:57	--------
10006	2010-01-02 02:58:57	--------
10004	2010-01-02 03:12:54	--------
10001	2010-01-02 03:22:12	--------
10001	2010-01-02 03:31:30	--------
10010	2010-01-02 04:08:42	--------
10004	2010-01-02 04:22:39	--------
10009	2010-01-02 04:31:57	--------
10010	2010-01-02 04:45:54	--------
10004	2010-01-02 04:55:12	--------
10008	2010-01-02 04:59:51	--------
10001	2010-01-02 05:13:48	--------
10005	2010-01-02 05:37:03	--------
10008	2010-01-02 05:37:03	--------
10001	2010-01-02 05:41:42	--------
10006	2010-01-02 05:46:21	--------
10010	2010-01-02 05:46:21	--------
10010	2010-01-02 05:51:00	--------
10005	2010-01-02 05:55:39	--------
10010	2010-01-02 05:55:39	--------
10007	2010-01-02 06:42:09	--------
10004	2010-01-02 07:05:24	--------
10005	2010-01-02 07:14:42	--------
10006	2010-01-02 07:14:42	--------
10004	2010-01-02 07:19:21	--------
10005	2010-01-02 07:24:00	--------
10009	2010-01-02 07:37:57	--------
10001	2010-01-02 08:01:12	--------
10001	2010-01-02 08:10:30	--------
10001	2010-01-02 08:15:09	--------
10004	2010-01-02 08:43:03	--------
10003	2010-01-02 09:06:18	--------
10001	2010-01-02 09:15:36	--------
10003	2010-01-02 09:24:54	--------
10009	2010-01-02 09:24:54	--------
10008	2010-01-02 09:29:33	--------
10009	2010-01-02 09:29:33	--------
10004	2010-01-02 09:34:12	--------
10005	2010-01-02 09:38:51	--------
10009	2010-01-02 09:43:30	--------
10009	2010-01-02 09:48:09	--------
10001	2010-01-02 10:11:24	--------
10005	2010-01-02 10:20:42	--------
10001	2010-01-02 10:34:39	--------
10005	2010-01-02 10:34:39	--------
10009	2010-01-02 11:07:12	--------
10001	2010-01-02 11:21:09	--------
10005	2010-01-02 11:35:06	--------
10000	2010-01-02 11:39:45	--------
10006	2010-01-02 11:44:24	--------
10010	2010-01-02 11:44:24	--------
10005	2010-01-02 11:53:42	--------
10006	2010-01-02 12:03:00	--------
10010	2010-01-02 12:03:00	--------
10001	2010-01-02 12:07:39	--------
10007	2010-01-02 12:21:36	--------
10005	2010-01-02 12:26:15	--------
10009	2010-01-02 12:26:15	--------
10008	2010-01-02 12:30:54	--------
10001	2010-01-02 12:44:51	--------
10005	2010-01-02 12:49:30	--------
10007	2010-01-02 13:03:27	--------
10010	2010-01-02 13:12:45	--------
10009	2010-01-02 13:17:24	--------
10004	2010-01-02 13:31:21	--------
10004	2010-01-02 13:49:57	--------
10003	2010-01-02 14:03:54	--------
10010	2010-01-02 14:36:27	--------
10010	2010-01-02 14:41:06	--------
10002	2010-01-02 15:04:21	--------
10005	2010-01-02 15:09:00	--------
10010	2010-01-02 15:09:00	--------
10007	2010-01-02 15:22:57	--------
10005	2010-01-02 15:27:36	--------
10005	2010-01-02 16:00:09	--------
10006	2010-01-02 16:42:00	--------
10007	2010-01-02 16:46:39	--------
10008	2010-01-02 17:09:54	--------
10005	2010-01-02 17:33:09	--------
10010	2010-01-02 18:28:57	--------
10005	2010-01-02 18:42:54	--------
10010	2010-01-02 18:47:33	--------
10006	2010-01-02 18:52:12	--------
10005	2010-01-02 19:20:06	--------
10010	2010-01-02 19:20:06	--------
10006	2010-01-02 19:29:24	--------
10004	2010-01-02 19:34:03	--------
10005	2010-01-02 19:34:03	--------
10007	2010-01-02 19:38:42	--------
10008	2010-01-02 19:43:21	--------
10004	2010-01-02 19:48:00	--------
10002	2010-01-02 19:52:39	--------
10010	2010-01-02 20:01:57	--------
10000	2010-01-02 20:06:36	--------
10005	2010-01-02 20:34:30	--------
10010	2010-01-02 20:39:09	--------
10006	2010-01-02 21:07:03	--------
10006	2010-01-02 21:16:21	--------
10008	2010-01-02 22:12:09	--------
10004	2010-01-02 22:16:48	--------
10004	2010-01-02 22:26:06	--------
10006	2010-01-02 22:44:42	--------
10002	2010-01-02 22:49:21	--------
10007	2010-01-02 22:58:39	--------
10002	2010-01-02 23:21:54	--------
10001	2010-01-02 23:26:33	--------
10004	2010-01-02 23:49:48	--------
10010	2010-01-03 00:08:24	--------
10005	2010-01-03 00:13:03	--------
10005	2010-01-03 00:50:15	--------
10010	2010-01-03 01:08:51	--------
10001	2010-01-03 01:27:27	--------
10010	2010-01-03 01:27:27	--------
10000	2010-01-03 02:00:00	--------
10008	2010-01-03 02:13:57	--------
10005	2010-01-03 02:27:54	--------
10010	2010-01-03 02:27:54	--------
10009	2010-01-03 02:37:12	--------
10004	2010-01-03 02:41:51	--------
10006	2010-01-03 02:41:51	--------
10001	2010-01-03 02:46:30	--------
10004	2010-01-03 02:51:09	--------
10001	2010-01-03 03:05:06	--------
10006	2010-01-03 03:05:06	--------
10005	2010-01-03 03:09:45	--------
10007	2010-01-03 03:23:42	--------
10004	2010-01-03 03:33:00	--------
10001	2010-01-03 04:10:12	--------
10010	2010-01-03 04:42:45	--------
10005	2010-01-03 05:01:21	--------
10006	2010-01-03 05:10:39	--------
10010	2010-01-03 05:33:54	--------
10008	2010-01-03 05:38:33	--------
10007	2010-01-03 05:47:51	--------
10004	2010-01-03 06:01:48	--------
10004	2010-01-03 06:06:27	--------
10010	2010-01-03 06:20:24	--------
10010	2010-01-03 06:52:57	--------
10007	2010-01-03 06:57:36	--------
10003	2010-01-03 07:02:15	--------
10007	2010-01-03 07:02:15	--------
10005	2010-01-03 07:06:54	--------
10006	2010-01-03 07:06:54	--------
10008	2010-01-03 07:16:12	--------
10004	2010-01-03 07:30:09	--------
10005	2010-01-03 07:30:09	--------
10008	2010-01-03 07:44:06	--------
10004	2010-01-03 07:48:45	--------
10004	2010-01-03 08:07:21	--------
10010	2010-01-03 08:12:00	--------
10003	2010-01-03 08:25:57	--------
10005	2010-01-03 08:39:54	--------
10004	2010-01-03 08:53:51	--------
10005	2010-01-03 08:58:30	--------
10007	2010-01-03 09:12:27	--------
10001	2010-01-03 09:31:03	--------
10010	2010-01-03 09:31:03	--------
10008	2010-01-03 09:49:39	--------
10004	2010-01-03 10:08:15	--------
10005	2010-01-03 10:59:24	--------
10005	2010-01-03 11:13:21	--------
10010	2010-01-03 12:04:30	--------
10005	2010-01-03 13:00:18	--------
10010	2010-01-03 13:09:36	--------
10008	2010-01-03 13:32:51	--------
10007	2010-01-03 13:37:30	--------
10005	2010-01-03 13:51:27	--------
10005	2010-01-03 14:14:42	--------
10009	2010-01-03 14:14:42	--------
10002	2010-01-03 14:19:21	--------
10003	2010-01-03 15:33:45	--------
10010	2010-01-03 15:43:03	--------
10009	2010-01-03 15:47:42	--------
10001	2010-01-03 16:06:18	--------
10005	2010-01-03 16:06:18	--------
10005	2010-01-03 16:10:57	--------
10006	2010-01-03 16:20:15	--------
10006	2010-01-03 16:57:27	--------
10009	2010-01-03 17:02:06	--------
10006	2010-01-03 17:06:45	--------
10010	2010-01-03 17:06:45	--------
10003	2010-01-03 17:20:42	--------
10005	2010-01-03 17:30:00	--------
10004	2010-01-03 17:39:18	--------
10005	2010-01-03 17:39:18	--------
10000	2010-01-03 18:11:51	--------
10004	2010-01-03 18:25:48	--------
10006	2010-01-03 18:35:06	--------
10010	2010-01-03 18:49:03	--------
10006	2010-01-03 18:53:42	--------
10008	2010-01-03 19:12:18	--------
10010	2010-01-03 19:26:15	--------
10010	2010-01-03 19:58:48	--------
10006	2010-01-03 20:22:03	--------
10007	2010-01-03 20:22:03	--------
10006	2010-01-03 20:49:57	--------
10004	2010-01-03 20:54:36	--------
10004	2010-01-03 21:36:27	--------
10006	2010-01-03 21:45:45	--------
10010	2010-01-03 22:46:12	--------
10004	2010-01-03 23:00:09	--------
10010	2010-01-03 23:14:06	--------
10009	2010-01-03 23:23:24	--------
10010	2010-01-03 23:32:42	--------
10004	2010-01-03 23:37:21	--------
10008	2010-01-03 23:46:39	--------
10007	2010-01-03 23:51:18	--------
10004	2010-01-03 23:55:57	--------
10005	2010-01-03 23:55:57	--------
10007	2010-01-04 00:00:36	--------
10003	2010-01-04 00:09:54	--------
10006	2010-01-04 00:23:51	--------
10010	2010-01-04 00:23:51	--------
10001	2010-01-04 00:28:30	--------
10010	2010-01-04 00:51:45	--------
10005	2010-01-04 01:15:00	--------
10001	2010-01-04 01:19:39	--------
10003	2010-01-04 01:19:39	--------
10010	2010-01-04 01:52:12	--------
10006	2010-01-04 02:01:30	--------
10007	2010-01-04 02:10:48	--------
10000	2010-01-04 02:34:03	--------
10007	2010-01-04 02:34:03	--------
10001	2010-01-04 03:11:15	--------
10001	2010-01-04 03:29:51	--------
10001	2010-01-04 03:34:30	--------
10010	2010-01-04 03:34:30	--------
10010	2010-01-04 04:02:24	--------
10000	2010-01-04 04:07:03	--------
10010	2010-01-04 04:07:03	--------
10005	2010-01-04 04:11:42	--------
10004	2010-01-04 04:30:18	--------
10009	2010-01-04 04:30:18	--------
10010	2010-01-04 04:30:18	--------
10005	2010-01-04 04:44:15	--------
10009	2010-01-04 04:44:15	--------
10001	2010-01-04 04:48:54	--------
10005	2010-01-04 04:53:33	--------
10010	2010-01-04 05:07:30	--------
10006	2010-01-04 05:12:09	--------
10007	2010-01-04 05:12:09	--------
10009	2010-01-04 06:07:57	--------
10002	2010-01-04 06:21:54	--------
10005	2010-01-04 06:40:30	--------
10006	2010-01-04 06:54:27	--------
10001	2010-01-04 07:13:03	--------
10005	2010-01-04 07:36:18	--------
10008	2010-01-04 07:40:57	--------
10009	2010-01-04 07:45:36	--------
10003	2010-01-04 07:54:54	--------
10004	2010-01-04 07:54:54	--------
10001	2010-01-04 08:22:48	--------
10008	2010-01-04 08:22:48	--------
10010	2010-01-04 08:27:27	--------
10010	2010-01-04 08:36:45	--------
10010	2010-01-04 08:41:24	--------
10000	2010-01-04 08:46:03	--------
10004	2010-01-04 08:55:21	--------
10006	2010-01-04 09:00:00	--------
10004	2010-01-04 09:27:54	--------
10010	2010-01-04 09:37:12	--------
10001	2010-01-04 09:51:09	--------
10004	2010-01-04 09:55:48	--------
10005	2010-01-04 10:09:45	--------
10001	2010-01-04 10:14:24	--------
10005	2010-01-04 10:19:03	--------
10010	2010-01-04 10:23:42	--------
10008	2010-01-04 10:28:21	--------
10009	2010-01-04 10:28:21	--------
10004	2010-01-04 10:46:57	--------
10005	2010-01-04 10:56:15	--------
10010	2010-01-04 11:28:48	--------
10010	2010-01-04 11:38:06	--------
10010	2010-01-04 11:52:03	--------
10005	2010-01-04 11:56:42	--------
10004	2010-01-04 12:10:39	--------
10006	2010-01-04 12:10:39	--------
10000	2010-01-04 12:29:15	--------
10010	2010-01-04 12:38:33	--------
10001	2010-01-04 12:43:12	--------
10002	2010-01-04 12:43:12	--------
10010	2010-01-04 12:52:30	--------
10009	2010-01-04 12:57:09	--------
10005	2010-01-04 13:06:27	--------
10007	2010-01-04 13:15:45	--------
10010	2010-01-04 13:20:24	--------
10001	2010-01-04 13:29:42	--------
10010	2010-01-04 13:34:21	--------
10006	2010-01-04 13:43:39	--------
10009	2010-01-04 13:52:57	--------
10008	2010-01-04 14:20:51	--------
10004	2010-01-04 14:25:30	--------
10009	2010-01-04 14:25:30	--------
10010	2010-01-04 14:39:27	--------
10010	2010-01-04 14:48:45	--------
10003	2010-01-04 14:58:03	--------
10005	2010-01-04 15:02:42	--------
10004	2010-01-04 15:07:21	--------
10007	2010-01-04 15:53:51	--------
10004	2010-01-04 16:31:03	--------
10003	2010-01-04 16:40:21	--------
10010	2010-01-04 16:49:39	--------
10007	2010-01-04 16:54:18	--------
10004	2010-01-04 17:26:51	--------
10010	2010-01-04 17:59:24	--------
10005	2010-01-04 18:04:03	--------
10008	2010-01-04 18:08:42	--------
10010	2010-01-04 18:08:42	--------
10005	2010-01-04 18:18:00	--------
10010	2010-01-04 18:22:39	--------
10008	2010-01-04 18:36:36	--------
10005	2010-01-04 18:45:54	--------
10001	2010-01-04 19:09:09	--------
10003	2010-01-04 19:09:09	--------
10007	2010-01-04 19:09:09	--------
10007	2010-01-04 19:18:27	--------
10008	2010-01-04 19:18:27	--------
10005	2010-01-04 19:32:24	--------
10002	2010-01-04 19:37:03	--------
10008	2010-01-04 19:41:42	--------
10010	2010-01-04 19:46:21	--------
10005	2010-01-04 19:55:39	--------
10007	2010-01-04 20:18:54	--------
10009	2010-01-04 20:37:30	--------
10002	2010-01-04 20:46:48	--------
10008	2010-01-04 21:05:24	--------
10010	2010-01-04 21:05:24	--------
10003	2010-01-04 21:19:21	--------
10003	2010-01-04 21:33:18	--------
10007	2010-01-04 21:33:18	--------
10006	2010-01-04 21:47:15	--------
10004	2010-01-04 21:51:54	--------
10002	2010-01-04 22:10:30	--------
10001	2010-01-04 22:24:27	--------
10006	2010-01-04 22:43:03	--------
10005	2010-01-04 22:47:42	--------
10001	2010-01-04 22:52:21	--------
10006	2010-01-04 22:52:21	--------
10006	2010-01-04 22:57:00	--------
10010	2010-01-04 23:34:12	--------
10003	2010-01-04 23:48:09	--------
10001	2010-01-05 00:16:03	--------
10004	2010-01-05 00:16:03	--------
10004	2010-01-05 00:20:42	--------
10004	2010-01-05 00:30:00	--------
10001	2010-01-05 00:48:36	--------
10005	2010-01-05 00:48:36	--------
10007	2010-01-05 00:53:15	--------
10006	2010-01-05 00:57:54	--------
10001	2010-01-05 01:02:33	--------
10005	2010-01-05 01:16:30	--------
10001	2010-01-05 01:21:09	--------
10003	2010-01-05 01:21:09	--------
10005	2010-01-05 01:21:09	--------
10007	2010-01-05 01:30:27	--------
10002	2010-01-05 02:03:00	--------
10001	2010-01-05 02:16:57	--------
10005	2010-01-05 02:16:57	--------
10010	2010-01-05 02:30:54	--------
10010	2010-01-05 02:44:51	--------
10004	2010-01-05 02:54:09	--------
10010	2010-01-05 03:31:21	--------
10006	2010-01-05 03:45:18	--------
10003	2010-01-05 03:54:36	--------
10001	2010-01-05 04:08:33	--------
10005	2010-01-05 04:13:12	--------
10001	2010-01-05 04:31:48	--------
10010	2010-01-05 04:31:48	--------
10006	2010-01-05 05:04:21	--------
10008	2010-01-05 05:04:21	--------
10010	2010-01-05 05:04:21	--------
10010	2010-01-05 05:32:15	--------
10006	2010-01-05 05:50:51	--------
10005	2010-01-05 06:18:45	--------
10010	2010-01-05 06:18:45	--------
10001	2010-01-05 07:00:36	--------
10009	2010-01-05 07:05:15	--------
10004	2010-01-05 07:09:54	--------
10005	2010-01-05 07:14:33	--------
10010	2010-01-05 07:19:12	--------
10003	2010-01-05 07:37:48	--------
10004	2010-01-05 07:37:48	--------
10005	2010-01-05 08:15:00	--------
10001	2010-01-05 08:19:39	--------
10001	2010-01-05 08:56:51	--------
10005	2010-01-05 08:56:51	--------
10008	2010-01-05 08:56:51	--------
10006	2010-01-05 09:01:30	--------
10008	2010-01-05 09:01:30	--------
10001	2010-01-05 09:06:09	--------
10010	2010-01-05 09:06:09	--------
10007	2010-01-05 09:29:24	--------
10010	2010-01-05 09:38:42	--------
10001	2010-01-05 09:48:00	--------
10001	2010-01-05 09:52:39	--------
10010	2010-01-05 09:57:18	--------
10007	2010-01-05 10:11:15	--------
10001	2010-01-05 10:15:54	--------
10004	2010-01-05 10:25:12	--------
10001	2010-01-05 11:07:03	--------
10004	2010-01-05 11:11:42	--------
10005	2010-01-05 11:21:00	--------
10004	2010-01-05 11:34:57	--------
10000	2010-01-05 11:44:15	--------
10010	2010-01-05 11:44:15	--------
10006	2010-01-05 11:48:54	--------
10010	2010-01-05 11:58:12	--------
10004	2010-01-05 12:30:45	--------
10008	2010-01-05 12:30:45	--------
10001	2010-01-05 12:40:03	--------
10008	2010-01-05 12:40:03	--------
10008	2010-01-05 12:44:42	--------
10004	2010-01-05 13:07:57	--------
10007	2010-01-05 13:07:57	--------
10006	2010-01-05 13:21:54	--------
10005	2010-01-05 13:26:33	--------
10001	2010-01-05 14:08:24	--------
10006	2010-01-05 14:13:03	--------
10008	2010-01-05 14:22:21	--------
10005	2010-01-05 14:36:18	--------
10010	2010-01-05 14:54:54	--------
10002	2010-01-05 14:59:33	--------
10004	2010-01-05 15:04:12	--------
10001	2010-01-05 15:27:27	--------
10009	2010-01-05 15:32:06	--------
10007	2010-01-05 15:41:24	--------
10005	2010-01-05 15:46:03	--------
10006	2010-01-05 15:50:42	--------
10008	2010-01-05 15:50:42	--------
10001	2010-01-05 16:00:00	--------
10006	2010-01-05 16:09:18	--------
10005	2010-01-05 16:13:57	--------
10010	2010-01-05 16:18:36	--------
10005	2010-01-05 16:32:33	--------
10004	2010-01-05 16:41:51	--------
10009	2010-01-05 16:41:51	--------
10008	2010-01-05 16:46:30	--------
10006	2010-01-05 16:55:48	--------
10001	2010-01-05 17:00:27	--------
10010	2010-01-05 17:00:27	--------
10002	2010-01-05 17:05:06	--------
10007	2010-01-05 17:05:06	--------
10005	2010-01-05 17:14:24	--------
10010	2010-01-05 17:19:03	--------
10001	2010-01-05 17:23:42	--------
10004	2010-01-05 17:33:00	--------
10006	2010-01-05 17:33:00	--------
10010	2010-01-05 17:37:39	--------
10007	2010-01-05 17:51:36	--------
10008	2010-01-05 18:00:54	--------
10001	2010-01-05 18:05:33	--------
10009	2010-01-05 18:28:48	--------
10010	2010-01-05 18:52:03	--------
10008	2010-01-05 19:01:21	--------
10005	2010-01-05 19:06:00	--------
10010	2010-01-05 19:06:00	--------
10005	2010-01-05 19:43:12	--------
10001	2010-01-05 19:52:30	--------
10009	2010-01-05 19:52:30	--------
10001	2010-01-05 19:57:09	--------
10005	2010-01-05 20:11:06	--------
10005	2010-01-05 20:15:45	--------
10004	2010-01-05 20:39:00	--------
10005	2010-01-05 20:48:18	--------
10001	2010-01-05 21:02:15	--------
10003	2010-01-05 21:06:54	--------
10010	2010-01-05 21:11:33	--------
10002	2010-01-05 21:30:09	--------
10001	2010-01-05 21:34:48	--------
10005	2010-01-05 21:34:48	--------
10006	2010-01-05 22:07:21	--------
10001	2010-01-05 22:12:00	--------
10000	2010-01-05 22:21:18	--------
10002	2010-01-05 22:21:18	--------
10002	2010-01-05 22:49:12	--------
10005	2010-01-05 22:58:30	--------
10005	2010-01-05 23:07:48	--------
10006	2010-01-05 23:17:06	--------
10000	2010-01-05 23:45:00	--------
10004	2010-01-05 23:54:18	--------
10006	2010-01-06 00:03:36	--------
10009	2010-01-06 00:17:33	--------
10001	2010-01-06 00:36:09	--------
10010	2010-01-06 00:45:27	--------
10010	2010-01-06 01:08:42	--------
10010	2010-01-06 01:13:21	--------
10009	2010-01-06 01:18:00	--------
10009	2010-01-06 01:22:39	--------
10009	2010-01-06 01:36:36	--------
10001	2010-01-06 01:41:15	--------
10008	2010-01-06 01:45:54	--------
10004	2010-01-06 01:55:12	--------
10009	2010-01-06 01:55:12	--------
10003	2010-01-06 01:59:51	--------
10007	2010-01-06 01:59:51	--------
10009	2010-01-06 01:59:51	--------
10005	2010-01-06 02:18:27	--------
10010	2010-01-06 02:41:42	--------
10005	2010-01-06 02:46:21	--------
10005	2010-01-06 03:09:36	--------
10010	2010-01-06 03:23:33	--------
10001	2010-01-06 03:32:51	--------
10003	2010-01-06 03:32:51	--------
10008	2010-01-06 03:37:30	--------
10005	2010-01-06 03:42:09	--------
10001	2010-01-06 03:56:06	--------
10001	2010-01-06 04:00:45	--------
10000	2010-01-06 04:05:24	--------
10004	2010-01-06 04:42:36	--------
10009	2010-01-06 04:42:36	--------
10008	2010-01-06 04:47:15	--------
10001	2010-01-06 04:56:33	--------
10007	2010-01-06 05:15:09	--------
10006	2010-01-06 05:29:06	--------
10005	2010-01-06 05:43:03	--------
10004	2010-01-06 05:47:42	--------
10006	2010-01-06 06:01:39	--------
10002	2010-01-06 06:10:57	--------
10009	2010-01-06 06:15:36	--------
10010	2010-01-06 06:20:15	--------
10009	2010-01-06 06:34:12	--------
10010	2010-01-06 06:43:30	--------
10010	2010-01-06 06:52:48	--------
10004	2010-01-06 07:06:45	--------
10007	2010-01-06 07:11:24	--------
10008	2010-01-06 07:20:42	--------
10004	2010-01-06 07:25:21	--------
10010	2010-01-06 07:25:21	--------
10004	2010-01-06 07:30:00	--------
10010	2010-01-06 08:07:12	--------
10008	2010-01-06 08:16:30	--------
10004	2010-01-06 08:30:27	--------
10007	2010-01-06 08:49:03	--------
10006	2010-01-06 08:58:21	--------
10001	2010-01-06 09:03:00	--------
10008	2010-01-06 09:03:00	--------
10002	2010-01-06 09:16:57	--------
10008	2010-01-06 10:12:45	--------
10008	2010-01-06 10:22:03	--------
10009	2010-01-06 10:40:39	--------
10004	2010-01-06 10:45:18	--------
10005	2010-01-06 10:59:15	--------
10009	2010-01-06 10:59:15	--------
10010	2010-01-06 11:03:54	--------
10006	2010-01-06 11:27:09	--------
10007	2010-01-06 11:41:06	--------
10005	2010-01-06 11:59:42	--------
10001	2010-01-06 12:22:57	--------
10008	2010-01-06 12:27:36	--------
10010	2010-01-06 13:09:27	--------
10003	2010-01-06 13:18:45	--------
10009	2010-01-06 13:42:00	--------
10002	2010-01-06 13:51:18	--------
10007	2010-01-06 14:00:36	--------
10010	2010-01-06 14:00:36	--------
10007	2010-01-06 14:14:33	--------
10004	2010-01-06 14:23:51	--------
10004	2010-01-06 14:37:48	--------
10001	2010-01-06 14:51:45	--------
10006	2010-01-06 15:05:42	--------
10010	2010-01-06 15:15:00	--------
10005	2010-01-06 15:19:39	--------
10001	2010-01-06 15:33:36	--------
10009	2010-01-06 15:33:36	--------
10008	2010-01-06 16:01:30	--------
10003	2010-01-06 16:06:09	--------
10006	2010-01-06 16:20:06	--------
10000	2010-01-06 16:29:24	--------
10001	2010-01-06 16:48:00	--------
10009	2010-01-06 17:01:57	--------
10008	2010-01-06 17:11:15	--------
10002	2010-01-06 17:15:54	--------
10004	2010-01-06 17:15:54	--------
10001	2010-01-06 17:20:33	--------
10008	2010-01-06 17:29:51	--------
10003	2010-01-06 17:39:09	--------
10008	2010-01-06 17:48:27	--------
10007	2010-01-06 18:21:00	--------
10000	2010-01-06 18:30:18	--------
10010	2010-01-06 18:30:18	--------
10001	2010-01-06 18:39:36	--------
10004	2010-01-06 19:07:30	--------
10010	2010-01-06 19:12:09	--------
10001	2010-01-06 19:16:48	--------
10007	2010-01-06 19:44:42	--------
10008	2010-01-06 19:49:21	--------
