order_id	item_id	item_qty
20650	1002	9
20651	1006	8
20652	1001	9
20653	1010	7
20654	1003	9
20655	1029	3
20656	1021	6
20657	1007	9
20658	1004	3
20659	1018	5
20660	1024	5
20661	1014	8
20662	1028	6
20663	1018	1
20664	1001	5
20665	1027	2
20666	1012	6
20667	1020	2
20668	1014	5
20669	1027	6
20670	1024	6
20671	1017	9
20672	1009	4
20673	1024	1
20674	1014	3
20675	1029	2
20676	1026	4
20677	1022	5
20678	1011	3
20679	1012	9
20680	1003	5
20681	1001	10
20682	1013	5
20683	1021	10
20684	1006	7
20685	1010	3
20686	1010	4
20687	1027	9
20688	1017	5
20689	1017	8
20690	1019	5
20691	1018	5
20692	1001	5
20693	1017	4
20694	1000	2
20695	1018	4
20696	1006	7
20697	1003	1
20698	1022	6
20699	1026	3
20700	1006	6
20701	1026	6
20702	1026	1
20703	1013	9
20704	1004	1
20705	1022	6
20706	1010	7
20707	1023	5
20708	1014	2
20709	1008	2
20710	1011	8
20711	1012	10
20712	1012	5
20713	1013	6
20714	1021	10
20715	1012	7
20716	1017	1
20717	1019	1
20718	1020	5
20719	1015	7
20720	1015	6
20721	1002	10
20722	1026	9
20723	1002	4
20724	1018	2
20725	1017	3
20726	1010	5
20727	1018	6
20728	1006	7
20729	1015	1
20730	1001	3
20731	1024	9
20732	1027	10
20733	1021	7
20734	1013	10
20735	1024	2
20736	1011	8
20737	1003	6
20738	1011	6
20739	1011	3
20740	1015	1
20741	1022	2
20742	1009	3
20743	1012	4
20744	1003	1
20745	1010	1
20746	1000	5
20747	1020	6
20748	1023	5
20749	1017	4
20750	1024	5
20751	1016	7
20752	1004	1
20753	1022	10
20754	1014	9
20755	1017	7
20756	1019	1
20757	1010	7
20758	1003	1
20759	1013	5
20760	1005	8
20761	1001	8
20762	1009	7
20763	1028	2
20764	1011	7
20765	1021	8
20766	1004	1
20767	1010	1
20768	1023	8
20769	1022	9
20770	1005	10
20771	1004	4
20772	1018	10
20773	1025	2
20774	1019	7
20775	1001	4
20776	1002	1
20777	1020	6
20778	1029	1
20779	1001	9
20780	1022	9
20781	1018	2
20782	1016	5
20783	1029	1
20784	1028	3
20785	1029	8
20786	1025	2
20787	1008	6
20788	1008	1
20789	1020	5
20790	1009	2
20791	1029	7
20792	1006	8
20793	1008	7
20794	1020	6
20795	1022	2
20796	1024	4
20797	1022	6
20798	1008	3
20799	1023	6
20800	1005	3
20801	1009	7
20802	1022	5
20803	1026	10
20804	1008	3
20805	1015	1
20806	1007	3
20807	1000	3
20808	1006	2
20809	1009	10
20810	1002	4
20811	1026	6
20812	1000	10
20813	1003	4
20814	1001	9
20815	1024	5
20816	1018	3
20817	1009	7
20818	1014	1
20819	1017	3
20820	1017	2
20821	1026	7
20822	1002	4
20823	1004	10
20824	1018	4
20825	1003	1
20826	1020	9
20827	1015	4
20828	1000	8
20829	1026	9
20830	1003	1
20831	1024	6
20832	1020	10
20833	1026	1
20834	1027	2
20835	1021	5
20836	1010	4
20837	1022	3
20838	1025	7
20839	1025	7
20840	1024	2
20841	1024	10
20842	1022	9
20843	1009	10
20844	1022	9
20845	1005	1
20846	1001	7
20847	1023	9
20848	1008	1
20849	1006	2
20850	1009	1
20851	1003	9
20852	1003	6
20853	1022	1
20854	1002	3
20855	1016	4
20856	1008	10
20857	1014	3
20858	1018	7
20859	1002	1
20860	1022	1
20861	1011	3
20862	1005	6
20863	1021	1
20864	1001	4
20865	1029	2
20866	1016	9
20867	1019	9
20868	1003	10
20869	1008	7
20870	1007	9
20871	1019	2
20872	1027	9
20873	1009	4
20874	1028	1
20875	1025	6
20876	1011	5
20877	1010	2
20878	1003	1
20879	1008	9
20880	1026	6
20881	1024	3
20882	1027	4
20883	1010	4
20884	1029	2
20885	1005	7
20886	1015	7
20887	1009	1
20888	1026	2
20889	1010	3
20890	1021	10
20891	1019	2
20892	1000	10
20893	1009	7
20894	1015	9
20895	1008	7
20896	1026	6
20897	1003	1
20898	1023	5
20899	1017	5
20900	1019	2
20901	1011	8
20902	1016	4
20903	1000	8
20904	1014	3
20905	1005	6
20906	1002	10
20907	1008	9
20908	1019	4
20909	1014	7
20910	1002	4
20911	1027	2
20912	1009	9
20913	1023	5
20914	1025	4
20915	1016	8
20916	1011	1
20917	1001	5
20918	1021	5
20919	1025	2
20920	1007	10
20921	1007	2
20922	1016	10
20923	1016	2
20924	1010	5
20925	1012	8
20926	1028	9
20927	1015	2
20928	1000	6
20929	1021	3
20930	1010	1
20931	1029	1
20932	1005	3
20933	1022	5
20934	1015	9
20935	1018	3
20936	1020	6
20937	1026	1
20938	1017	8
20939	1013	7
20940	1025	6
20941	1011	8
20942	1005	8
20943	1014	2
20944	1025	9
20945	1000	5
20946	1025	2
20947	1009	9
20948	1017	7
20949	1000	4
20950	1006	9
20951	1018	6
20952	1016	6
20953	1005	9
20954	1006	1
20955	1000	4
20956	1002	1
20957	1027	5
20958	1013	1
20959	1012	4
20960	1020	10
20961	1026	10
20962	1027	10
20963	1019	9
20964	1007	9
20965	1004	6
20966	1024	9
20967	1003	3
20968	1007	8
20969	1020	4
20970	1002	4
20971	1028	3
20972	1010	3
20973	1023	6
20974	1010	8
20975	1019	8
20976	1009	9
20977	1014	7
20978	1007	5
20979	1016	8
20980	1012	2
20981	1005	8
20982	1003	2
20983	1026	8
20984	1018	10
20985	1014	3
20986	1019	7
20987	1029	1
20988	1015	9
20989	1004	8
20990	1010	3
20991	1025	10
20992	1026	5
20993	1004	8
20994	1005	1
20995	1016	9
20996	1001	3
20997	1006	10
20998	1008	1
20999	1028	3
21000	1021	7
