customer_id	order_id
5	20593
10	20594
6	20595
8	20596
1	20597
3	20598
10	20599
7	20600
7	20601
2	20602
10	20603
4	20604
8	20605
10	20606
1	20607
7	20608
2	20609
9	20610
4	20611
1	20612
8	20613
2	20614
6	20615
10	20616
5	20617
8	20618
3	20619
9	20620
4	20621
2	20622
1	20623
5	20624
6	20625
3	20626
7	20627
4	20628
9	20629
7	20630
4	20631
3	20632
7	20633
1	20634
10	20635
3	20636
3	20637
10	20638
1	20639
5	20640
10	20641
5	20642
9	20643
6	20644
2	20645
7	20646
6	20647
8	20648
10	20649
4	20650
8	20651
2	20652
3	20653
4	20654
8	20655
6	20656
6	20657
6	20658
9	20659
2	20660
8	20661
4	20662
1	20663
6	20664
9	20665
1	20666
7	20667
7	20668
4	20669
7	20670
4	20671
4	20672
9	20673
4	20674
10	20675
10	20676
1	20677
7	20678
8	20679
3	20680
3	20681
9	20682
4	20683
5	20684
1	20685
10	20686
10	20687
5	20688
4	20689
5	20690
10	20691
8	20692
2	20693
8	20694
1	20695
9	20696
3	20697
8	20698
9	20699
7	20700
5	20701
8	20702
10	20703
3	20704
1	20705
5	20706
4	20707
1	20708
7	20709
7	20710
7	20711
9	20712
1	20713
3	20714
6	20715
10	20716
8	20717
5	20718
7	20719
6	20720
4	20721
2	20722
6	20723
8	20724
2	20725
5	20726
1	20727
3	20728
2	20729
1	20730
1	20731
4	20732
1	20733
9	20734
5	20735
1	20736
3	20737
9	20738
2	20739
4	20740
6	20741
5	20742
5	20743
6	20744
4	20745
1	20746
5	20747
2	20748
4	20749
7	20750
7	20751
3	20752
9	20753
8	20754
10	20755
7	20756
8	20757
7	20758
2	20759
10	20760
5	20761
9	20762
3	20763
5	20764
7	20765
3	20766
1	20767
2	20768
5	20769
4	20770
6	20771
6	20772
2	20773
7	20774
8	20775
10	20776
2	20777
10	20778
10	20779
9	20780
10	20781
8	20782
4	20783
1	20784
5	20785
10	20786
3	20787
5	20788
1	20789
6	20790
2	20791
3	20792
3	20793
1	20794
2	20795
3	20796
2	20797
4	20798
8	20799
5	20800
9	20801
6	20802
10	20803
10	20804
6	20805
2	20806
2	20807
5	20808
10	20809
9	20810
7	20811
5	20812
10	20813
6	20814
4	20815
3	20816
7	20817
5	20818
7	20819
7	20820
7	20821
5	20822
8	20823
7	20824
8	20825
6	20826
10	20827
1	20828
7	20829
10	20830
9	20831
4	20832
6	20833
2	20834
2	20835
4	20836
8	20837
7	20838
4	20839
3	20840
7	20841
1	20842
8	20843
5	20844
7	20845
2	20846
7	20847
9	20848
10	20849
9	20850
6	20851
3	20852
1	20853
7	20854
7	20855
7	20856
1	20857
8	20858
6	20859
1	20860
5	20861
10	20862
10	20863
6	20864
1	20865
8	20866
7	20867
6	20868
9	20869
4	20870
4	20871
7	20872
10	20873
7	20874
10	20875
3	20876
7	20877
3	20878
2	20879
3	20880
4	20881
5	20882
7	20883
8	20884
1	20885
6	20886
10	20887
4	20888
7	20889
8	20890
7	20891
7	20892
9	20893
9	20894
4	20895
9	20896
10	20897
3	20898
5	20899
5	20900
4	20901
4	20902
4	20903
3	20904
8	20905
4	20906
4	20907
9	20908
10	20909
10	20910
10	20911
6	20912
4	20913
8	20914
9	20915
1	20916
10	20917
8	20918
7	20919
4	20920
1	20921
7	20922
3	20923
4	20924
1	20925
5	20926
8	20927
3	20928
2	20929
3	20930
9	20931
10	20932
7	20933
7	20934
1	20935
5	20936
5	20937
7	20938
7	20939
5	20940
4	20941
1	20942
5	20943
3	20944
1	20945
10	20946
1	20947
2	20948
3	20949
4	20950
9	20951
3	20952
5	20953
4	20954
7	20955
1	20956
7	20957
8	20958
8	20959
9	20960
4	20961
4	20962
6	20963
5	20964
4	20965
1	20966
1	20967
4	20968
5	20969
7	20970
1	20971
9	20972
7	20973
3	20974
3	20975
10	20976
10	20977
7	20978
2	20979
3	20980
4	20981
3	20982
9	20983
8	20984
8	20985
2	20986
5	20987
9	20988
1	20989
7	20990
1	20991
1	20992
6	20993
7	20994
6	20995
9	20996
9	20997
10	20998
9	20999
5	21000
