Date	PlateNumber	IllegalMatter	Fines	Settled	SettledDate	LateFees
2009-01-03 18:00:00	672 ACK	Parking	100	true	2009-01-07 12:00:00	0
2009-01-03 18:30:00	RPS 973	Impose on yellow line	100	true	2009-02-21 15:50:00	54
2009-01-03 19:15:00	087 TBJ	Disobey the policeman	400	true	2009-01-14 15:05:00	0
2009-01-03 20:35:00	448 VHH	Unlicensed	600	true	2009-01-04 12:45:00	0
2009-01-03 21:50:00	DKZ 471	Disobey the policeman	400	true	2009-01-24 10:05:00	0
2009-01-03 23:30:00	960 IJY	Parking	100	true	2009-02-15 09:05:00	36
2009-01-04 00:05:00	TWZ 429	Impose on yellow line	100	true	2009-02-20 10:30:00	51
2009-01-04 00:25:00	298 SWX	Drunk driving	2000	false		1500
2009-01-04 00:55:00	KAP 422	Drunk driving	2000	true	2009-02-03 09:35:00	0
2009-01-04 02:15:00	EBO 851	Drunk driving	2000	true	2009-02-02 16:55:00	0
2009-01-04 03:20:00	BON 189	Speeding	600	true	2009-01-07 09:15:00	0
2009-01-04 05:20:00	ZIL 441	Drunk driving	2000	true	2009-01-16 11:00:00	0
2009-01-04 06:05:00	PVY 261	Disobey the policeman	400	true	2009-02-09 15:25:00	72
2009-01-04 08:25:00	442 TGH	Drunk driving	2000	false		1500
2009-01-04 08:30:00	YSR 491	Unlicensed	600	true	2009-02-05 12:25:00	36
2009-01-04 09:25:00	KDY 389	Impose on yellow line	100	true	2009-02-05 11:25:00	6
2009-01-04 10:35:00	UQI 755	Unlicensed	600	false		450
2009-01-04 12:15:00	STI 084	Illegal U-turn	400	true	2009-02-20 11:25:00	192
2009-01-04 13:25:00	JRM 373	Retrograde	2000	false		1500
2009-01-04 16:30:00	GBR 468	Retrograde	2000	true	2009-01-10 09:15:00	0
2009-01-04 20:05:00	VIC 416	Speeding	600	true	2009-02-17 15:10:00	234
2009-01-04 22:50:00	KNP 130	Unlicensed	600	true	2009-02-10 16:35:00	108
2009-01-05 00:45:00	348 BBY	Illegal U-turn	400	true	2009-01-16 13:00:00	0
2009-01-05 02:30:00	TMK 273	Drunk driving	2000	true	2009-02-20 17:05:00	960
2009-01-05 02:35:00	JQA 166	Unlicensed	600	true	2009-02-26 16:50:00	396
2009-01-05 03:20:00	031 VIG	Disobey the policeman	400	true	2009-02-09 14:30:00	60
2009-01-05 06:25:00	EZG 817	Disobey the policeman	400	true	2009-02-05 09:15:00	12
2009-01-05 06:50:00	JKW 952	Drunk driving	2000	true	2009-01-20 17:40:00	0
2009-01-05 07:20:00	LDG 126	Illegal U-turn	400	true	2009-02-06 12:05:00	24
2009-01-05 10:25:00	OLA 372	Unlicensed	600	true	2009-02-23 16:05:00	342
2009-01-05 12:25:00	LAS 921	Retrograde	2000	true	2009-02-15 10:40:00	600
2009-01-05 16:05:00	KJX 903	Red light	50	true	2009-01-07 16:00:00	0
2009-01-05 16:40:00	935 ATW	Unlicensed	600	true	2009-01-06 10:05:00	0
2009-01-05 17:10:00	PMQ 548	Unlicensed	600	true	2009-01-13 15:20:00	0
2009-01-05 17:55:00	LFM 217	Unlicensed	600	true	2009-02-04 10:05:00	0
2009-01-05 18:10:00	TGZ 378	Illegal U-turn	400	true	2009-01-18 10:35:00	0
2009-01-05 18:45:00	410 GBN	Disobey the policeman	400	true	2009-02-05 12:20:00	0
2009-01-05 19:05:00	FRW 341	Drunk driving	2000	false		1440
2009-01-05 20:15:00	QZQ 205	Red light	50	true	2009-01-12 10:50:00	0
2009-01-05 20:25:00	EPN 710	Disobey the policeman	400	false		288
2009-01-05 20:35:00	HWN 873	Retrograde	2000	true	2009-01-12 11:10:00	0
2009-01-05 21:05:00	WPM 814	Retrograde	2000	true	2009-01-26 17:30:00	0
2009-01-05 21:35:00	NNC 871	Speeding	600	true	2009-01-11 12:55:00	0
2009-01-05 22:10:00	WDU 353	Drunk driving	2000	true	2009-02-22 09:30:00	1020
2009-01-05 22:35:00	WQO 144	Illegal U-turn	400	true	2009-02-14 09:50:00	108
2009-01-05 23:05:00	NDR 155	Unlicensed	600	true	2009-01-25 12:00:00	0
2009-01-06 01:45:00	UKP 448	Retrograde	2000	true	2009-02-25 10:40:00	1200
2009-01-06 05:20:00	KYV 311	Red light	50	true	2009-02-06 12:25:00	2
2009-01-06 06:05:00	OIG 380	Drunk driving	2000	true	2009-02-13 13:35:00	480
2009-01-06 07:10:00	XXI 832	Red light	50	true	2009-01-23 11:30:00	0
2009-01-06 08:25:00	WRG 870	Drunk driving	2000	true	2009-01-26 10:10:00	0
2009-01-06 09:10:00	KZN 609	Drunk driving	2000	true	2009-01-25 12:45:00	0
2009-01-06 09:55:00	HLG 299	Unlicensed	600	true	2009-02-24 09:45:00	324
2009-01-06 11:40:00	NYV 950	Impose on yellow line	100	true	2009-01-07 10:40:00	0
2009-01-06 12:35:00	IBC 734	Drunk driving	2000	true	2009-01-09 17:35:00	0
2009-01-06 13:10:00	CVH 340	Speeding	600	true	2009-02-01 14:25:00	0
2009-01-06 13:40:00	277 QEZ	Illegal U-turn	400	false		276
2009-01-06 14:10:00	MTI 663	Unlicensed	600	true	2009-02-20 09:10:00	252
2009-01-06 15:10:00	011 RFD	Drunk driving	2000	false		1380
2009-01-06 15:30:00	157 OPN	Disobey the policeman	400	true	2009-01-23 17:15:00	0
2009-01-06 15:45:00	684 XZH	Speeding	600	true	2009-02-19 17:55:00	252
2009-01-06 15:55:00	838 KXX	Impose on yellow line	100	true	2009-02-25 10:00:00	57
2009-01-06 19:45:00	579 PGT	Drunk driving	2000	true	2009-02-08 11:20:00	120
2009-01-06 21:15:00	973 KAK	Red light	50	true	2009-02-25 14:25:00	28
2009-01-07 03:05:00	CES 548	Retrograde	2000	true	2009-02-10 14:30:00	240
2009-01-07 03:10:00	838 VCN	Drunk driving	2000	true	2009-02-21 12:35:00	900
2009-01-07 04:30:00	BSF 052	Impose on yellow line	100	true	2009-01-25 11:05:00	0
2009-01-07 04:45:00	365 LLE	Red light	50	false		33
2009-01-07 05:30:00	OEU 311	Disobey the policeman	400	true	2009-01-20 11:30:00	0
2009-01-07 06:00:00	UFN 512	Drunk driving	2000	true	2009-02-10 12:25:00	240
2009-01-07 06:15:00	CBY 847	Impose on yellow line	100	true	2009-02-10 09:25:00	12
2009-01-07 06:25:00	ADX 782	Disobey the policeman	400	true	2009-02-06 17:40:00	0
2009-01-07 06:55:00	JSF 731	Drunk driving	2000	true	2009-02-09 11:50:00	180
2009-01-07 07:15:00	JAG 170	Speeding	600	true	2009-02-06 15:30:00	0
2009-01-07 07:20:00	063 BPQ	Drunk driving	2000	true	2009-02-12 10:30:00	360
2009-01-07 11:25:00	129 ZQB	Disobey the policeman	400	true	2009-01-07 14:00:00	0
2009-01-07 12:15:00	933 OVU	Speeding	600	true	2009-02-18 09:40:00	198
2009-01-07 14:05:00	674 DPJ	Illegal U-turn	400	true	2009-02-12 17:30:00	72
2009-01-07 15:25:00	DOX 643	Red light	50	true	2009-01-14 15:40:00	0
2009-01-07 18:55:00	MAB 727	Impose on yellow line	100	true	2009-02-11 10:50:00	12
2009-01-07 19:40:00	QLK 983	Illegal U-turn	400	true	2009-02-24 12:20:00	204
2009-01-07 20:15:00	XZG 097	Disobey the policeman	400	true	2009-01-23 17:05:00	0
2009-01-07 21:55:00	DQI 399	Red light	50	true	2009-01-15 11:55:00	0
2009-01-07 22:45:00	IGT 434	Red light	50	true	2009-02-01 15:10:00	0
2009-01-08 01:00:00	AGS 919	Retrograde	2000	true	2009-01-16 15:25:00	0
2009-01-08 01:10:00	OHT 785	Impose on yellow line	100	true	2009-01-30 13:20:00	0
2009-01-08 01:35:00	XKZ 924	Drunk driving	2000	true	2009-01-26 16:05:00	0
2009-01-08 02:25:00	ZUI 547	Parking	100	true	2009-01-21 10:40:00	0
2009-01-08 02:30:00	NQG 241	Retrograde	2000	true	2009-02-19 10:50:00	720
2009-01-08 03:35:00	SLB 783	Unlicensed	600	false		378
2009-01-08 06:25:00	456 TCT	Impose on yellow line	100	true	2009-02-14 11:15:00	21
2009-01-08 06:40:00	427 ZXD	Illegal U-turn	400	false		252
2009-01-08 10:30:00	LLL 100	Drunk driving	2000	false		1260
2009-01-08 13:45:00	MIZ 752	Retrograde	2000	true	2009-02-04 11:00:00	0
2009-01-08 14:10:00	761 VBB	Disobey the policeman	400	true	2009-01-28 14:05:00	0
2009-01-08 16:45:00	NMN 793	Retrograde	2000	false		1260
2009-01-08 17:25:00	CTL 497	Retrograde	2000	true	2009-02-15 15:45:00	420
2009-01-08 18:10:00	988 GCW	Illegal U-turn	400	true	2009-02-10 16:45:00	24
2009-01-08 19:20:00	919 YTW	Drunk driving	2000	true	2009-02-13 16:05:00	300
2009-01-08 21:35:00	BGV 980	Disobey the policeman	400	true	2009-02-23 17:50:00	180
2009-01-08 21:40:00	ZCH 440	Drunk driving	2000	false		1260
2009-01-08 22:20:00	329 POZ	Retrograde	2000	false		1260
2009-01-08 23:15:00	SOG 078	Drunk driving	2000	false		1260
2009-01-08 23:45:00	734 EYF	Illegal U-turn	400	true	2009-01-26 15:30:00	0
2009-01-08 23:50:00	OHI 308	Retrograde	2000	false		1260
2009-01-09 00:05:00	GWL 144	Disobey the policeman	400	false		240
2009-01-09 01:35:00	SFG 066	Illegal U-turn	400	true	2009-01-22 17:20:00	0
2009-01-09 02:40:00	LOR 100	Retrograde	2000	true	2009-01-22 13:45:00	0
2009-01-09 03:10:00	317 RGI	Illegal U-turn	400	true	2009-01-23 15:25:00	0
2009-01-09 04:25:00	GFM 336	Impose on yellow line	100	true	2009-01-26 16:10:00	0
2009-01-09 05:55:00	XJQ 447	Unlicensed	600	true	2009-02-08 13:15:00	0
2009-01-09 06:30:00	LNN 343	Drunk driving	2000	false		1200
2009-01-09 08:30:00	GHE 670	Disobey the policeman	400	false		240
2009-01-09 09:10:00	VDU 431	Illegal U-turn	400	true	2009-01-24 11:25:00	0
2009-01-09 14:00:00	UTT 875	Disobey the policeman	400	true	2009-01-28 16:55:00	0
2009-01-09 16:15:00	XRR 262	Illegal U-turn	400	false		240
2009-01-09 18:25:00	XUM 075	Red light	50	false		30
2009-01-09 18:45:00	AXV 674	Illegal U-turn	400	true	2009-02-14 13:35:00	60
2009-01-09 22:35:00	BBR 688	Retrograde	2000	true	2009-02-04 14:15:00	0
2009-01-09 23:00:00	YFM 867	Parking	100	true	2009-01-30 11:15:00	0
2009-01-09 23:30:00	891 QHX	Impose on yellow line	100	true	2009-01-12 11:10:00	0
2009-01-09 23:50:00	529 KIA	Parking	100	true	2009-02-03 13:20:00	0
2009-01-10 00:25:00	TMO 024	Retrograde	2000	true	2009-02-13 13:35:00	240
2009-01-10 01:50:00	ZQF 636	Red light	50	false		28
2009-01-10 03:10:00	MSD 767	Unlicensed	600	true	2009-01-16 15:15:00	0
2009-01-10 04:30:00	HYM 938	Drunk driving	2000	true	2009-02-10 15:40:00	60
2009-01-10 06:30:00	RKU 640	Illegal U-turn	400	true	2009-02-03 17:05:00	0
2009-01-10 13:40:00	ISP 110	Disobey the policeman	400	true	2009-02-06 14:10:00	0
2009-01-10 14:05:00	CKH 571	Parking	100	true	2009-01-15 11:40:00	0
2009-01-10 14:20:00	200 WYE	Impose on yellow line	100	false		57
2009-01-10 15:40:00	156 YRR	Drunk driving	2000	true	2009-02-17 10:55:00	420
2009-01-10 16:15:00	880 VPE	Illegal U-turn	400	true	2009-02-14 16:00:00	48
2009-01-10 17:15:00	OLB 127	Retrograde	2000	true	2009-01-25 14:35:00	0
2009-01-10 17:30:00	616 ZHA	Drunk driving	2000	true	2009-02-22 16:45:00	720
2009-01-10 18:00:00	RHZ 291	Red light	50	false		28
2009-01-10 19:05:00	560 OHI	Unlicensed	600	true	2009-01-12 16:50:00	0
2009-01-10 19:45:00	AAH 259	Retrograde	2000	true	2009-01-11 15:35:00	0
2009-01-10 19:50:00	454 PWQ	Disobey the policeman	400	true	2009-01-23 16:35:00	0
2009-01-10 20:05:00	ZAQ 050	Drunk driving	2000	true	2009-02-28 16:30:00	1080
2009-01-10 20:40:00	446 EBT	Unlicensed	600	false		342
2009-01-10 22:35:00	YFF 912	Speeding	600	true	2009-02-10 17:10:00	0
2009-01-10 23:35:00	VND 850	Unlicensed	600	false		342
2009-01-11 01:25:00	CER 914	Parking	100	true	2009-02-13 15:00:00	9
2009-01-11 01:45:00	QWD 600	Parking	100	true	2009-01-20 14:50:00	0
2009-01-11 04:10:00	XWA 171	Speeding	600	true	2009-02-19 11:45:00	162
2009-01-11 04:15:00	AZJ 501	Red light	50	true	2009-01-14 16:10:00	0
2009-01-11 04:30:00	QVR 508	Parking	100	true	2009-02-03 09:50:00	0
2009-01-11 05:45:00	WNU 615	Disobey the policeman	400	false		216
2009-01-11 11:50:00	974 UEA	Retrograde	2000	true	2009-02-10 17:45:00	0
2009-01-11 12:00:00	IWK 552	Speeding	600	false		324
2009-01-11 15:05:00	MHL 340	Red light	50	true	2009-02-27 17:45:00	26
2009-01-11 16:45:00	SPW 599	Impose on yellow line	100	true	2009-01-26 09:20:00	0
2009-01-11 17:05:00	APJ 656	Speeding	600	true	2009-02-06 12:10:00	0
2009-01-11 17:45:00	635 FES	Impose on yellow line	100	true	2009-01-14 13:05:00	0
2009-01-11 21:50:00	903 UEU	Retrograde	2000	false		1080
2009-01-11 22:15:00	573 ZIB	Speeding	600	true	2009-02-14 12:55:00	54
2009-01-11 22:20:00	GMQ 640	Parking	100	true	2009-02-20 14:25:00	27
2009-01-11 23:00:00	ZHZ 742	Retrograde	2000	true	2009-01-30 10:15:00	0
2009-01-12 04:40:00	MVW 462	Impose on yellow line	100	true	2009-02-05 11:00:00	0
2009-01-12 05:55:00	610 VCK	Retrograde	2000	true	2009-01-26 11:20:00	0
2009-01-12 07:15:00	933 NFX	Illegal U-turn	400	false		204
2009-01-12 09:45:00	061 MVZ	Illegal U-turn	400	true	2009-01-26 11:25:00	0
2009-01-12 13:45:00	TLI 894	Speeding	600	false		306
2009-01-12 16:55:00	192 AEV	Impose on yellow line	100	true	2009-02-17 09:25:00	15
2009-01-12 17:40:00	173 BMS	Impose on yellow line	100	false		51
2009-01-12 19:50:00	XVP 277	Disobey the policeman	400	false		204
2009-01-13 00:30:00	NEE 321	Disobey the policeman	400	false		192
2009-01-13 00:40:00	YVI 176	Unlicensed	600	true	2009-01-27 15:30:00	0
2009-01-13 03:50:00	RKH 927	Red light	50	true	2009-02-27 15:35:00	22
2009-01-13 04:40:00	YEB 963	Illegal U-turn	400	true	2009-01-26 12:50:00	0
2009-01-13 09:20:00	XSJ 750	Speeding	600	false		288
2009-01-13 09:35:00	PRY 209	Speeding	600	true	2009-02-23 15:40:00	198
2009-01-13 10:40:00	899 BWV	Disobey the policeman	400	false		192
2009-01-13 10:50:00	KLO 021	Parking	100	true	2009-02-18 17:30:00	18
2009-01-13 12:30:00	UJX 364	Red light	50	true	2009-02-28 11:30:00	22
2009-01-13 15:20:00	LWR 508	Unlicensed	600	true	2009-01-17 16:25:00	0
2009-01-13 15:50:00	LXA 998	Disobey the policeman	400	true	2009-02-07 13:25:00	0
2009-01-13 17:05:00	JKZ 134	Parking	100	true	2009-01-31 11:55:00	0
2009-01-13 18:30:00	333 XQU	Disobey the policeman	400	true	2009-02-15 13:40:00	24
2009-01-13 19:15:00	LME 718	Red light	50	false		24
2009-01-13 19:35:00	434 ZVP	Drunk driving	2000	false		960
2009-01-13 20:00:00	PSQ 447	Drunk driving	2000	true	2009-01-26 16:40:00	0
2009-01-13 20:55:00	800 KYT	Disobey the policeman	400	true	2009-02-11 16:00:00	0
2009-01-13 21:35:00	WJP 517	Unlicensed	600	false		288
2009-01-14 03:55:00	603 LJR	Speeding	600	false		270
2009-01-14 06:25:00	724 SKJ	Parking	100	true	2009-02-12 16:45:00	0
2009-01-14 08:15:00	NVD 969	Speeding	600	true	2009-01-23 16:55:00	0
2009-01-14 09:25:00	HFL 444	Impose on yellow line	100	false		45
2009-01-14 10:35:00	JBZ 134	Disobey the policeman	400	false		180
2009-01-14 13:10:00	UPZ 144	Unlicensed	600	true	2009-02-27 09:35:00	234
2009-01-14 13:25:00	149 QDR	Retrograde	2000	true	2009-02-23 11:35:00	540
2009-01-14 15:15:00	TBU 166	Red light	50	false		22
2009-01-14 17:05:00	TAW 765	Drunk driving	2000	true	2009-01-22 10:30:00	0
2009-01-14 17:45:00	634 CDL	Red light	50	false		22
2009-01-14 18:25:00	PXI 900	Unlicensed	600	true	2009-01-15 17:00:00	0
2009-01-14 18:30:00	SDU 979	Retrograde	2000	true	2009-01-25 13:50:00	0
2009-01-14 19:00:00	MIJ 240	Red light	50	true	2009-01-27 09:55:00	0
2009-01-14 20:05:00	GIE 536	Red light	50	true	2009-02-07 15:40:00	0
2009-01-14 21:05:00	PUN 456	Impose on yellow line	100	false		45
2009-01-14 21:40:00	LWK 359	Impose on yellow line	100	false		45
2009-01-15 02:25:00	ENQ 937	Drunk driving	2000	true	2009-02-18 09:45:00	240
2009-01-15 03:50:00	486 YLU	Parking	100	true	2009-02-15 13:25:00	3
2009-01-15 05:35:00	HQE 132	Disobey the policeman	400	true	2009-02-11 11:55:00	0
2009-01-15 08:20:00	AJE 174	Unlicensed	600	false		252
2009-01-15 08:25:00	PYT 151	Impose on yellow line	100	false		42
2009-01-15 11:05:00	520 YHK	Parking	100	true	2009-02-12 09:05:00	0
2009-01-15 13:45:00	CKF 208	Disobey the policeman	400	true	2009-02-13 11:50:00	0
2009-01-15 14:25:00	HWW 736	Illegal U-turn	400	true	2009-02-16 11:45:00	12
2009-01-15 16:00:00	243 GEW	Retrograde	2000	true	2009-02-19 11:15:00	240
2009-01-15 16:55:00	YVJ 600	Illegal U-turn	400	true	2009-02-17 09:35:00	24
2009-01-15 17:05:00	XIU 737	Illegal U-turn	400	true	2009-01-31 17:35:00	0
2009-01-15 17:20:00	ZBU 242	Unlicensed	600	true	2009-02-12 13:55:00	0
2009-01-15 19:45:00	DDH 392	Speeding	600	true	2009-02-24 13:30:00	162
2009-01-15 21:40:00	VCO 930	Parking	100	true	2009-02-05 14:00:00	0
2009-01-15 21:45:00	WMU 917	Disobey the policeman	400	false		168
2009-01-15 22:20:00	KJT 273	Red light	50	true	2009-02-23 11:25:00	12
2009-01-16 00:05:00	BDX 942	Parking	100	true	2009-02-25 15:35:00	30
2009-01-16 04:45:00	AMS 417	Speeding	600	true	2009-02-13 09:05:00	0
2009-01-16 05:45:00	RVM 719	Unlicensed	600	true	2009-01-18 11:35:00	0
2009-01-16 06:05:00	ABP 955	Parking	100	false		39
2009-01-16 06:55:00	081 RGV	Disobey the policeman	400	true	2009-02-10 11:30:00	0
2009-01-16 07:05:00	470 MYP	Drunk driving	2000	false		780
2009-01-16 07:40:00	201 HLF	Red light	50	true	2009-02-04 14:30:00	0
2009-01-16 07:45:00	SNG 076	Drunk driving	2000	true	2009-02-14 14:40:00	0
2009-01-16 08:20:00	SKV 454	Parking	100	true	2009-02-01 10:10:00	0
2009-01-16 10:30:00	TYK 297	Impose on yellow line	100	false		39
2009-01-16 12:40:00	872 HMY	Unlicensed	600	false		234
2009-01-16 13:00:00	898 CTY	Red light	50	true	2009-01-26 17:20:00	0
2009-01-16 13:30:00	XTZ 587	Red light	50	true	2009-02-05 13:45:00	0
2009-01-16 14:55:00	JRN 819	Parking	100	true	2009-02-13 09:20:00	0
2009-01-16 16:00:00	CPG 706	Speeding	600	false		234
2009-01-16 16:35:00	206 KNZ	Drunk driving	2000	true	2009-02-14 09:25:00	0
2009-01-16 17:15:00	BYG 043	Red light	50	true	2009-02-06 13:45:00	0
2009-01-16 17:25:00	YPA 467	Disobey the policeman	400	false		156
2009-01-16 17:40:00	598 TZP	Disobey the policeman	400	false		156
2009-01-16 18:30:00	PIH 335	Unlicensed	600	true	2009-01-23 15:00:00	0
2009-01-16 19:05:00	AOK 345	Impose on yellow line	100	true	2009-01-30 13:25:00	0
2009-01-16 19:10:00	896 HZI	Parking	100	false		39
2009-01-16 20:55:00	KEZ 027	Impose on yellow line	100	true	2009-01-21 14:20:00	0
2009-01-16 23:35:00	PGW 948	Parking	100	false		39
2009-01-17 00:05:00	QQQ 284	Illegal U-turn	400	true	2009-02-18 10:05:00	24
2009-01-17 00:30:00	ZPR 160	Unlicensed	600	true	2009-02-08 13:50:00	0
2009-01-17 02:50:00	704 XNJ	Impose on yellow line	100	true	2009-01-20 14:35:00	0
2009-01-17 04:30:00	YDN 291	Impose on yellow line	100	true	2009-02-19 15:45:00	9
2009-01-17 06:00:00	DVT 479	Disobey the policeman	400	true	2009-02-01 12:25:00	0
2009-01-17 07:50:00	DXK 803	Impose on yellow line	100	true	2009-02-23 17:30:00	21
2009-01-17 08:30:00	HSF 990	Illegal U-turn	400	true	2009-02-01 15:25:00	0
2009-01-17 10:10:00	596 OKB	Retrograde	2000	true	2009-02-28 09:20:00	660
2009-01-17 10:20:00	FIL 770	Speeding	600	false		216
