S/N	ContractNo	Date	Repayment
12704	100421	2004-07-28 00:00:00	5500
12705	100425	2004-07-28 00:00:00	12125
12706	100430	2004-08-28 00:00:00	21625
12707	100422	2004-08-28 00:00:00	2875
12708	100425	2004-08-28 00:00:00	12125
12709	100421	2004-08-28 00:00:00	5500
12710	100422	2004-09-28 00:00:00	2875
12711	100430	2004-09-28 00:00:00	21625
12712	100425	2004-09-28 00:00:00	12125
12713	100421	2004-09-28 00:00:00	5500
12714	100427	2004-10-28 00:00:00	13000
12715	100425	2004-10-28 00:00:00	12125
12716	100421	2004-10-28 00:00:00	5500
12717	100422	2004-10-28 00:00:00	2875
12718	100430	2004-10-28 00:00:00	21625
12719	100430	2004-11-28 00:00:00	21625
12720	100422	2004-11-28 00:00:00	2875
12721	100421	2004-11-28 00:00:00	5500
12722	100427	2004-11-28 00:00:00	13000
12723	100425	2004-11-28 00:00:00	12125
12724	100421	2004-12-28 00:00:00	5500
12725	100422	2004-12-28 00:00:00	2875
12726	100430	2004-12-28 00:00:00	21625
12727	100427	2004-12-28 00:00:00	13000
12728	100425	2004-12-28 00:00:00	12125
12729	100425	2005-01-28 00:00:00	12125
12730	100427	2005-01-28 00:00:00	13000
12731	100421	2005-01-28 00:00:00	5500
12732	100422	2005-01-28 00:00:00	2875
12733	100430	2005-01-28 00:00:00	21625
12734	100430	2005-02-28 00:00:00	21625
12735	100421	2005-02-28 00:00:00	5500
12736	100425	2005-02-28 00:00:00	12125
12737	100427	2005-02-28 00:00:00	13000
12738	100422	2005-02-28 00:00:00	2875
12739	100425	2005-03-28 00:00:00	12125
12740	100427	2005-03-28 00:00:00	13000
12741	100430	2005-03-28 00:00:00	21625
12742	100422	2005-03-28 00:00:00	2875
12743	100421	2005-03-28 00:00:00	5500
12744	100425	2005-04-28 00:00:00	12125
12745	100427	2005-04-28 00:00:00	13000
12746	100422	2005-04-28 00:00:00	2875
12747	100421	2005-04-28 00:00:00	5500
12748	100430	2005-04-28 00:00:00	21625
12749	100427	2005-05-28 00:00:00	13000
12750	100422	2005-05-28 00:00:00	2875
12751	100425	2005-05-28 00:00:00	12125
12752	100421	2005-05-28 00:00:00	5500
12753	100430	2005-05-28 00:00:00	21625
12754	100427	2005-06-28 00:00:00	13000
12755	100425	2005-06-28 00:00:00	12125
12756	100430	2005-06-28 00:00:00	21625
12757	100421	2005-06-28 00:00:00	5500
12758	100422	2005-06-28 00:00:00	2875
12759	100430	2005-07-28 00:00:00	21625
12760	100421	2005-07-28 00:00:00	5500
12761	100427	2005-07-28 00:00:00	13000
12762	100425	2005-07-28 00:00:00	12125
12763	100422	2005-07-28 00:00:00	2875
12764	100425	2005-08-28 00:00:00	12125
12765	100422	2005-08-28 00:00:00	2875
12766	100421	2005-08-28 00:00:00	5500
12767	100430	2005-08-28 00:00:00	21625
12768	100424	2005-08-28 00:00:00	9750
12769	100427	2005-08-28 00:00:00	13000
12770	100424	2005-09-28 00:00:00	9750
12771	100430	2005-09-28 00:00:00	21625
12772	100422	2005-09-28 00:00:00	2875
12773	100421	2005-09-28 00:00:00	5500
12774	100425	2005-09-28 00:00:00	12125
12775	100427	2005-09-28 00:00:00	13000
12776	100421	2005-10-28 00:00:00	5500
12777	100430	2005-10-28 00:00:00	21625
12778	100425	2005-10-28 00:00:00	12125
12779	100427	2005-10-28 00:00:00	13000
12780	100422	2005-10-28 00:00:00	2875
12781	100424	2005-10-28 00:00:00	9750
12782	100425	2005-11-28 00:00:00	12125
12783	100427	2005-11-28 00:00:00	13000
12784	100424	2005-11-28 00:00:00	9750
12785	100421	2005-11-28 00:00:00	5500
12786	100422	2005-11-28 00:00:00	2875
12787	100430	2005-11-28 00:00:00	21625
12788	100430	2005-12-28 00:00:00	21625
12789	100425	2005-12-28 00:00:00	12125
12790	100427	2005-12-28 00:00:00	13000
12791	100422	2005-12-28 00:00:00	2875
12792	100421	2005-12-28 00:00:00	5500
12793	100424	2005-12-28 00:00:00	9750
12794	100424	2006-01-28 00:00:00	9750
12795	100430	2006-01-28 00:00:00	21625
12796	100421	2006-01-28 00:00:00	5500
12797	100422	2006-01-28 00:00:00	2875
12798	100425	2006-01-28 00:00:00	12125
12799	100427	2006-01-28 00:00:00	13000
12800	100425	2006-02-28 00:00:00	12125
12801	100427	2006-02-28 00:00:00	13000
12802	100421	2006-02-28 00:00:00	5500
12803	100430	2006-02-28 00:00:00	21625
12804	100422	2006-02-28 00:00:00	2875
12805	100424	2006-02-28 00:00:00	9750
12806	100424	2006-03-28 00:00:00	9750
12807	100427	2006-03-28 00:00:00	13000
12808	100421	2006-03-28 00:00:00	5500
12809	100425	2006-03-28 00:00:00	12125
12810	100430	2006-03-28 00:00:00	21625
12811	100422	2006-03-28 00:00:00	2875
12812	100421	2006-04-28 00:00:00	5500
12813	100430	2006-04-28 00:00:00	21625
12814	100422	2006-04-28 00:00:00	2875
12815	100425	2006-04-28 00:00:00	12125
12816	100427	2006-04-28 00:00:00	13000
12817	100424	2006-04-28 00:00:00	9750
12818	100427	2006-05-28 00:00:00	13000
12819	100430	2006-05-28 00:00:00	21625
12820	100422	2006-05-28 00:00:00	2875
12821	100421	2006-05-28 00:00:00	5500
12822	100424	2006-05-28 00:00:00	9750
12823	100425	2006-05-28 00:00:00	12125
12824	100424	2006-06-28 00:00:00	9750
12825	100430	2006-06-28 00:00:00	21625
12826	100425	2006-06-28 00:00:00	12125
12827	100427	2006-06-28 00:00:00	13000
12828	100422	2006-06-28 00:00:00	2875
12829	100421	2006-06-28 00:00:00	5500
12830	100424	2006-07-28 00:00:00	9750
12831	100421	2006-07-28 00:00:00	5500
12832	100425	2006-07-28 00:00:00	12125
12833	100427	2006-07-28 00:00:00	13000
12834	100422	2006-07-28 00:00:00	2875
12835	100430	2006-07-28 00:00:00	21625
12836	100425	2006-08-28 00:00:00	12125
12837	100421	2006-08-28 00:00:00	5500
12838	100427	2006-08-28 00:00:00	13000
12839	100422	2006-08-28 00:00:00	2875
12840	100430	2006-08-28 00:00:00	21625
12841	100424	2006-08-28 00:00:00	9750
12842	100427	2006-09-28 00:00:00	13000
12843	100430	2006-09-28 00:00:00	21625
12844	100421	2006-09-28 00:00:00	5500
12845	100425	2006-09-28 00:00:00	12125
12846	100422	2006-09-28 00:00:00	2875
12847	100424	2006-09-28 00:00:00	9750
12848	100421	2006-10-28 00:00:00	5500
12849	100427	2006-10-28 00:00:00	13000
12850	100424	2006-10-28 00:00:00	9750
12851	100422	2006-10-28 00:00:00	2875
12852	100425	2006-10-28 00:00:00	12125
12853	100430	2006-10-28 00:00:00	21625
12854	100430	2006-11-28 00:00:00	21625
12855	100427	2006-11-28 00:00:00	13000
12856	100422	2006-11-28 00:00:00	2875
12857	100424	2006-11-28 00:00:00	9750
12858	100421	2006-11-28 00:00:00	5500
12859	100425	2006-11-28 00:00:00	12125
12860	100427	2006-12-28 00:00:00	13000
12861	100424	2006-12-28 00:00:00	9750
12862	100430	2006-12-28 00:00:00	21625
12863	100425	2006-12-28 00:00:00	12125
12864	100422	2006-12-28 00:00:00	2875
12865	100421	2006-12-28 00:00:00	5500
12866	100425	2007-01-28 00:00:00	12125
12867	100427	2007-01-28 00:00:00	13000
12868	100430	2007-01-28 00:00:00	21625
12869	100422	2007-01-28 00:00:00	2875
12870	100421	2007-01-28 00:00:00	5500
12871	100424	2007-01-28 00:00:00	9750
12872	100422	2007-02-28 00:00:00	2875
12873	100425	2007-02-28 00:00:00	12125
12874	100427	2007-02-28 00:00:00	13000
12875	100424	2007-02-28 00:00:00	9750
12876	100421	2007-02-28 00:00:00	5500
12877	100430	2007-02-28 00:00:00	21625
12878	100430	2007-03-28 00:00:00	21625
12879	100424	2007-03-28 00:00:00	9750
12880	100421	2007-03-28 00:00:00	5500
12881	100422	2007-03-28 00:00:00	2875
12882	100425	2007-03-28 00:00:00	12125
12883	100427	2007-03-28 00:00:00	13000
12884	100425	2007-04-28 00:00:00	12125
12885	100421	2007-04-28 00:00:00	5500
12886	100430	2007-04-28 00:00:00	21625
12887	100427	2007-04-28 00:00:00	13000
12888	100426	2007-04-28 00:00:00	16875
12889	100424	2007-04-28 00:00:00	9750
12890	100422	2007-04-28 00:00:00	2875
12891	100425	2007-05-28 00:00:00	12125
12892	100426	2007-05-28 00:00:00	16875
12893	100424	2007-05-28 00:00:00	9750
12894	100427	2007-05-28 00:00:00	13000
12895	100421	2007-05-28 00:00:00	5500
12896	100430	2007-05-28 00:00:00	21625
12897	100422	2007-05-28 00:00:00	2875
12898	100430	2007-06-28 00:00:00	21625
12899	100424	2007-06-28 00:00:00	9750
12900	100427	2007-06-28 00:00:00	13000
12901	100425	2007-06-28 00:00:00	12125
12902	100422	2007-06-28 00:00:00	2875
12903	100421	2007-06-28 00:00:00	5500
12904	100426	2007-06-28 00:00:00	16875
12905	100425	2007-07-28 00:00:00	12125
12906	100427	2007-07-28 00:00:00	13000
12907	100422	2007-07-28 00:00:00	2875
12908	100426	2007-07-28 00:00:00	16875
12909	100430	2007-07-28 00:00:00	21625
12910	100421	2007-07-28 00:00:00	5500
12911	100424	2007-07-28 00:00:00	9750
12912	100426	2007-08-28 00:00:00	16875
12913	100424	2007-08-28 00:00:00	9750
12914	100421	2007-08-28 00:00:00	5500
12915	100422	2007-08-28 00:00:00	2875
12916	100423	2007-08-28 00:00:00	9000
12917	100427	2007-08-28 00:00:00	13000
12918	100430	2007-08-28 00:00:00	21625
12919	100425	2007-08-28 00:00:00	12125
12920	100422	2007-09-28 00:00:00	2875
12921	100421	2007-09-28 00:00:00	5500
12922	100424	2007-09-28 00:00:00	9750
12923	100426	2007-09-28 00:00:00	16875
12924	100425	2007-09-28 00:00:00	12125
12925	100430	2007-09-28 00:00:00	21625
12926	100423	2007-09-28 00:00:00	9000
12927	100427	2007-09-28 00:00:00	13000
12928	100421	2007-10-28 00:00:00	5500
12929	100425	2007-10-28 00:00:00	12125
12930	100427	2007-10-28 00:00:00	13000
12931	100426	2007-10-28 00:00:00	16875
12932	100424	2007-10-28 00:00:00	9750
12933	100423	2007-10-28 00:00:00	9000
12934	100422	2007-10-28 00:00:00	2875
12935	100430	2007-10-28 00:00:00	21625
12936	100430	2007-11-28 00:00:00	21625
12937	100422	2007-11-28 00:00:00	2875
12938	100423	2007-11-28 00:00:00	9000
12939	100421	2007-11-28 00:00:00	5500
12940	100424	2007-11-28 00:00:00	9750
12941	100425	2007-11-28 00:00:00	12125
12942	100426	2007-11-28 00:00:00	16875
12943	100427	2007-11-28 00:00:00	13000
12944	100424	2007-12-28 00:00:00	9750
12945	100422	2007-12-28 00:00:00	2875
12946	100430	2007-12-28 00:00:00	21625
12947	100421	2007-12-28 00:00:00	5500
12948	100425	2007-12-28 00:00:00	12125
12949	100423	2007-12-28 00:00:00	9000
12950	100427	2007-12-28 00:00:00	13000
12951	100426	2007-12-28 00:00:00	16875
12952	100426	2008-01-28 00:00:00	16875
12953	100421	2008-01-28 00:00:00	5500
12954	100424	2008-01-28 00:00:00	9750
12955	100422	2008-01-28 00:00:00	2875
12956	100430	2008-01-28 00:00:00	21625
12957	100427	2008-01-28 00:00:00	13000
12958	100423	2008-01-28 00:00:00	9000
12959	100425	2008-01-28 00:00:00	12125
12960	100427	2008-02-28 00:00:00	13000
12961	100426	2008-02-28 00:00:00	16875
12962	100424	2008-02-28 00:00:00	9750
12963	100421	2008-02-28 00:00:00	5500
12964	100422	2008-02-28 00:00:00	2875
12965	100430	2008-02-28 00:00:00	21625
12966	100425	2008-02-28 00:00:00	12125
12967	100423	2008-02-28 00:00:00	9000
12968	100426	2008-03-28 00:00:00	16875
12969	100423	2008-03-28 00:00:00	9000
12970	100430	2008-03-28 00:00:00	21625
12971	100424	2008-03-28 00:00:00	9750
12972	100427	2008-03-28 00:00:00	13000
12973	100422	2008-03-28 00:00:00	2875
12974	100421	2008-03-28 00:00:00	5500
12975	100425	2008-03-28 00:00:00	12125
12976	100425	2008-04-28 00:00:00	12125
12977	100427	2008-04-28 00:00:00	13000
12978	100424	2008-04-28 00:00:00	9750
12979	100430	2008-04-28 00:00:00	21625
12980	100422	2008-04-28 00:00:00	2875
12981	100421	2008-04-28 00:00:00	5500
12982	100426	2008-04-28 00:00:00	16875
12983	100423	2008-04-28 00:00:00	9000
12984	100430	2008-05-28 00:00:00	21625
12985	100424	2008-05-28 00:00:00	9750
12986	100422	2008-05-28 00:00:00	2875
12987	100423	2008-05-28 00:00:00	9000
12988	100427	2008-05-28 00:00:00	13000
12989	100421	2008-05-28 00:00:00	5500
12990	100425	2008-05-28 00:00:00	12125
12991	100426	2008-05-28 00:00:00	16875
12992	100422	2008-06-28 00:00:00	2875
12993	100425	2008-06-28 00:00:00	12125
12994	100424	2008-06-28 00:00:00	9750
12995	100427	2008-06-28 00:00:00	13000
12996	100421	2008-06-28 00:00:00	5500
12997	100423	2008-06-28 00:00:00	9000
12998	100426	2008-06-28 00:00:00	16875
12999	100430	2008-06-28 00:00:00	21625
13000	100426	2008-07-28 00:00:00	16875
13001	100424	2008-07-28 00:00:00	9750
13002	100430	2008-07-28 00:00:00	21625
13003	100423	2008-07-28 00:00:00	9000
13004	100422	2008-07-28 00:00:00	2875
13005	100421	2008-07-28 00:00:00	5500
13006	100427	2008-07-28 00:00:00	13000
13007	100425	2008-07-28 00:00:00	12125
13008	100428	2008-07-28 00:00:00	4625
13009	100425	2008-08-28 00:00:00	12125
13010	100430	2008-08-28 00:00:00	21625
13011	100424	2008-08-28 00:00:00	9750
13012	100427	2008-08-28 00:00:00	13000
13013	100428	2008-08-28 00:00:00	4625
13014	100423	2008-08-28 00:00:00	9000
13015	100426	2008-08-28 00:00:00	16875
13016	100422	2008-08-28 00:00:00	2875
13017	100421	2008-08-28 00:00:00	5500
13018	100421	2008-09-28 00:00:00	5500
13019	100430	2008-09-28 00:00:00	21625
13020	100427	2008-09-28 00:00:00	13000
13021	100422	2008-09-28 00:00:00	2875
13022	100426	2008-09-28 00:00:00	16875
13023	100424	2008-09-28 00:00:00	9750
13024	100428	2008-09-28 00:00:00	4625
13025	100425	2008-09-28 00:00:00	12125
13026	100423	2008-09-28 00:00:00	9000
13027	100423	2008-10-28 00:00:00	9000
13028	100426	2008-10-28 00:00:00	16875
13029	100430	2008-10-28 00:00:00	21625
13030	100422	2008-10-28 00:00:00	2875
13031	100425	2008-10-28 00:00:00	12125
13032	100424	2008-10-28 00:00:00	9750
13033	100428	2008-10-28 00:00:00	4625
13034	100421	2008-10-28 00:00:00	5500
13035	100427	2008-10-28 00:00:00	13000
13036	100426	2008-11-28 00:00:00	16875
13037	100422	2008-11-28 00:00:00	2875
13038	100425	2008-11-28 00:00:00	12125
13039	100421	2008-11-28 00:00:00	5500
13040	100427	2008-11-28 00:00:00	13000
13041	100430	2008-11-28 00:00:00	21625
13042	100428	2008-11-28 00:00:00	4625
13043	100423	2008-11-28 00:00:00	9000
13044	100424	2008-11-28 00:00:00	9750
13045	100422	2008-12-28 00:00:00	2875
13046	100428	2008-12-28 00:00:00	4625
13047	100424	2008-12-28 00:00:00	9750
13048	100425	2008-12-28 00:00:00	12125
13049	100427	2008-12-28 00:00:00	13000
13050	100430	2008-12-28 00:00:00	21625
13051	100421	2008-12-28 00:00:00	5500
13052	100423	2008-12-28 00:00:00	9000
13053	100426	2008-12-28 00:00:00	16875
13054	100422	2009-01-28 00:00:00	2875
13055	100430	2009-01-28 00:00:00	21625
13056	100427	2009-01-28 00:00:00	13000
13057	100425	2009-01-28 00:00:00	12125
13058	100426	2009-01-28 00:00:00	16875
13059	100421	2009-01-28 00:00:00	5500
13060	100423	2009-01-28 00:00:00	9000
13061	100428	2009-01-28 00:00:00	4625
13062	100424	2009-01-28 00:00:00	9750
13063	100424	2009-02-28 00:00:00	9750
13064	100427	2009-02-28 00:00:00	13000
13065	100423	2009-02-28 00:00:00	9000
13066	100426	2009-02-28 00:00:00	16875
13067	100428	2009-02-28 00:00:00	4625
13068	100421	2009-02-28 00:00:00	5500
13069	100430	2009-02-28 00:00:00	21625
13070	100425	2009-02-28 00:00:00	12125
13071	100422	2009-02-28 00:00:00	2875
13072	100421	2009-03-28 00:00:00	5500
13073	100427	2009-03-28 00:00:00	13000
13074	100430	2009-03-28 00:00:00	21625
13075	100426	2009-03-28 00:00:00	16875
13076	100424	2009-03-28 00:00:00	9750
13077	100425	2009-03-28 00:00:00	12125
13078	100428	2009-03-28 00:00:00	4625
13079	100422	2009-03-28 00:00:00	2875
13080	100423	2009-03-28 00:00:00	9000
13081	100424	2009-04-28 00:00:00	9750
13082	100423	2009-04-28 00:00:00	9000
13083	100422	2009-04-28 00:00:00	2875
13084	100428	2009-04-28 00:00:00	4625
13085	100426	2009-04-28 00:00:00	16875
13086	100427	2009-04-28 00:00:00	13000
13087	100421	2009-04-28 00:00:00	5500
13088	100430	2009-04-28 00:00:00	21625
13089	100425	2009-04-28 00:00:00	12125
13090	100426	2009-05-28 00:00:00	16875
13091	100424	2009-05-28 00:00:00	9750
13092	100428	2009-05-28 00:00:00	4625
13093	100421	2009-05-28 00:00:00	5500
13094	100427	2009-05-28 00:00:00	13000
13095	100430	2009-05-28 00:00:00	21625
13096	100422	2009-05-28 00:00:00	2875
13097	100425	2009-05-28 00:00:00	12125
13098	100423	2009-05-28 00:00:00	9000
13099	100425	2009-06-28 00:00:00	12125
13100	100426	2009-06-28 00:00:00	16875
13101	100427	2009-06-28 00:00:00	13000
13102	100422	2009-06-28 00:00:00	2875
13103	100430	2009-06-28 00:00:00	21625
13104	100428	2009-06-28 00:00:00	4625
13105	100423	2009-06-28 00:00:00	9000
13106	100421	2009-06-28 00:00:00	5500
13107	100424	2009-06-28 00:00:00	9750
13108	100424	2009-07-28 00:00:00	9750
13109	100426	2009-07-28 00:00:00	16875
13110	100425	2009-07-28 00:00:00	12125
13111	100422	2009-07-28 00:00:00	2875
13112	100427	2009-07-28 00:00:00	13000
13113	100430	2009-07-28 00:00:00	21625
13114	100421	2009-07-28 00:00:00	5500
13115	100423	2009-07-28 00:00:00	9000
13116	100428	2009-07-28 00:00:00	4625
13117	100430	2009-08-28 00:00:00	21625
13118	100421	2009-08-28 00:00:00	5500
13119	100422	2009-08-28 00:00:00	2875
13120	100428	2009-08-28 00:00:00	4625
13121	100425	2009-08-28 00:00:00	12125
13122	100427	2009-08-28 00:00:00	13000
13123	100424	2009-08-28 00:00:00	9750
13124	100423	2009-08-28 00:00:00	9000
13125	100426	2009-08-28 00:00:00	16875
13126	100422	2009-09-28 00:00:00	2875
13127	100427	2009-09-28 00:00:00	13000
13128	100423	2009-09-28 00:00:00	9000
13129	100424	2009-09-28 00:00:00	9750
13130	100426	2009-09-28 00:00:00	16875
13131	100425	2009-09-28 00:00:00	12125
13132	100430	2009-09-28 00:00:00	21625
13133	100421	2009-09-28 00:00:00	5500
13134	100428	2009-09-28 00:00:00	4625
13135	100430	2009-10-28 00:00:00	21625
13136	100421	2009-10-28 00:00:00	5500
13137	100424	2009-10-28 00:00:00	9750
13138	100428	2009-10-28 00:00:00	4625
13139	100427	2009-10-28 00:00:00	13000
13140	100423	2009-10-28 00:00:00	9000
13141	100422	2009-10-28 00:00:00	2875
13142	100425	2009-10-28 00:00:00	12125
13143	100426	2009-10-28 00:00:00	16875
13144	100428	2009-11-28 00:00:00	4625
13145	100423	2009-11-28 00:00:00	9000
13146	100427	2009-11-28 00:00:00	13000
13147	100425	2009-11-28 00:00:00	12125
13148	100426	2009-11-28 00:00:00	16875
13149	100421	2009-11-28 00:00:00	5500
13150	100422	2009-11-28 00:00:00	2875
13151	100424	2009-11-28 00:00:00	9750
13152	100430	2009-11-28 00:00:00	21625
13153	100427	2009-12-28 00:00:00	13000
13154	100424	2009-12-28 00:00:00	9750
13155	100428	2009-12-28 00:00:00	4625
13156	100421	2009-12-28 00:00:00	5500
13157	100422	2009-12-28 00:00:00	2875
13158	100423	2009-12-28 00:00:00	9000
13159	100430	2009-12-28 00:00:00	21625
13160	100426	2009-12-28 00:00:00	16875
13161	100425	2009-12-28 00:00:00	12125
13162	100426	2010-01-28 00:00:00	16875
13163	100428	2010-01-28 00:00:00	4625
13164	100425	2010-01-28 00:00:00	12125
13165	100421	2010-01-28 00:00:00	5500
13166	100427	2010-01-28 00:00:00	13000
13167	100424	2010-01-28 00:00:00	9750
13168	100423	2010-01-28 00:00:00	9000
13169	100422	2010-01-28 00:00:00	2875
13170	100430	2010-01-28 00:00:00	21625
13171	100421	2010-02-28 00:00:00	5500
13172	100429	2010-02-28 00:00:00	6125
13173	100426	2010-02-28 00:00:00	16875
13174	100425	2010-02-28 00:00:00	12125
13175	100428	2010-02-28 00:00:00	4625
13176	100423	2010-02-28 00:00:00	9000
13177	100430	2010-02-28 00:00:00	21625
13178	100422	2010-02-28 00:00:00	2875
13179	100424	2010-02-28 00:00:00	9750
13180	100427	2010-02-28 00:00:00	13000
13181	100423	2010-03-28 00:00:00	9000
13182	100424	2010-03-28 00:00:00	9750
13183	100422	2010-03-28 00:00:00	2875
13184	100421	2010-03-28 00:00:00	5500
13185	100429	2010-03-28 00:00:00	6125
13186	100428	2010-03-28 00:00:00	4625
13187	100427	2010-03-28 00:00:00	13000
13188	100426	2010-03-28 00:00:00	16875
13189	100430	2010-03-28 00:00:00	21625
13190	100425	2010-03-28 00:00:00	12125
13191	100425	2010-04-28 00:00:00	12125
13192	100424	2010-04-28 00:00:00	9750
13193	100428	2010-04-28 00:00:00	4625
13194	100423	2010-04-28 00:00:00	9000
13195	100426	2010-04-28 00:00:00	16875
13196	100429	2010-04-28 00:00:00	6125
13197	100427	2010-04-28 00:00:00	13000
13198	100422	2010-04-28 00:00:00	2875
13199	100430	2010-04-28 00:00:00	21625
13200	100421	2010-04-28 00:00:00	5500
13201	100425	2010-05-28 00:00:00	12125
13202	100427	2010-05-28 00:00:00	13000
13203	100421	2010-05-28 00:00:00	5500
13204	100422	2010-05-28 00:00:00	2875
13205	100426	2010-05-28 00:00:00	16875
13206	100424	2010-05-28 00:00:00	9750
13207	100430	2010-05-28 00:00:00	21625
13208	100423	2010-05-28 00:00:00	9000
13209	100429	2010-05-28 00:00:00	6125
13210	100428	2010-05-28 00:00:00	4625
13211	100423	2010-06-28 00:00:00	9000
13212	100422	2010-06-28 00:00:00	2875
13213	100427	2010-06-28 00:00:00	13000
13214	100424	2010-06-28 00:00:00	9750
13215	100426	2010-06-28 00:00:00	16875
13216	100421	2010-06-28 00:00:00	5500
13217	100429	2010-06-28 00:00:00	6125
13218	100428	2010-06-28 00:00:00	4625
13219	100425	2010-06-28 00:00:00	12125
13220	100430	2010-06-28 00:00:00	21625
13221	100422	2010-07-28 00:00:00	2875
13222	100428	2010-07-28 00:00:00	4625
13223	100427	2010-07-28 00:00:00	13000
13224	100429	2010-07-28 00:00:00	6125
13225	100424	2010-07-28 00:00:00	9750
13226	100430	2010-07-28 00:00:00	21625
13227	100421	2010-07-28 00:00:00	5500
13228	100423	2010-07-28 00:00:00	9000
13229	100425	2010-07-28 00:00:00	12125
13230	100426	2010-07-28 00:00:00	16875
13231	100421	2010-08-28 00:00:00	5500
13232	100427	2010-08-28 00:00:00	13000
13233	100426	2010-08-28 00:00:00	16875
13234	100425	2010-08-28 00:00:00	12125
13235	100429	2010-08-28 00:00:00	6125
13236	100430	2010-08-28 00:00:00	21625
13237	100423	2010-08-28 00:00:00	9000
13238	100422	2010-08-28 00:00:00	2875
13239	100424	2010-08-28 00:00:00	9750
13240	100428	2010-08-28 00:00:00	4625
13241	100423	2010-09-28 00:00:00	9000
13242	100425	2010-09-28 00:00:00	12125
13243	100428	2010-09-28 00:00:00	4625
13244	100426	2010-09-28 00:00:00	16875
13245	100429	2010-09-28 00:00:00	6125
13246	100424	2010-09-28 00:00:00	9750
13247	100430	2010-09-28 00:00:00	21625
13248	100421	2010-09-28 00:00:00	5500
13249	100422	2010-09-28 00:00:00	2875
13250	100427	2010-09-28 00:00:00	13000
13251	100421	2010-10-28 00:00:00	5500
13252	100429	2010-10-28 00:00:00	6125
13253	100430	2010-10-28 00:00:00	21625
13254	100422	2010-10-28 00:00:00	2875
13255	100425	2010-10-28 00:00:00	12125
13256	100428	2010-10-28 00:00:00	4625
13257	100427	2010-10-28 00:00:00	13000
13258	100426	2010-10-28 00:00:00	16875
