Student	Subject	Score
10005	34	90
10005	33	79
10005	31	66
10005	35	75
10005	22	95
10005	23	84
10005	25	62
10006	1	92
10006	2	60
10006	3	68
10006	4	63
10006	5	67
10006	6	78
10006	7	79
10006	8	98
10006	9	89
10006	10	85
10006	11	62
10006	12	61
10006	13	81
10006	14	74
10006	15	91
10006	16	79
10006	17	86
10006	18	85
10006	19	62
10006	20	78
10006	21	83
10006	26	70
10006	30	60
10006	29	76
10006	31	66
10006	28	92
10006	25	72
10006	22	44
10006	27	88
10006	32	81
10006	23	49
10006	33	68
10007	1	69
10007	2	65
10007	3	60
10007	4	72
10007	5	71
10007	6	63
10007	7	78
10007	8	78
10007	9	79
10007	10	66
10007	11	97
10007	12	79
10007	13	71
10007	14	79
10007	15	96
10007	16	89
10007	17	82
10007	18	66
10007	19	82
10007	20	91
10007	21	98
10007	26	65
10007	27	81
10007	31	60
10007	32	65
10007	30	68
10007	23	68
10007	34	76
10007	35	71
10007	29	68
10008	1	76
10008	2	62
10008	3	96
10008	4	67
10008	5	94
10008	6	80
10008	7	91
10008	8	77
10008	9	82
10008	10	97
10008	11	63
10008	12	78
10008	13	70
10008	14	68
10008	15	71
10008	16	83
10008	17	77
10008	18	91
10008	19	97
10008	20	89
10008	21	77
10008	26	65
10008	24	98
10008	27	62
10008	32	68
10008	29	82
10008	33	84
10008	23	79
10008	30	72
10008	35	73
10008	34	95
10008	25	82
10008	31	87
10009	1	62
10009	2	66
10009	3	79
10009	4	96
10009	5	88
10009	6	87
10009	7	93
10009	8	70
10009	9	74
10009	10	63
10009	11	91
10009	12	88
10009	13	94
10009	14	61
10009	15	85
10009	16	92
10009	17	87
10009	18	88
10009	19	68
10009	20	70
10009	21	83
10009	26	73
10009	34	98
10009	33	67
10009	22	93
10009	27	96
10009	28	61
10009	31	63
10009	35	91
10009	24	75
10009	25	95
10009	30	72
10009	32	92
10009	23	61
10010	1	93
10010	2	61
10010	3	80
10010	4	62
10010	5	96
10010	6	75
10010	7	77
10010	8	92
10010	9	81
10010	10	98
10010	11	66
10010	12	74
10010	13	95
10010	14	68
10010	15	83
10010	16	81
10010	17	63
10010	18	60
10010	19	98
10010	20	88
10010	21	61
10010	26	75
10010	27	73
10010	32	70
10010	25	81
10010	22	85
10010	31	64
10010	24	89
10010	34	66
10010	35	90
10010	33	95
10010	28	75
10010	30	91
10010	23	52
10010	29	79
10011	1	89
10011	2	63
10011	3	96
10011	4	93
10011	5	83
10011	6	87
10011	7	62
10011	8	69
10011	9	84
10011	10	83
10011	11	67
10011	12	98
10011	13	73
10011	14	64
10011	15	79
10011	16	84
10011	17	69
10011	18	63
10011	19	83
10011	20	61
10011	21	62
10011	26	80
10011	31	76
10011	22	66
10011	24	75
10011	34	97
10011	23	71
10011	33	84
10011	29	99
10011	27	69
10012	1	82
10012	2	77
10012	3	78
10012	4	73
10012	5	80
10012	6	67
10012	7	75
10012	8	60
10012	9	68
10012	10	75
10012	11	67
10012	12	89
10012	13	95
10012	14	94
10012	15	84
10012	16	70
10012	17	94
10012	18	70
10012	19	92
10012	20	89
10012	21	97
10012	26	99
10012	33	77
10012	30	92
10012	27	88
10012	34	77
10012	23	91
10012	24	81
10012	32	78
10012	29	93
10012	28	91
10012	25	76
10012	22	83
10013	1	75
10013	2	94
10013	3	80
10013	4	98
10013	5	92
10013	6	90
10013	7	61
10013	8	85
10013	9	74
10013	10	98
10013	11	82
10013	12	72
10013	13	98
10013	14	66
10013	15	88
10013	16	78
10013	17	95
10013	18	68
10013	19	93
10013	20	92
10013	21	84
10013	26	64
10013	23	96
10013	24	96
10013	31	80
10013	33	76
10013	29	89
10013	27	99
10013	34	97
10013	35	87
10013	28	65
10013	30	87
10013	25	91
10013	22	75
10014	1	97
10014	2	90
10014	3	67
10014	4	60
10014	5	72
10014	6	70
10014	7	83
10014	8	77
10014	9	64
10014	10	88
10014	11	83
10014	12	61
10014	13	95
10014	14	82
10014	15	88
10014	16	99
10014	17	74
10014	18	88
10014	19	83
10014	20	77
10014	21	87
10014	26	73
10014	27	61
10014	34	75
10014	24	78
10014	29	74
10014	23	60
10014	31	78
10014	28	70
10014	30	66
10014	32	64
10014	35	88
10014	25	74
10014	33	85
10015	1	98
10015	2	78
10015	3	57
10015	4	83
10015	5	72
10015	6	65
10015	7	96
10015	8	91
10015	9	81
10015	10	98
10015	11	89
10015	12	88
10015	13	77
10015	14	79
10015	15	80
10015	16	92
10015	17	70
10015	18	89
10015	19	95
10015	20	64
10015	21	70
10015	26	74
10015	31	93
10015	23	80
10015	29	93
10015	27	69
10015	22	79
10015	32	89
10015	34	97
10015	25	87
10015	24	78
10015	33	87
10016	1	60
10016	2	97
10016	3	91
10016	4	89
10016	5	66
10016	6	61
10016	7	63
10016	8	49
10016	9	97
10016	10	91
10016	11	89
10016	12	69
10016	13	72
10016	14	96
10016	15	94
10016	16	99
10016	17	85
10016	18	61
10016	19	64
10016	20	79
10016	21	62
10016	26	90
10016	32	74
10016	22	75
10016	33	69
10016	28	84
10016	23	87
10016	35	99
10016	29	40
10016	30	95
10016	34	79
10016	31	78
10017	1	73
10017	2	87
10017	3	72
10017	4	62
10017	5	94
10017	6	80
10017	7	85
10017	8	87
10017	9	78
10017	10	80
10017	11	90
10017	12	73
10017	13	72
10017	14	67
10017	15	70
10017	16	67
10017	17	77
10017	18	98
10017	19	62
10017	20	93
10017	21	62
10017	26	60
10017	28	55
10017	30	77
10017	35	86
10017	24	68
10017	25	63
10017	29	62
10017	22	90
10017	34	96
10017	32	77
10017	33	89
10018	1	68
10018	2	76
10018	3	66
10018	4	93
10018	5	64
10018	6	71
10018	7	81
10018	8	89
10018	9	60
10018	10	80
10018	11	92
10018	12	80
10018	13	71
10018	14	75
10018	15	78
10018	16	61
10018	17	99
10018	18	84
10018	19	97
10018	20	92
10018	21	73
10018	26	82
10018	24	80
10018	28	84
10018	22	95
10018	25	85
10018	29	70
10018	32	73
10018	23	80
10018	31	64
10018	34	59
10018	35	76
10019	1	85
10019	2	73
10019	3	85
10019	4	81
10019	5	60
10019	6	79
10019	7	99
10019	8	44
10019	9	72
10019	10	85
10019	11	78
10019	12	95
10019	13	64
10019	14	94
10019	15	85
10019	16	78
10019	17	98
10019	18	85
10019	19	93
10019	20	60
10019	21	78
10019	26	60
10019	22	74
10019	30	93
10019	35	97
10019	31	93
10019	27	87
10019	29	66
10019	23	98
10019	34	89
10020	1	80
10020	2	60
10020	3	73
10020	4	86
10020	5	66
10020	6	78
10020	7	99
10020	8	99
10020	9	94
10020	10	99
10020	11	92
10020	12	68
10020	13	60
10020	14	78
10020	15	96
10020	16	92
10020	17	87
10020	18	66
10020	19	64
10020	20	86
10020	21	64
10020	26	90
10020	32	95
10020	23	61
10020	35	79
10020	34	78
10020	28	72
10020	29	49
10020	22	85
10020	27	89
10020	25	85
10020	24	92
10020	30	80
10021	1	88
10021	2	93
10021	3	82
10021	4	84
10021	5	88
10021	6	63
10021	7	81
10021	8	63
10021	9	70
10021	10	83
10021	11	64
10021	12	72
10021	13	63
10021	14	85
10021	15	86
10021	16	62
10021	17	84
10021	18	61
10021	19	65
10021	20	90
10021	21	80
10021	26	90
10021	29	91
10021	33	81
10021	30	62
10021	23	83
10021	24	94
10021	32	74
10021	25	64
10021	27	67
10021	31	77
10021	35	67
10021	28	87
10021	22	90
10021	34	88
10022	1	64
10022	2	73
10022	3	67
10022	4	65
10022	5	93
10022	6	78
10022	7	98
10022	8	76
10022	9	75
10022	10	70
10022	11	81
10022	12	79
10022	13	72
10022	14	78
10022	15	88
10022	16	84
10022	17	69
10022	18	63
10022	19	93
10022	20	68
10022	21	69
10022	26	92
10022	35	92
10022	27	83
10022	34	87
10022	33	69
10022	32	61
10022	23	61
10022	29	40
10022	28	89
10022	22	72
10023	1	82
10023	2	74
10023	3	86
10023	4	97
10023	5	97
10023	6	67
10023	7	99
10023	8	81
10023	9	60
10023	10	84
10023	11	75
10023	12	61
10023	13	70
10023	14	69
10023	15	94
10023	16	82
10023	17	89
10023	18	84
10023	19	96
10023	20	97
10023	21	78
10023	26	78
10023	23	77
10023	25	63
10023	32	69
10023	27	53
10023	29	77
10023	24	46
10023	31	85
10023	30	87
10024	1	64
10024	2	86
10024	3	83
10024	4	75
10024	5	68
10024	6	93
10024	7	94
10024	8	90
10024	9	97
10024	10	83
10024	11	70
10024	12	82
10024	13	63
10024	14	54
10024	15	94
10024	16	87
10024	17	91
10024	18	65
10024	19	80
10024	20	75
10024	21	71
10024	26	67
10024	24	81
10024	22	83
10024	29	86
10024	35	70
10024	30	88
10024	28	82
10024	25	86
10024	23	79
10024	27	73
10024	33	78
10024	34	98
10024	31	95
10024	32	91
10025	1	90
10025	2	89
10025	3	83
10025	4	99
10025	5	75
10025	6	95
10025	7	75
10025	8	87
10025	9	75
10025	10	96
10025	11	90
10025	12	90
10025	13	66
10025	14	62
10025	15	78
10025	16	76
10025	17	95
10025	18	65
10025	19	89
10025	20	70
10025	21	99
10025	26	94
10025	28	84
10025	27	86
10025	32	72
10025	35	76
10025	29	84
10025	33	62
10025	34	62
10025	24	65
10026	1	57
10026	2	65
10026	3	65
10026	4	92
10026	5	71
10026	6	99
10026	7	43
10026	8	99
10026	9	61
10026	10	77
10026	11	94
10026	12	87
10026	13	64
10026	14	85
10026	15	79
10026	16	89
10026	17	83
10026	18	89
10026	19	82
10026	20	95
10026	21	65
10026	26	65
10026	24	99
10026	31	97
10026	25	68
10026	27	59
10026	30	68
10026	35	88
10026	32	92
10026	34	84
10026	28	51
10027	1	60
10027	2	75
10027	3	83
10027	4	96
10027	5	60
10027	6	64
10027	7	69
10027	8	71
10027	9	79
10027	10	63
10027	11	80
10027	12	86
10027	13	83
10027	14	89
10027	15	81
10027	16	71
10027	17	67
10027	18	98
10027	19	94
10027	20	69
10027	21	96
10027	26	60
10027	23	67
10027	28	74
10027	24	73
10027	22	75
10027	33	68
10027	32	69
10027	27	60
10027	31	85
10027	25	50
10027	29	92
10027	30	91
10028	1	90
10028	2	69
10028	3	96
10028	4	72
10028	5	88
10028	6	97
10028	7	81
10028	8	64
10028	9	89
10028	10	90
10028	11	64
10028	12	79
10028	13	70
10028	14	65
10028	15	93
10028	16	97
10028	17	98
10028	18	69
10028	19	88
10028	20	68
10028	21	78
10028	26	68
10028	25	85
10028	22	72
10028	28	44
10028	31	77
10028	32	61
10028	34	91
10028	24	69
10028	29	89
10028	23	61
10028	30	80
10028	33	69
10028	35	63
10028	27	72
10029	1	75
10029	2	87
10029	3	94
10029	4	62
10029	5	93
10029	6	96
10029	7	81
10029	8	91
10029	9	99
10029	10	76
10029	11	94
10029	12	41
10029	13	94
10029	14	95
10029	15	97
10029	16	81
10029	17	86
10029	18	63
10029	19	95
10029	20	63
10029	21	76
10029	26	78
10029	28	71
10029	23	45
10029	32	93
10029	24	81
10029	34	84
10029	31	63
10029	33	80
10029	29	86
10029	22	77
10029	25	62
10030	1	70
10030	2	87
10030	3	92
10030	4	68
10030	5	90
10030	6	97
10030	7	81
10030	8	82
10030	9	82
10030	10	85
10030	11	90
10030	12	63
10030	13	66
10030	14	66
10030	15	89
10030	16	85
10030	17	69
10030	18	85
10030	19	69
10030	20	61
10030	21	99
10030	26	91
10030	32	65
10030	25	60
10030	28	98
10030	24	64
10030	23	65
10030	29	77
10030	22	78
10030	30	85
10030	33	76
10030	27	71
10030	34	96
10031	1	75
10031	2	77
10031	3	90
10031	4	66
10031	5	76
10031	6	70
10031	7	74
10031	8	70
10031	9	78
10031	10	86
10031	11	78
10031	12	64
10031	13	97
10031	14	74
10031	15	92
10031	16	91
10031	17	88
10031	18	71
10031	19	74
10031	20	61
10031	21	62
10031	26	91
10031	33	40
10031	25	63
10031	31	71
10031	28	84
10031	29	85
10031	23	84
10031	34	96
10031	35	73
10032	1	61
10032	2	70
10032	3	89
10032	4	73
10032	5	86
10032	6	84
10032	7	92
10032	8	70
10032	9	90
10032	10	91
10032	11	97
10032	12	64
10032	13	85
10032	14	75
10032	15	61
10032	16	82
10032	17	94
10032	18	74
10032	19	71
10032	20	84
10032	21	94
10032	26	87
10032	30	78
10032	35	73
10032	22	61
10032	31	88
10032	27	92
10032	34	99
10032	32	92
10032	24	86
10032	29	68
10033	1	65
10033	2	77
10033	3	91
10033	4	61
10033	5	95
10033	6	60
10033	7	83
10033	8	91
10033	9	82
10033	10	88
10033	11	83
10033	12	79
10033	13	96
10033	14	61
10033	15	89
10033	16	80
10033	17	90
10033	18	94
10033	19	90
10033	20	67
10033	21	88
10033	26	91
10033	31	73
10033	27	74
10033	23	91
10033	34	89
10033	22	63
10033	29	94
10033	24	76
10033	33	73
10033	32	65
10033	25	98
10034	1	98
10034	2	76
10034	3	65
10034	4	71
10034	5	83
10034	6	81
10034	7	85
10034	8	93
10034	9	76
10034	10	69
10034	11	40
10034	12	89
10034	13	96
10034	14	76
10034	15	63
10034	16	84
10034	17	98
10034	18	80
10034	19	60
10034	20	60
10034	21	91
10034	26	98
10034	31	73
10034	24	93
10034	33	77
10034	30	50
10034	34	85
10034	25	65
10034	35	82
10034	28	78
10034	29	96
10034	27	86
10034	23	74
10035	1	80
10035	2	98
10035	3	81
10035	4	95
10035	5	92
10035	6	89
10035	7	92
10035	8	66
10035	9	61
10035	10	61
10035	11	72
10035	12	93
10035	13	81
10035	14	77
10035	15	80
10035	16	93
10035	17	84
10035	18	96
10035	19	74
10035	20	85
10035	21	95
10035	26	80
10035	28	62
10035	24	41
10035	31	85
10035	33	85
10035	22	68
10035	27	84
10035	34	70
10035	32	75
10035	35	98
10035	30	85
10035	29	73
10036	1	71
10036	2	64
10036	3	92
10036	4	73
10036	5	94
10036	6	78
10036	7	98
10036	8	91
10036	9	85
10036	10	90
10036	11	99
10036	12	74
10036	13	79
10036	14	66
10036	15	87
10036	16	90
10036	17	88
10036	18	90
10036	19	90
10036	20	75
10036	21	93
10036	26	81
10036	22	87
10036	23	61
10036	25	97
10036	24	99
10036	31	75
10036	32	74
10036	29	76
10036	33	89
10036	35	90
10036	28	76
10037	1	60
10037	2	77
10037	3	92
10037	4	80
10037	5	83
10037	6	84
10037	7	79
10037	8	88
10037	9	89
10037	10	99
10037	11	94
10037	12	82
10037	13	94
10037	14	94
10037	15	82
10037	16	71
10037	17	97
10037	18	63
10037	19	67
10037	20	74
10037	21	76
10037	26	66
10037	25	73
10037	31	70
10037	35	65
10037	28	97
10037	33	68
10037	34	83
10037	27	70
10037	24	57
10037	32	92
10037	22	85
10037	30	77
10037	29	74
10038	1	66
10038	2	99
10038	3	87
10038	4	99
10038	5	62
10038	6	62
10038	7	81
10038	8	70
10038	9	97
10038	10	94
10038	11	61
10038	12	76
10038	13	68
10038	14	77
10038	15	82
10038	16	87
10038	17	62
10038	18	84
10038	19	83
10038	20	69
10038	21	94
10038	26	72
10038	28	98
10038	31	73
10038	29	61
10038	33	67
10038	30	69
10038	34	96
10038	22	61
10038	25	61
10038	24	61
10038	32	72
10038	35	73
10038	27	66
10039	1	68
10039	2	89
10039	3	74
10039	4	95
10039	5	76
10039	6	80
10039	7	66
10039	8	78
10039	9	83
10039	10	72
10039	11	79
10039	12	62
10039	13	90
10039	14	85
10039	15	85
10039	16	80
10039	17	63
10039	18	92
10039	19	90
10039	20	61
10039	21	66
10039	26	77
10039	31	98
10039	25	62
10039	29	77
10039	27	94
10039	32	66
10039	34	76
10039	24	81
10039	33	68
10039	35	62
10039	30	94
10040	1	82
10040	2	67
10040	3	82
10040	4	87
10040	5	98
10040	6	67
10040	7	65
10040	8	94
10040	9	82
10040	10	92
10040	11	75
10040	12	86
10040	13	75
10040	14	74
10040	15	63
10040	16	64
10040	17	67
10040	18	73
10040	19	64
10040	20	97
10040	21	72
10040	26	95
10040	32	66
10040	22	81
10040	24	71
10040	35	62
10040	25	88
10040	34	77
10040	23	74
10040	31	81
10040	29	98
10041	1	85
10041	2	60
10041	3	94
10041	4	85
10041	5	61
10041	6	82
10041	7	92
10041	8	76
10041	9	78
10041	10	96
10041	11	88
10041	12	50
10041	13	86
10041	14	96
10041	15	65
10041	16	94
10041	17	83
10041	18	82
10041	19	67
10041	20	74
10041	21	84
10041	26	98
10041	30	84
10041	35	71
10041	33	80
10041	31	81
10041	29	63
10041	34	89
10041	27	97
10041	23	63
10041	24	66
10041	32	62
10041	22	94
10041	25	72
10042	1	92
10042	2	80
10042	3	95
10042	4	97
10042	5	71
10042	6	67
10042	7	92
10042	8	69
10042	9	95
10042	10	73
10042	11	91
10042	12	93
10042	13	93
10042	14	94
10042	15	62
10042	16	87
10042	17	99
10042	18	62
10042	19	85
10042	20	68
10042	21	73
10042	26	97
10042	25	66
10042	31	45
10042	29	85
10042	34	91
10042	23	67
10042	35	82
10042	28	86
10042	33	96
10042	27	73
10042	32	93
10043	1	82
10043	2	71
10043	3	69
10043	4	96
10043	5	77
10043	6	94
10043	7	85
10043	8	76
10043	9	69
10043	10	89
10043	11	96
10043	12	68
10043	13	60
10043	14	71
10043	15	65
10043	16	83
10043	17	95
10043	18	64
10043	19	86
10043	20	92
10043	21	84
10043	26	88
10043	29	81
10043	28	84
10043	23	57
10043	25	91
10043	30	72
10043	27	91
10043	33	86
10043	35	93
10043	34	69
10043	24	79
10044	1	98
10044	2	88
10044	3	74
10044	4	67
10044	5	69
10044	6	81
10044	7	72
10044	8	62
10044	9	73
10044	10	89
10044	11	85
10044	12	91
10044	13	98
10044	14	74
10044	15	61
10044	16	71
10044	17	94
10044	18	82
10044	19	92
10044	20	89
10044	21	65
10044	26	93
10044	28	60
10044	23	90
10044	30	62
10044	32	88
10044	27	86
10044	22	93
10044	29	77
10044	24	79
10044	35	50
10045	1	76
10045	2	62
10045	3	88
10045	4	66
10045	5	83
10045	6	96
10045	7	98
10045	8	78
10045	9	65
10045	10	73
10045	11	71
10045	12	64
10045	13	73
10045	14	96
10045	15	74
10045	16	65
10045	17	89
10045	18	93
10045	19	79
10045	20	76
10045	21	71
10045	26	80
10045	25	76
10045	29	81
10045	28	92
10045	23	61
10045	22	73
10045	33	79
10045	34	66
10045	32	77
10046	1	89
10046	2	99
10046	3	89
10046	4	87
10046	5	86
10046	6	79
10046	7	70
10046	8	65
10046	9	98
10046	10	96
10046	11	98
10046	12	67
10046	13	96
10046	14	95
10046	15	85
10046	16	92
10046	17	46
10046	18	63
10046	19	61
10046	20	63
10046	21	74
10046	26	94
10046	29	74
10046	34	89
10046	35	96
10046	31	79
10046	25	72
10046	22	89
10046	27	75
10046	24	66
10046	23	63
10046	28	97
10046	30	87
10047	1	50
10047	2	96
10047	3	73
10047	4	53
10047	5	84
10047	6	74
10047	7	91
10047	8	77
10047	9	76
10047	10	93
10047	11	74
10047	12	74
10047	13	79
10047	14	93
10047	15	75
10047	16	82
10047	17	66
10047	18	97
10047	19	97
10047	20	70
10047	21	92
10047	26	66
10047	25	85
10047	34	66
10047	33	91
10047	32	62
10047	24	64
10047	35	82
10047	31	68
10047	22	97
10048	1	88
10048	2	74
10048	3	63
10048	4	76
10048	5	81
10048	6	86
10048	7	62
10048	8	83
10048	9	79
10048	10	69
10048	11	96
10048	12	99
10048	13	84
10048	14	90
10048	15	98
10048	16	84
10048	17	60
10048	18	69
10048	19	68
10048	20	95
10048	21	66
10048	26	65
10048	35	94
10048	29	91
10048	33	99
10048	23	83
10048	22	65
10048	34	74
10048	25	64
10048	31	74
10049	1	73
10049	2	92
10049	3	72
10049	4	72
10049	5	74
10049	6	87
10049	7	61
10049	8	61
10049	9	68
10049	10	86
10049	11	69
10049	12	74
10049	13	80
10049	14	88
10049	15	67
10049	16	91
10049	17	92
10049	18	95
10049	19	79
10049	20	64
10049	21	62
10049	26	86
10049	29	80
10049	35	98
10049	30	89
10049	25	71
10049	22	91
10049	34	75
10049	24	85
10049	32	66
10049	33	61
10049	27	84
10049	23	97
10050	1	76
10050	2	98
10050	3	98
10050	4	72
10050	5	81
10050	6	75
10050	7	61
10050	8	69
10050	9	60
10050	10	69
10050	11	99
10050	12	97
10050	13	50
10050	14	71
10050	15	95
10050	16	95
10050	17	88
10050	18	70
10050	19	76
10050	20	83
10050	21	69
10050	26	87
10050	32	62
10050	29	64
10050	24	90
10050	27	80
10050	35	92
10050	25	96
10050	28	84
10050	33	81
10050	31	67
10050	34	91
10050	22	70
10050	30	76
10050	23	91
10051	1	67
10051	2	93
10051	3	71
10051	4	80
10051	5	88
10051	6	71
10051	7	99
10051	8	61
10051	9	87
10051	10	82
10051	11	62
10051	12	62
10051	13	99
10051	14	99
10051	15	54
10051	16	62
10051	17	94
10051	18	95
10051	19	92
10051	20	95
10051	21	84
10051	26	91
10051	34	87
10051	27	70
10051	23	98
10051	31	91
10051	35	65
10051	25	61
10051	22	72
10051	24	85
10051	28	63
10052	1	64
10052	2	95
10052	3	91
10052	4	63
10052	5	74
10052	6	99
10052	7	95
10052	8	76
10052	9	68
10052	10	68
10052	11	74
10052	12	88
10052	13	94
10052	14	95
10052	15	85
10052	16	72
10052	17	66
10052	18	69
10052	19	93
10052	20	60
10052	21	79
10052	26	72
10052	29	99
10052	28	82
10052	35	71
10052	22	80
10052	23	88
10052	30	75
10052	27	73
10052	25	95
10052	32	68
10052	24	88
10053	1	89
10053	2	67
10053	3	83
10053	4	85
10053	5	68
10053	6	70
10053	7	93
10053	8	91
10053	9	93
10053	10	62
10053	11	85
10053	12	95
10053	13	88
10053	14	88
10053	15	85
10053	16	76
10053	17	60
10053	18	77
10053	19	91
10053	20	99
10053	21	80
10053	26	63
10053	27	77
10053	22	95
10053	24	86
10053	32	62
10053	29	86
10053	23	89
10053	34	63
10053	33	97
10053	30	89
10054	1	99
10054	2	46
10054	3	66
10054	4	96
10054	5	77
10054	6	85
10054	7	71
10054	8	95
10054	9	70
10054	10	82
10054	11	93
10054	12	68
10054	13	85
10054	14	98
10054	15	98
10054	16	89
10054	17	83
10054	18	96
10054	19	93
10054	20	97
10054	21	65
10054	26	62
10054	34	96
10054	22	65
10054	29	69
10054	27	75
10054	30	95
10054	23	83
10054	32	95
10054	35	78
10054	25	99
10054	33	80
10054	31	96
10054	24	67
10055	1	89
10055	2	67
10055	3	86
10055	4	95
10055	5	75
10055	6	96
10055	7	47
10055	8	61
10055	9	90
10055	10	81
10055	11	86
10055	12	76
10055	13	84
10055	14	77
10055	15	92
10055	16	98
10055	17	88
10055	18	60
10055	19	98
10055	20	88
10055	21	98
10055	26	97
10055	30	90
10055	32	62
10055	24	73
10055	29	81
10055	28	61
10055	27	97
10055	35	70
10055	33	94
10055	31	75
10055	23	84
10056	1	88
10056	2	94
10056	3	90
10056	4	76
10056	5	69
10056	6	97
10056	7	94
10056	8	62
10056	9	86
10056	10	70
10056	11	75
10056	12	76
10056	13	64
10056	14	72
10056	15	82
10056	16	66
10056	17	66
10056	18	76
10056	19	71
10056	20	69
10056	21	92
10056	26	76
10056	27	81
10056	23	98
10056	22	78
10056	35	90
10056	32	51
10056	31	90
10056	25	76
10056	28	74
10056	34	89
10056	24	79
10057	1	78
10057	2	91
10057	3	65
10057	4	79
10057	5	60
10057	6	89
10057	7	93
10057	8	72
10057	9	81
10057	10	77
10057	11	75
10057	12	99
10057	13	76
10057	14	84
10057	15	81
10057	16	73
10057	17	65
10057	18	68
10057	19	60
10057	20	92
10057	21	90
10057	26	77
10057	28	65
10057	25	63
10057	32	76
10057	27	81
10057	33	76
10057	34	81
10057	35	98
10057	30	73
10057	31	80
10057	24	60
10057	23	96
10057	22	64
10058	1	97
10058	2	87
10058	3	98
10058	4	80
10058	5	94
10058	6	88
10058	7	67
10058	8	98
10058	9	82
10058	10	71
10058	11	88
10058	12	93
10058	13	62
10058	14	92
10058	15	97
10058	16	96
10058	17	61
10058	18	86
10058	19	73
10058	20	97
10058	21	86
10058	26	63
10058	22	78
10058	35	81
10058	32	93
10058	27	80
10058	24	86
10058	23	72
10058	34	65
10058	30	67
10058	33	61
10058	31	79
10058	25	99
10059	1	89
10059	2	90
10059	3	77
10059	4	67
10059	5	94
10059	6	73
10059	7	60
10059	8	71
10059	9	75
10059	10	90
10059	11	92
10059	12	60
10059	13	62
10059	14	79
10059	15	77
10059	16	90
10059	17	84
10059	18	79
10059	19	76
10059	20	77
10059	21	96
10059	26	87
10059	23	85
10059	34	71
10059	33	94
10059	27	75
10059	29	72
10059	31	98
10059	35	64
10059	24	94
10059	32	45
10060	1	94
10060	2	66
10060	3	90
10060	4	75
10060	5	71
10060	6	85
10060	7	81
10060	8	77
10060	9	98
10060	10	61
10060	11	65
10060	12	60
10060	13	65
10060	14	75
10060	15	87
10060	16	86
10060	17	65
10060	18	98
10060	19	75
10060	20	97
10060	21	83
10060	26	60
10060	24	94
10060	32	93
10060	28	75
10060	25	81
10060	35	70
10060	30	62
10060	27	91
10060	34	45
10061	1	64
10061	2	81
10061	3	60
10061	4	97
10061	5	78
10061	6	70
10061	7	74
10061	8	99
10061	9	87
10061	10	63
10061	11	82
10061	12	74
10061	13	87
10061	14	63
10061	15	60
10061	16	76
10061	17	69
10061	18	96
10061	19	62
10061	20	94
10061	21	68
10061	26	67
10061	28	71
10061	23	68
10061	33	87
10061	30	64
10061	34	96
10061	35	98
10061	24	85
10061	29	83
10061	27	91
10061	22	68
10062	1	60
10062	2	93
10062	3	71
10062	4	72
10062	5	80
10062	6	80
10062	7	99
10062	8	80
10062	9	87
10062	10	68
10062	11	75
10062	12	62
10062	13	76
10062	14	88
10062	15	78
10062	16	94
10062	17	61
10062	18	80
10062	19	69
10062	20	99
10062	21	62
10062	26	63
10062	32	72
10062	35	90
10062	30	81
10062	34	62
10062	31	74
10062	24	81
10062	25	73
10062	23	84
