ContractNo	ActualSale	SellDate	Product	Quantity	Amount	Client	ApplyArea	ApplyMethod
10260	4	1996-07-19 00:00:00	41	16	1746.2	OTTIK	EastChina	SELF_USE
10261	4	1996-07-19 00:00:00	21	20	448.0	QUEDE	NorthChina	SELF_USE
10262	8	1996-07-22 00:00:00	5	12	624.8	RATTC	NorthChina	RESELL
10263	9	1996-07-23 00:00:00	16	60	2464.8	ERNSH	EastChina	RESELL
10264	6	1996-07-24 00:00:00	2	35	724.5	FOLKO	EastChina	SELF_USE
10265	2	1996-07-25 00:00:00	17	30	1176.0	BLONP	CentralChina	SELF_USE
10266	3	1996-07-26 00:00:00	12	12	364.8	WARTH	EastChina	RESELL
10267	4	1996-07-29 00:00:00	40	50	4031.0	FRANK	NorthChina	SELF_USE
10268	8	1996-07-30 00:00:00	29	10	1101.2	GROSR	NorthChina	SELF_USE
10269	5	1996-07-31 00:00:00	33	60	676.0	WHITC	NorthChina	RESELL
10270	1	1996-08-01 00:00:00	36	30	1376.0	WARTH	EastChina	SELF_USE
10271	6	1996-08-01 00:00:00	33	24	48.0	SPLIR	NorthChina	SELF_USE
10272	6	1996-08-02 00:00:00	20	6	1456.0	RATTC	EastChina	SELF_USE
10273	3	1996-08-05 00:00:00	10	24	2142.4	QUICK	NorthChina	SELF_USE
10274	6	1996-08-06 00:00:00	71	20	538.6	VINET	EastChina	RESELL
10275	1	1996-08-07 00:00:00	24	12	307.2	MAGAA	EastChina	SELF_USE
10276	8	1996-08-08 00:00:00	10	15	420.0	TORTU	NorthChina	SELF_USE
10277	2	1996-08-09 00:00:00	28	20	1200.8	MORGK	NorthChina	SELF_USE
10278	8	1996-08-12 00:00:00	44	16	1488.8	BERGS	NorthChina	SELF_USE
10279	8	1996-08-13 00:00:00	17	15	468.0	LEHMS	NorthChina	RESELL
10280	2	1996-08-14 00:00:00	24	12	613.2	BERGS	NorthChina	RESELL
10281	4	1996-08-14 00:00:00	19	1	86.5	ROMEY	NorthChina	RESELL
10282	4	1996-08-15 00:00:00	30	6	155.4	ROMEY	NorthChina	RESELL
10283	3	1996-08-16 00:00:00	15	20	1414.8	LILAS	EastChina	SELF_USE
10284	4	1996-08-19 00:00:00	27	15	1452.0	LEHMS	NorthChina	RESELL
10285	1	1996-08-20 00:00:00	1	45	2179.2	QUICK	NorthChina	RESELL
10286	8	1996-08-21 00:00:00	35	100	3016.0	QUICK	NorthChina	RESELL
10287	8	1996-08-22 00:00:00	16	40	924.0	RICAR	SouthChina	RESELL
10288	4	1996-08-23 00:00:00	54	10	89.0	REGGC	EastChina	RESELL
10289	7	1996-08-26 00:00:00	3	30	479.4	BSBEV	NorthChina	RESELL
10290	8	1996-08-27 00:00:00	5	20	2169.0	COMMI	Southwest	SELF_USE
10291	6	1996-08-27 00:00:00	13	20	552.8	QUEDE	NorthChina	RESELL
10292	1	1996-08-28 00:00:00	20	20	1296.0	TRADH	NorthChina	RESELL
10293	1	1996-08-29 00:00:00	18	12	848.7	TORTU	NorthChina	RESELL
10294	4	1996-08-30 00:00:00	1	18	1887.6	RATTC	EastChina	RESELL
10295	2	1996-09-02 00:00:00	56	4	121.6	VINET	EastChina	RESELL
10296	6	1996-09-03 00:00:00	11	12	1050.6	LILAS	SouthChina	SELF_USE
10297	5	1996-09-04 00:00:00	39	60	1420.0	BLONP	SouthChina	SELF_USE
10298	6	1996-09-05 00:00:00	2	40	3127.0	HUNGO	EastChina	RESELL
10299	4	1996-09-06 00:00:00	19	15	349.5	RICAR	NorthChina	RESELL
10300	2	1996-09-09 00:00:00	66	30	608.0	MAGAA	SouthChina	RESELL
10301	8	1996-09-09 00:00:00	40	10	755.0	WANDK	EastChina	RESELL
10302	4	1996-09-10 00:00:00	17	40	2708.8	SUPRD	NorthChina	SELF_USE
10303	7	1996-09-11 00:00:00	40	40	1242.0	GODOS	NorthChina	RESELL
10304	1	1996-09-12 00:00:00	49	30	954.4	TORTU	NorthChina	RESELL
10305	8	1996-09-13 00:00:00	18	25	4157.0	OLDWO	EastChina	RESELL
10306	1	1996-09-16 00:00:00	30	10	498.5	ROMEY	EastChina	RESELL
10307	2	1996-09-17 00:00:00	62	10	424.0	LONEP	NorthChina	RESELL
10308	7	1996-09-18 00:00:00	69	1	88.8	ANATR	SouthChina	SELF_USE
10309	3	1996-09-19 00:00:00	4	20	1762.0	HUNGO	Northeast	SELF_USE
10310	8	1996-09-20 00:00:00	16	10	336.0	THEBI	EastChina	SELF_USE
10311	1	1996-09-20 00:00:00	42	6	268.8	DUMON	Southwest	RESELL
10312	2	1996-09-23 00:00:00	28	4	1614.8	WANDK	EastChina	RESELL
10313	2	1996-09-24 00:00:00	36	12	182.4	QUICK	EastChina	SELF_USE
10314	1	1996-09-25 00:00:00	32	40	2327.0	RATTC	EastChina	RESELL
10315	4	1996-09-26 00:00:00	34	14	516.8	ISLAT	Northeast	RESELL
10316	1	1996-09-27 00:00:00	41	10	2835.0	RATTC	EastChina	RESELL
10317	6	1996-09-30 00:00:00	1	20	288.0	LONEP	NorthChina	SELF_USE
10318	8	1996-10-01 00:00:00	41	20	240.4	ISLAT	Northeast	SELF_USE
10319	7	1996-10-02 00:00:00	17	8	1191.2	TORTU	SouthChina	SELF_USE
10320	5	1996-10-03 00:00:00	71	30	516.0	WARTH	NorthChina	RESELL
10321	3	1996-10-03 00:00:00	35	10	144.0	ISLAT	Northeast	SELF_USE
10322	7	1996-10-04 00:00:00	52	20	112.0	PERIC	Southwest	RESELL
10323	4	1996-10-07 00:00:00	15	5	164.4	KOENE	EastChina	RESELL
10324	9	1996-10-08 00:00:00	16	21	6155.9	SAVEA	Southwest	RESELL
10325	1	1996-10-09 00:00:00	6	6	1497.0	KOENE	SouthChina	RESELL
10326	4	1996-10-10 00:00:00	4	24	982.0	BOLID	SouthChina	RESELL
10327	2	1996-10-11 00:00:00	2	25	2262.5	FOLKO	Southwest	RESELL
10328	4	1996-10-14 00:00:00	59	9	1168.0	FURIB	EastChina	SELF_USE
10329	4	1996-10-15 00:00:00	19	10	4819.4	SPLIR	EastChina	RESELL
10330	3	1996-10-16 00:00:00	26	50	1940.0	LILAS	NorthChina	SELF_USE
10331	9	1996-10-16 00:00:00	54	15	88.5	BONAP	Southwest	RESELL
10332	3	1996-10-17 00:00:00	18	40	2233.6	MEREP	Northeast	SELF_USE
10333	5	1996-10-18 00:00:00	14	10	954.0	WARTH	EastChina	SELF_USE
10334	8	1996-10-21 00:00:00	52	8	144.8	VICTE	EastChina	SELF_USE
10335	7	1996-10-22 00:00:00	2	7	2545.2	HUNGO	Northeast	RESELL
10336	7	1996-10-23 00:00:00	4	18	316.8	PRINI	EastChina	RESELL
10337	4	1996-10-24 00:00:00	23	40	2467.0	FRANK	EastChina	SELF_USE
10338	4	1996-10-25 00:00:00	17	20	934.5	OLDWO	EastChina	SELF_USE
10339	2	1996-10-28 00:00:00	4	10	3463.2	MEREP	EastChina	SELF_USE
10340	1	1996-10-29 00:00:00	18	20	2564.4	BONAP	Southwest	RESELL
10341	7	1996-10-29 00:00:00	33	8	412.0	SIMOB	Northeast	RESELL
10342	4	1996-10-30 00:00:00	2	24	2300.8	FRANK	Southwest	RESELL
10343	4	1996-10-31 00:00:00	64	50	1586.0	LEHMS	EastChina	SELF_USE
10344	4	1996-11-01 00:00:00	4	35	2856.0	WHITC	EastChina	SELF_USE
10345	2	1996-11-04 00:00:00	8	70	2924.8	QUICK	Northeast	RESELL
10346	3	1996-11-05 00:00:00	17	36	1731.2	RATTC	EastChina	RESELL
10347	4	1996-11-06 00:00:00	25	10	928.0	FAMIA	EastChina	RESELL
10348	4	1996-11-07 00:00:00	1	15	396.0	WANDK	EastChina	RESELL
10349	7	1996-11-08 00:00:00	54	24	141.6	SPLIR	EastChina	RESELL
10350	6	1996-11-11 00:00:00	50	15	713.4	LAMAI	Southwest	SELF_USE
10351	1	1996-11-11 00:00:00	38	20	5677.6	ERNSH	NorthChina	RESELL
10352	3	1996-11-12 00:00:00	24	10	154.0	FURIB	EastChina	SELF_USE
10353	7	1996-11-13 00:00:00	11	12	10741.6	PICCO	EastChina	SELF_USE
10354	8	1996-11-14 00:00:00	1	12	568.8	PERIC	Southwest	RESELL
10355	6	1996-11-15 00:00:00	24	25	480.0	AROUT	NorthChina	SELF_USE
10356	6	1996-11-18 00:00:00	31	30	1106.4	WANDK	SouthChina	RESELL
10357	1	1996-11-19 00:00:00	10	30	1360.0	LILAS	NorthChina	SELF_USE
10358	5	1996-11-20 00:00:00	24	10	452.0	LAMAI	EastChina	RESELL
10359	5	1996-11-21 00:00:00	16	56	3654.4	SEVES	NorthChina	RESELL
10360	4	1996-11-22 00:00:00	28	30	7390.2	BLONP	NorthChina	SELF_USE
10361	1	1996-11-22 00:00:00	39	54	2273.6	QUICK	Northeast	SELF_USE
10362	3	1996-11-25 00:00:00	25	50	1549.6	BONAP	EastChina	SELF_USE
10363	4	1996-11-26 00:00:00	31	20	447.2	DRACD	EastChina	RESELL
10364	1	1996-11-26 00:00:00	69	30	950.0	EASTC	NorthChina	RESELL
10365	3	1996-11-27 00:00:00	11	24	403.2	ANTON	EastChina	RESELL
10366	8	1996-11-28 00:00:00	65	5	136.0	GALED	SouthChina	RESELL
10367	7	1996-11-28 00:00:00	34	36	834.2	VAFFE	EastChina	SELF_USE
10368	2	1996-11-29 00:00:00	21	5	1834.2	ERNSH	Northeast	RESELL
10369	8	1996-12-02 00:00:00	29	20	2527.2	SPLIR	EastChina	RESELL
10370	6	1996-12-03 00:00:00	1	15	1174.0	CHOPS	Northeast	RESELL
10371	1	1996-12-03 00:00:00	36	6	91.2	LAMAI	Southwest	SELF_USE
10372	5	1996-12-04 00:00:00	20	12	12281.2	QUEEN	EastChina	RESELL
10373	4	1996-12-05 00:00:00	58	80	1708.0	HUNGO	Northeast	SELF_USE
10374	1	1996-12-05 00:00:00	31	30	459.0	WOLZA	EastChina	SELF_USE
10375	3	1996-12-06 00:00:00	14	15	338.0	HUNGC	NorthChina	RESELL
10376	1	1996-12-09 00:00:00	31	42	420.0	MEREP	EastChina	RESELL
10377	1	1996-12-09 00:00:00	28	20	1016.0	SEVES	NorthChina	RESELL
10378	5	1996-12-10 00:00:00	71	6	103.2	FOLKO	NorthChina	RESELL
10379	2	1996-12-11 00:00:00	41	8	959.2	QUEDE	Southwest	RESELL
10380	8	1996-12-12 00:00:00	30	18	1419.8	HUNGO	Northeast	RESELL
10381	3	1996-12-12 00:00:00	74	14	112.0	LILAS	NorthChina	RESELL
10382	4	1996-12-13 00:00:00	5	32	2900.0	ERNSH	EastChina	SELF_USE
10383	8	1996-12-16 00:00:00	13	20	899.0	AROUT	Northeast	RESELL
10384	3	1996-12-16 00:00:00	20	28	2222.4	BERGS	SouthChina	SELF_USE
10385	1	1996-12-17 00:00:00	7	10	864.0	SPLIR	Southwest	SELF_USE
10386	9	1996-12-18 00:00:00	24	15	166.0	FAMIA	NorthChina	RESELL
10387	1	1996-12-18 00:00:00	24	15	1058.4	SANTG	Southwest	SELF_USE
10388	2	1996-12-19 00:00:00	45	15	1274.0	SEVES	NorthChina	RESELL
10389	4	1996-12-20 00:00:00	10	16	1832.8	BOTTM	NorthChina	SELF_USE
10390	6	1996-12-23 00:00:00	31	60	2275.2	ERNSH	Southwest	SELF_USE
10391	3	1996-12-23 00:00:00	13	18	86.4	DRACD	EastChina	RESELL
10392	2	1996-12-24 00:00:00	69	50	1440.0	PICCO	EastChina	SELF_USE
10393	1	1996-12-25 00:00:00	2	25	3302.6	SAVEA	EastChina	SELF_USE
10394	1	1996-12-25 00:00:00	13	10	442.0	HUNGC	EastChina	RESELL
10395	6	1996-12-26 00:00:00	46	28	2333.2	HILAA	Northeast	RESELL
10396	1	1996-12-27 00:00:00	23	40	1903.8	FRANK	SouthChina	SELF_USE
10397	5	1996-12-27 00:00:00	21	10	843.2	PRINI	EastChina	SELF_USE
10398	2	1996-12-30 00:00:00	35	30	2736.0	SAVEA	Southwest	SELF_USE
10399	8	1996-12-31 00:00:00	68	60	1765.6	VAFFE	Northeast	RESELL
10808	2	1997-01-01 00:00:00	56	20	1660.0	OLDWO	NorthChina	RESELL
10809	7	1997-01-01 00:00:00	52	20	140.0	WELLI	Southwest	RESELL
10810	2	1997-01-01 00:00:00	13	7	187.0	LAUGB	Northeast	SELF_USE
10811	8	1997-01-02 00:00:00	19	15	852.0	LINOD	EastChina	SELF_USE
10812	5	1997-01-02 00:00:00	31	16	1852.0	REGGC	EastChina	SELF_USE
10813	1	1997-01-05 00:00:00	2	12	648.0	RICAR	Northeast	RESELL
10814	3	1997-01-05 00:00:00	41	20	2070.0	VICTE	NorthChina	RESELL
10815	2	1997-01-05 00:00:00	33	16	40.0	SAVEA	EastChina	RESELL
10816	4	1997-01-06 00:00:00	38	30	8891.0	GREAL	SouthChina	RESELL
10817	3	1997-01-06 00:00:00	26	40	11490.7	KOENE	EastChina	RESELL
10818	7	1997-01-07 00:00:00	32	20	833.0	MAGAA	EastChina	SELF_USE
10819	2	1997-01-07 00:00:00	43	7	477.0	CACTU	SouthChina	RESELL
10820	3	1997-01-07 00:00:00	56	30	1140.0	RATTC	Northeast	SELF_USE
10821	1	1997-01-08 00:00:00	35	20	678.0	SPLIR	NorthChina	RESELL
10822	6	1997-01-08 00:00:00	62	3	237.9	TRAIH	EastChina	SELF_USE
10823	5	1997-01-09 00:00:00	11	20	3107.5	LILAS	Southwest	RESELL
10824	8	1997-01-09 00:00:00	41	12	250.8	FOLKO	NorthChina	RESELL
10825	1	1997-01-09 00:00:00	26	12	1030.76	DRACD	NorthChina	RESELL
10826	6	1997-01-12 00:00:00	31	35	730.0	BLONP	EastChina	RESELL
10827	1	1997-01-12 00:00:00	10	15	843.0	BONAP	EastChina	RESELL
10828	9	1997-01-13 00:00:00	20	5	932.0	RANCH	EastChina	SELF_USE
10829	9	1997-01-13 00:00:00	2	10	1764.0	ISLAT	EastChina	RESELL
10830	4	1997-01-13 00:00:00	6	6	1974.0	TRADH	Northeast	RESELL
10831	3	1997-01-14 00:00:00	19	2	2684.4	SANTG	NorthChina	SELF_USE
10832	2	1997-01-14 00:00:00	13	3	568.95	LAMAI	NorthChina	SELF_USE
10833	6	1997-01-15 00:00:00	7	20	1007.7	OTTIK	EastChina	RESELL
10834	1	1997-01-15 00:00:00	29	8	1508.12	TRADH	NorthChina	RESELL
10835	1	1997-01-15 00:00:00	59	15	855.0	ANATR	EastChina	SELF_USE
10836	7	1997-01-16 00:00:00	22	52	4705.5	ERNSH	Northwest	SELF_USE
10837	9	1997-01-16 00:00:00	13	6	1254.0	BERGS	NorthChina	RESELL
10838	3	1997-01-19 00:00:00	1	4	2584.5	LINOD	EastChina	SELF_USE
10839	3	1997-01-19 00:00:00	58	30	919.5	TRADH	Southwest	RESELL
10840	4	1997-01-19 00:00:00	25	6	264.0	LINOD	Northeast	SELF_USE
10841	5	1997-01-20 00:00:00	10	16	4581.0	SUPRD	EastChina	RESELL
10842	1	1997-01-20 00:00:00	11	15	975.0	TORTU	Northeast	RESELL
10843	4	1997-01-21 00:00:00	51	4	212.0	VICTE	NorthChina	SELF_USE
10844	8	1997-01-21 00:00:00	22	35	735.0	PICCO	EastChina	RESELL
10845	8	1997-01-21 00:00:00	23	70	4059.0	QUICK	EastChina	SELF_USE
10846	2	1997-01-22 00:00:00	4	21	1112.0	SUPRD	SouthChina	RESELL
10847	4	1997-01-22 00:00:00	1	80	6164.9	SAVEA	EastChina	RESELL
10848	7	1997-01-23 00:00:00	5	30	931.5	CONSH	NorthChina	RESELL
10849	9	1997-01-23 00:00:00	3	49	1052.14	KOENE	SouthChina	RESELL
10850	1	1997-01-23 00:00:00	25	20	740.0	VICTE	NorthChina	RESELL
10851	5	1997-01-26 00:00:00	2	5	2740.0	RICAR	EastChina	SELF_USE
10852	8	1997-01-26 00:00:00	2	15	2984.0	RATTC	Southwest	RESELL
10853	9	1997-01-27 00:00:00	18	10	625.0	BLAUS	NorthChina	RESELL
10854	3	1997-01-27 00:00:00	10	100	3490.0	ERNSH	EastChina	SELF_USE
10855	3	1997-01-27 00:00:00	16	50	2275.25	OLDWO	NorthChina	SELF_USE
10856	3	1997-01-28 00:00:00	2	20	660.0	ANTON	EastChina	RESELL
10857	8	1997-01-28 00:00:00	3	30	2630.95	BERGS	NorthChina	SELF_USE
10858	2	1997-01-29 00:00:00	7	5	649.0	LACOR	NorthChina	RESELL
10859	1	1997-01-29 00:00:00	24	40	1438.25	FRANK	EastChina	RESELL
10860	3	1997-01-29 00:00:00	51	3	519.0	FRANR	SouthChina	SELF_USE
10861	4	1997-01-30 00:00:00	17	42	3523.4	WHITC	EastChina	RESELL
10862	8	1997-01-30 00:00:00	11	25	581.0	LEHMS	EastChina	RESELL
10863	4	1997-02-02 00:00:00	1	20	519.0	HILAA	EastChina	SELF_USE
10864	4	1997-02-02 00:00:00	35	4	282.0	AROUT	NorthChina	RESELL
10865	2	1997-02-02 00:00:00	38	60	17250.0	QUICK	Southwest	SELF_USE
10866	5	1997-02-03 00:00:00	2	21	1461.6	BERGS	NorthChina	SELF_USE
10867	6	1997-02-03 00:00:00	53	3	98.4	LONEP	SouthChina	SELF_USE
10868	7	1997-02-04 00:00:00	26	20	2004.6	QUEEN	SouthChina	RESELL
10869	5	1997-02-04 00:00:00	1	40	1630.0	SEVES	NorthChina	RESELL
10870	5	1997-02-04 00:00:00	35	3	160.0	WOLZA	EastChina	SELF_USE
10871	9	1997-02-05 00:00:00	6	50	2083.4	BONAP	SouthChina	SELF_USE
10872	5	1997-02-05 00:00:00	55	10	2166.8	GODOS	NorthChina	RESELL
10873	4	1997-02-06 00:00:00	21	20	336.8	WILMK	EastChina	SELF_USE
10874	5	1997-02-06 00:00:00	10	10	310.0	GODOS	EastChina	RESELL
10875	4	1997-02-06 00:00:00	19	25	729.5	BERGS	NorthChina	RESELL
10876	7	1997-02-09 00:00:00	46	21	917.0	BONAP	SouthChina	RESELL
10877	1	1997-02-09 00:00:00	16	30	2086.0	RICAR	SouthChina	SELF_USE
10878	4	1997-02-10 00:00:00	20	20	1620.0	QUICK	SouthChina	RESELL
10879	3	1997-02-10 00:00:00	40	12	611.3	WILMK	NorthChina	SELF_USE
10880	7	1997-02-10 00:00:00	23	30	1875.0	FOLKO	Northeast	SELF_USE
10881	4	1997-02-11 00:00:00	73	10	150.0	CACTU	Southwest	SELF_USE
10882	4	1997-02-11 00:00:00	42	25	988.4	SAVEA	NorthChina	RESELL
10883	8	1997-02-12 00:00:00	24	8	36.0	LONEP	EastChina	SELF_USE
10884	4	1997-02-12 00:00:00	21	40	1450.6	LETSS	EastChina	RESELL
10885	6	1997-02-12 00:00:00	2	20	1209.0	SUPRD	NorthChina	SELF_USE
10886	1	1997-02-13 00:00:00	10	70	3127.5	HANAR	EastChina	SELF_USE
10887	8	1997-02-13 00:00:00	25	5	70.0	GALED	EastChina	SELF_USE
10888	1	1997-02-16 00:00:00	2	20	605.0	GODOS	EastChina	RESELL
10889	9	1997-02-16 00:00:00	11	40	11380.0	RATTC	SouthChina	SELF_USE
10890	7	1997-02-16 00:00:00	17	15	860.1	DUMON	SouthChina	SELF_USE
10891	7	1997-02-17 00:00:00	30	15	388.35	LEHMS	SouthChina	SELF_USE
10892	4	1997-02-17 00:00:00	59	40	2200.0	MAISD	EastChina	RESELL
10893	9	1997-02-18 00:00:00	8	30	5502.11	KOENE	EastChina	SELF_USE
10894	1	1997-02-18 00:00:00	13	28	2898.0	SAVEA	NorthChina	SELF_USE
10895	3	1997-02-18 00:00:00	24	110	6379.4	ERNSH	NorthChina	SELF_USE
10896	7	1997-02-19 00:00:00	45	15	750.5	MAISD	Northwest	RESELL
10897	3	1997-02-19 00:00:00	29	80	10835.24	HUNGO	Northwest	SELF_USE
10898	4	1997-02-20 00:00:00	13	5	30.0	OCEAN	Southwest	RESELL
10899	5	1997-02-20 00:00:00	39	8	144.0	LILAS	Southwest	SELF_USE
10900	1	1997-02-20 00:00:00	70	3	45.0	WELLI	EastChina	SELF_USE
10901	4	1997-02-23 00:00:00	41	30	934.5	HILAA	EastChina	RESELL
10902	1	1997-02-23 00:00:00	55	30	1015.8	FOLKO	Northeast	RESELL
10903	3	1997-02-24 00:00:00	13	40	932.05	HANAR	EastChina	SELF_USE
10904	3	1997-02-24 00:00:00	58	15	1924.25	WHITC	EastChina	RESELL
10905	9	1997-02-24 00:00:00	1	20	360.0	WELLI	SouthChina	RESELL
10906	4	1997-02-25 00:00:00	61	15	427.5	WOLZA	SouthChina	RESELL
10907	6	1997-02-25 00:00:00	75	14	108.5	SPECD	SouthChina	SELF_USE
10908	4	1997-02-26 00:00:00	7	20	698.0	REGGC	NorthChina	RESELL
10909	1	1997-02-26 00:00:00	7	12	670.0	SANTG	EastChina	SELF_USE
10910	1	1997-02-26 00:00:00	19	12	452.9	WILMK	Southwest	RESELL
10911	3	1997-02-26 00:00:00	1	10	858.0	GODOS	NorthChina	RESELL
10912	2	1997-02-26 00:00:00	11	40	8267.4	HUNGO	EastChina	SELF_USE
10913	4	1997-02-26 00:00:00	4	30	958.75	QUEEN	EastChina	SELF_USE
10914	6	1997-02-27 00:00:00	71	25	537.5	QUEEN	SouthChina	SELF_USE
10915	2	1997-02-27 00:00:00	17	10	539.5	TORTU	EastChina	RESELL
10916	1	1997-02-27 00:00:00	16	6	686.7	RANCH	NorthChina	RESELL
