BillingNo	Date	Customer	Amount
200902101062	2009-02-10 00:00:00	10061	48
200902101063	2009-02-10 00:00:00	10062	128
200902101064	2009-02-10 00:00:00	10063	134
200902101065	2009-02-10 00:00:00	10064	128
200902101066	2009-02-10 00:00:00	10065	177
200902101067	2009-02-10 00:00:00	10066	120
200902101068	2009-02-10 00:00:00	10067	110
200902101069	2009-02-10 00:00:00	10068	183
200902101070	2009-02-10 00:00:00	10069	107
200902101071	2009-02-10 00:00:00	10070	196
200902101072	2009-02-10 00:00:00	10071	172
200902101073	2009-02-10 00:00:00	10072	207
200902101074	2009-02-10 00:00:00	10073	19
200902101075	2009-02-10 00:00:00	10074	56
200902101076	2009-02-10 00:00:00	10075	109
200902101077	2009-02-10 00:00:00	10076	143
200902101078	2009-02-10 00:00:00	10077	55
200902101079	2009-02-10 00:00:00	10078	178
200902101080	2009-02-10 00:00:00	10079	96
200902101081	2009-02-10 00:00:00	10080	84
200902101082	2009-02-10 00:00:00	10081	88
200902101083	2009-02-10 00:00:00	10082	90
200902101084	2009-02-10 00:00:00	10083	69
200902101085	2009-02-10 00:00:00	10084	210
200902101086	2009-02-10 00:00:00	10085	49
200902101087	2009-02-10 00:00:00	10086	173
200902101088	2009-02-10 00:00:00	10087	177
200902101089	2009-02-10 00:00:00	10088	186
200902101090	2009-02-10 00:00:00	10089	83
200902101091	2009-02-10 00:00:00	10090	34
200902101092	2009-02-10 00:00:00	10091	69
200902101093	2009-02-10 00:00:00	10092	169
200902101094	2009-02-10 00:00:00	10093	14
200902101095	2009-02-10 00:00:00	10094	130
200902101096	2009-02-10 00:00:00	10095	178
200902101097	2009-02-10 00:00:00	10096	34
200902101098	2009-02-10 00:00:00	10097	209
200902101099	2009-02-10 00:00:00	10098	31
200902101100	2009-02-10 00:00:00	10099	202
200902101101	2009-02-10 00:00:00	10100	147
200902101102	2009-02-10 00:00:00	10101	48
200902101103	2009-02-10 00:00:00	10102	152
200902101104	2009-02-10 00:00:00	10103	196
200902101105	2009-02-10 00:00:00	10104	59
200902101106	2009-02-10 00:00:00	10105	11
200902101107	2009-02-10 00:00:00	10106	193
200902101108	2009-02-10 00:00:00	10107	16
200902101109	2009-02-10 00:00:00	10108	157
200902101110	2009-02-10 00:00:00	10109	16
200902101111	2009-02-10 00:00:00	10110	172
200902101112	2009-02-10 00:00:00	10111	135
200902101113	2009-02-10 00:00:00	10112	111
200902101114	2009-02-10 00:00:00	10113	114
200902101115	2009-02-10 00:00:00	10114	116
200902101116	2009-02-10 00:00:00	10115	20
200902101117	2009-02-10 00:00:00	10116	20
200902101118	2009-02-10 00:00:00	10117	97
200902101119	2009-02-10 00:00:00	10118	47
200902101120	2009-02-10 00:00:00	10119	31
200902101121	2009-02-10 00:00:00	10120	74
200902101122	2009-02-10 00:00:00	10121	142
200902101123	2009-02-10 00:00:00	10122	57
200902101124	2009-02-10 00:00:00	10123	198
200902101125	2009-02-10 00:00:00	10124	207
200902101126	2009-02-10 00:00:00	10125	112
200902101127	2009-02-10 00:00:00	10126	27
200902101128	2009-02-10 00:00:00	10127	103
200902101129	2009-02-10 00:00:00	10128	89
200902101130	2009-02-10 00:00:00	10129	166
200902101131	2009-02-10 00:00:00	10130	20
200902101132	2009-02-10 00:00:00	10131	129
200902101133	2009-02-10 00:00:00	10132	19
200902101134	2009-02-10 00:00:00	10133	92
200902101135	2009-02-10 00:00:00	10134	138
200902101136	2009-02-10 00:00:00	10135	66
200902101137	2009-02-10 00:00:00	10136	114
200902101138	2009-02-10 00:00:00	10137	70
200902101139	2009-02-10 00:00:00	10138	52
200902101140	2009-02-10 00:00:00	10139	187
200902101141	2009-02-10 00:00:00	10140	172
200902101142	2009-02-10 00:00:00	10141	201
200902101143	2009-02-10 00:00:00	10142	130
200902101144	2009-02-10 00:00:00	10143	81
200902101145	2009-02-10 00:00:00	10144	199
200902101146	2009-02-10 00:00:00	10145	78
200902101147	2009-02-10 00:00:00	10146	102
200902101148	2009-02-10 00:00:00	10147	104
200902101149	2009-02-10 00:00:00	10148	82
200902101150	2009-02-10 00:00:00	10149	188
200902101151	2009-02-10 00:00:00	10150	38
200902101152	2009-02-10 00:00:00	10151	174
200902101153	2009-02-10 00:00:00	10152	130
200902101154	2009-02-10 00:00:00	10153	127
200902101155	2009-02-10 00:00:00	10154	25
200902101156	2009-02-10 00:00:00	10155	58
200902101157	2009-02-10 00:00:00	10156	23
200902101158	2009-02-10 00:00:00	10157	173
200902101159	2009-02-10 00:00:00	10158	101
200902101160	2009-02-10 00:00:00	10159	201
200902101161	2009-02-10 00:00:00	10160	103
200902101162	2009-02-10 00:00:00	10161	39
200902101163	2009-02-10 00:00:00	10162	200
200902101164	2009-02-10 00:00:00	10163	95
200902101165	2009-02-10 00:00:00	10164	161
200902101166	2009-02-10 00:00:00	10165	43
200902101167	2009-02-10 00:00:00	10166	192
200902101168	2009-02-10 00:00:00	10167	83
200902101169	2009-02-10 00:00:00	10168	183
200902101170	2009-02-10 00:00:00	10169	69
200902101171	2009-02-10 00:00:00	10170	38
200902101172	2009-02-10 00:00:00	10171	134
200902101173	2009-02-10 00:00:00	10172	133
200902101174	2009-02-10 00:00:00	10173	173
200902101175	2009-02-10 00:00:00	10174	202
200902101176	2009-02-10 00:00:00	10175	102
200902101177	2009-02-10 00:00:00	10176	122
200902101178	2009-02-10 00:00:00	10177	88
200902101179	2009-02-10 00:00:00	10178	146
200902101180	2009-02-10 00:00:00	10179	50
200902101181	2009-02-10 00:00:00	10180	64
200902101182	2009-02-10 00:00:00	10181	34
200902101183	2009-02-10 00:00:00	10182	24
200902101184	2009-02-10 00:00:00	10183	77
200902101185	2009-02-10 00:00:00	10184	178
200902101186	2009-02-10 00:00:00	10185	74
200902101187	2009-02-10 00:00:00	10186	128
200902101188	2009-02-10 00:00:00	10187	14
200902101189	2009-02-10 00:00:00	10188	205
200902101190	2009-02-10 00:00:00	10189	107
200902101191	2009-02-10 00:00:00	10190	94
200902101192	2009-02-10 00:00:00	10191	98
200902101193	2009-02-10 00:00:00	10192	15
200902101194	2009-02-10 00:00:00	10193	63
200902101195	2009-02-10 00:00:00	10194	92
200902101196	2009-02-10 00:00:00	10195	62
200902101197	2009-02-10 00:00:00	10196	180
200902101198	2009-02-10 00:00:00	10197	173
200902101199	2009-02-10 00:00:00	10198	23
200901101001	2009-01-10 00:00:00	10000	143
200901101002	2009-01-10 00:00:00	10001	65
200901101003	2009-01-10 00:00:00	10002	121
200901101004	2009-01-10 00:00:00	10003	199
200901101005	2009-01-10 00:00:00	10004	12
200901101006	2009-01-10 00:00:00	10005	12
200901101007	2009-01-10 00:00:00	10006	44
200901101008	2009-01-10 00:00:00	10007	197
200901101009	2009-01-10 00:00:00	10008	148
200901101010	2009-01-10 00:00:00	10009	111
200901101011	2009-01-10 00:00:00	10010	179
200901101012	2009-01-10 00:00:00	10011	146
200901101013	2009-01-10 00:00:00	10012	26
200901101014	2009-01-10 00:00:00	10013	144
200901101015	2009-01-10 00:00:00	10014	47
200901101016	2009-01-10 00:00:00	10015	49
200901101017	2009-01-10 00:00:00	10016	202
200901101018	2009-01-10 00:00:00	10017	59
200901101019	2009-01-10 00:00:00	10018	123
200901101020	2009-01-10 00:00:00	10019	111
200901101021	2009-01-10 00:00:00	10020	138
200901101022	2009-01-10 00:00:00	10021	51
200901101023	2009-01-10 00:00:00	10022	188
200901101024	2009-01-10 00:00:00	10023	102
200901101025	2009-01-10 00:00:00	10024	149
200901101026	2009-01-10 00:00:00	10025	88
200901101027	2009-01-10 00:00:00	10026	135
200901101028	2009-01-10 00:00:00	10027	34
200901101029	2009-01-10 00:00:00	10028	12
200901101030	2009-01-10 00:00:00	10029	127
200901101031	2009-01-10 00:00:00	10030	16
200901101032	2009-01-10 00:00:00	10031	196
200901101033	2009-01-10 00:00:00	10032	65
200901101034	2009-01-10 00:00:00	10033	112
200901101035	2009-01-10 00:00:00	10034	199
200901101036	2009-01-10 00:00:00	10035	88
200901101037	2009-01-10 00:00:00	10036	28
200901101038	2009-01-10 00:00:00	10037	66
200901101039	2009-01-10 00:00:00	10038	198
200901101040	2009-01-10 00:00:00	10039	122
200901101041	2009-01-10 00:00:00	10040	129
200901101042	2009-01-10 00:00:00	10041	192
200901101043	2009-01-10 00:00:00	10042	73
200901101044	2009-01-10 00:00:00	10043	164
200901101045	2009-01-10 00:00:00	10044	174
200901101046	2009-01-10 00:00:00	10045	81
200901101047	2009-01-10 00:00:00	10046	43
200901101048	2009-01-10 00:00:00	10047	123
200901101049	2009-01-10 00:00:00	10048	12
200901101050	2009-01-10 00:00:00	10049	116
200901101051	2009-01-10 00:00:00	10050	188
200901101052	2009-01-10 00:00:00	10051	142
200901101053	2009-01-10 00:00:00	10052	174
200901101054	2009-01-10 00:00:00	10053	48
200901101055	2009-01-10 00:00:00	10054	84
200901101056	2009-01-10 00:00:00	10055	28
200901101057	2009-01-10 00:00:00	10056	154
200901101058	2009-01-10 00:00:00	10057	141
200901101059	2009-01-10 00:00:00	10058	120
200901101060	2009-01-10 00:00:00	10059	107
200901101061	2009-01-10 00:00:00	10060	135
200901101062	2009-01-10 00:00:00	10061	94
200901101063	2009-01-10 00:00:00	10062	104
200901101064	2009-01-10 00:00:00	10063	96
200901101065	2009-01-10 00:00:00	10064	184
200901101066	2009-01-10 00:00:00	10065	122
200901101067	2009-01-10 00:00:00	10066	109
200901101068	2009-01-10 00:00:00	10067	108
200901101069	2009-01-10 00:00:00	10068	92
200901101070	2009-01-10 00:00:00	10069	194
200901101071	2009-01-10 00:00:00	10070	206
200901101072	2009-01-10 00:00:00	10071	96
200901101073	2009-01-10 00:00:00	10072	133
200901101074	2009-01-10 00:00:00	10073	119
200901101075	2009-01-10 00:00:00	10074	200
200901101076	2009-01-10 00:00:00	10075	94
200901101077	2009-01-10 00:00:00	10076	32
200901101078	2009-01-10 00:00:00	10077	173
200901101079	2009-01-10 00:00:00	10078	197
200901101080	2009-01-10 00:00:00	10079	186
200901101081	2009-01-10 00:00:00	10080	185
200901101082	2009-01-10 00:00:00	10081	15
200901101083	2009-01-10 00:00:00	10082	158
200901101084	2009-01-10 00:00:00	10083	146
200901101085	2009-01-10 00:00:00	10084	64
200901101086	2009-01-10 00:00:00	10085	186
200901101087	2009-01-10 00:00:00	10086	11
200901101088	2009-01-10 00:00:00	10087	23
200901101089	2009-01-10 00:00:00	10088	141
200901101090	2009-01-10 00:00:00	10089	131
200901101091	2009-01-10 00:00:00	10090	32
200901101092	2009-01-10 00:00:00	10091	132
200901101093	2009-01-10 00:00:00	10092	35
200901101094	2009-01-10 00:00:00	10093	176
200901101095	2009-01-10 00:00:00	10094	128
200901101096	2009-01-10 00:00:00	10095	172
200901101097	2009-01-10 00:00:00	10096	28
200901101098	2009-01-10 00:00:00	10097	78
200901101099	2009-01-10 00:00:00	10098	34
200901101100	2009-01-10 00:00:00	10099	198
200901101101	2009-01-10 00:00:00	10100	150
200901101102	2009-01-10 00:00:00	10101	84
200901101103	2009-01-10 00:00:00	10102	206
200901101104	2009-01-10 00:00:00	10103	136
200901101105	2009-01-10 00:00:00	10104	124
200901101106	2009-01-10 00:00:00	10105	115
200901101107	2009-01-10 00:00:00	10106	90
200901101108	2009-01-10 00:00:00	10107	136
200901101109	2009-01-10 00:00:00	10108	186
200901101110	2009-01-10 00:00:00	10109	204
200901101111	2009-01-10 00:00:00	10110	198
200901101112	2009-01-10 00:00:00	10111	182
200901101113	2009-01-10 00:00:00	10112	136
200901101114	2009-01-10 00:00:00	10113	172
200901101115	2009-01-10 00:00:00	10114	54
200901101116	2009-01-10 00:00:00	10115	122
200901101117	2009-01-10 00:00:00	10116	179
200901101118	2009-01-10 00:00:00	10117	159
200901101119	2009-01-10 00:00:00	10118	64
200901101120	2009-01-10 00:00:00	10119	188
200901101121	2009-01-10 00:00:00	10120	110
200901101122	2009-01-10 00:00:00	10121	102
200901101123	2009-01-10 00:00:00	10122	16
200901101124	2009-01-10 00:00:00	10123	184
200901101125	2009-01-10 00:00:00	10124	60
200901101126	2009-01-10 00:00:00	10125	192
200901101127	2009-01-10 00:00:00	10126	54
200901101128	2009-01-10 00:00:00	10127	173
200901101129	2009-01-10 00:00:00	10128	88
200901101130	2009-01-10 00:00:00	10129	11
200901101131	2009-01-10 00:00:00	10130	202
200901101132	2009-01-10 00:00:00	10131	184
200901101133	2009-01-10 00:00:00	10132	11
200901101134	2009-01-10 00:00:00	10133	151
200901101135	2009-01-10 00:00:00	10134	164
200901101136	2009-01-10 00:00:00	10135	51
200901101137	2009-01-10 00:00:00	10136	15
200901101138	2009-01-10 00:00:00	10137	140
200901101139	2009-01-10 00:00:00	10138	208
200901101140	2009-01-10 00:00:00	10139	176
200901101141	2009-01-10 00:00:00	10140	148
200901101142	2009-01-10 00:00:00	10141	161
200901101143	2009-01-10 00:00:00	10142	44
200901101144	2009-01-10 00:00:00	10143	157
200901101145	2009-01-10 00:00:00	10144	206
200901101146	2009-01-10 00:00:00	10145	48
200901101147	2009-01-10 00:00:00	10146	163
200901101148	2009-01-10 00:00:00	10147	22
200901101149	2009-01-10 00:00:00	10148	164
200901101150	2009-01-10 00:00:00	10149	54
200901101151	2009-01-10 00:00:00	10150	70
200901101152	2009-01-10 00:00:00	10151	196
200901101153	2009-01-10 00:00:00	10152	150
200901101154	2009-01-10 00:00:00	10153	63
200901101155	2009-01-10 00:00:00	10154	51
200901101156	2009-01-10 00:00:00	10155	26
200901101157	2009-01-10 00:00:00	10156	66
200901101158	2009-01-10 00:00:00	10157	62
200901101159	2009-01-10 00:00:00	10158	146
200901101160	2009-01-10 00:00:00	10159	63
200902101200	2009-02-10 00:00:00	10199	156
200902101201	2009-02-10 00:00:00	10200	18
200903101001	2009-03-10 00:00:00	10000	154
200903101002	2009-03-10 00:00:00	10001	130
200903101003	2009-03-10 00:00:00	10002	169
200903101004	2009-03-10 00:00:00	10003	118
200903101005	2009-03-10 00:00:00	10004	85
200903101006	2009-03-10 00:00:00	10005	180
200903101007	2009-03-10 00:00:00	10006	42
200903101008	2009-03-10 00:00:00	10007	18
200903101009	2009-03-10 00:00:00	10008	198
200903101010	2009-03-10 00:00:00	10009	156
200903101011	2009-03-10 00:00:00	10010	133
200903101012	2009-03-10 00:00:00	10011	177
200903101013	2009-03-10 00:00:00	10012	201
200903101014	2009-03-10 00:00:00	10013	70
200903101015	2009-03-10 00:00:00	10014	138
200903101016	2009-03-10 00:00:00	10015	46
200903101017	2009-03-10 00:00:00	10016	72
200903101018	2009-03-10 00:00:00	10017	66
200903101019	2009-03-10 00:00:00	10018	204
200903101020	2009-03-10 00:00:00	10019	207
200903101021	2009-03-10 00:00:00	10020	90
200903101022	2009-03-10 00:00:00	10021	42
200903101023	2009-03-10 00:00:00	10022	196
200903101024	2009-03-10 00:00:00	10023	25
200903101025	2009-03-10 00:00:00	10024	83
200903101026	2009-03-10 00:00:00	10025	87
200903101027	2009-03-10 00:00:00	10026	76
200903101028	2009-03-10 00:00:00	10027	186
200903101029	2009-03-10 00:00:00	10028	166
200903101030	2009-03-10 00:00:00	10029	106
200903101031	2009-03-10 00:00:00	10030	10
200903101032	2009-03-10 00:00:00	10031	102
200903101033	2009-03-10 00:00:00	10032	72
200903101034	2009-03-10 00:00:00	10033	208
200903101035	2009-03-10 00:00:00	10034	103
200903101036	2009-03-10 00:00:00	10035	67
200903101037	2009-03-10 00:00:00	10036	191
200903101038	2009-03-10 00:00:00	10037	65
200903101039	2009-03-10 00:00:00	10038	188
200903101040	2009-03-10 00:00:00	10039	38
200903101041	2009-03-10 00:00:00	10040	92
200903101042	2009-03-10 00:00:00	10041	39
200903101043	2009-03-10 00:00:00	10042	21
200903101044	2009-03-10 00:00:00	10043	157
200903101045	2009-03-10 00:00:00	10044	186
200903101046	2009-03-10 00:00:00	10045	47
200903101047	2009-03-10 00:00:00	10046	25
200903101048	2009-03-10 00:00:00	10047	76
200903101049	2009-03-10 00:00:00	10048	118
200903101050	2009-03-10 00:00:00	10049	97
200903101051	2009-03-10 00:00:00	10050	146
200903101052	2009-03-10 00:00:00	10051	191
200903101053	2009-03-10 00:00:00	10052	189
200903101054	2009-03-10 00:00:00	10053	159
200903101055	2009-03-10 00:00:00	10054	176
200903101056	2009-03-10 00:00:00	10055	161
200903101057	2009-03-10 00:00:00	10056	160
200903101058	2009-03-10 00:00:00	10057	167
200903101059	2009-03-10 00:00:00	10058	54
200903101060	2009-03-10 00:00:00	10059	99
200903101061	2009-03-10 00:00:00	10060	107
200903101062	2009-03-10 00:00:00	10061	30
200903101063	2009-03-10 00:00:00	10062	50
200903101064	2009-03-10 00:00:00	10063	76
200903101065	2009-03-10 00:00:00	10064	144
200903101066	2009-03-10 00:00:00	10065	34
200903101067	2009-03-10 00:00:00	10066	185
200903101068	2009-03-10 00:00:00	10067	138
200903101069	2009-03-10 00:00:00	10068	198
200903101070	2009-03-10 00:00:00	10069	68
200903101071	2009-03-10 00:00:00	10070	102
200903101072	2009-03-10 00:00:00	10071	48
200903101073	2009-03-10 00:00:00	10072	27
200903101074	2009-03-10 00:00:00	10073	138
200903101075	2009-03-10 00:00:00	10074	80
200903101076	2009-03-10 00:00:00	10075	96
200903101077	2009-03-10 00:00:00	10076	130
200903101078	2009-03-10 00:00:00	10077	108
200903101079	2009-03-10 00:00:00	10078	58
200903101080	2009-03-10 00:00:00	10079	86
200903101081	2009-03-10 00:00:00	10080	15
200903101082	2009-03-10 00:00:00	10081	141
200903101083	2009-03-10 00:00:00	10082	13
200903101084	2009-03-10 00:00:00	10083	122
200903101085	2009-03-10 00:00:00	10084	55
200903101086	2009-03-10 00:00:00	10085	170
200903101087	2009-03-10 00:00:00	10086	146
200903101088	2009-03-10 00:00:00	10087	111
200903101089	2009-03-10 00:00:00	10088	41
200903101090	2009-03-10 00:00:00	10089	61
200903101091	2009-03-10 00:00:00	10090	204
200903101092	2009-03-10 00:00:00	10091	202
200903101093	2009-03-10 00:00:00	10092	136
200903101094	2009-03-10 00:00:00	10093	89
200903101095	2009-03-10 00:00:00	10094	68
200903101096	2009-03-10 00:00:00	10095	38
200903101097	2009-03-10 00:00:00	10096	93
200903101098	2009-03-10 00:00:00	10097	76
200903101099	2009-03-10 00:00:00	10098	90
200903101100	2009-03-10 00:00:00	10099	136
200903101101	2009-03-10 00:00:00	10100	77
200903101102	2009-03-10 00:00:00	10101	72
200903101103	2009-03-10 00:00:00	10102	84
200903101104	2009-03-10 00:00:00	10103	175
200903101105	2009-03-10 00:00:00	10104	20
200903101106	2009-03-10 00:00:00	10105	127
200903101107	2009-03-10 00:00:00	10106	134
200903101108	2009-03-10 00:00:00	10107	120
200903101109	2009-03-10 00:00:00	10108	190
200903101110	2009-03-10 00:00:00	10109	206
200903101111	2009-03-10 00:00:00	10110	41
200903101112	2009-03-10 00:00:00	10111	184
200903101113	2009-03-10 00:00:00	10112	123
200903101114	2009-03-10 00:00:00	10113	133
200903101115	2009-03-10 00:00:00	10114	148
200903101116	2009-03-10 00:00:00	10115	108
200903101117	2009-03-10 00:00:00	10116	44
200903101118	2009-03-10 00:00:00	10117	93
200903101119	2009-03-10 00:00:00	10118	33
200903101120	2009-03-10 00:00:00	10119	91
200903101121	2009-03-10 00:00:00	10120	72
200903101122	2009-03-10 00:00:00	10121	69
200903101123	2009-03-10 00:00:00	10122	112
200903101124	2009-03-10 00:00:00	10123	150
200903101125	2009-03-10 00:00:00	10124	134
200903101126	2009-03-10 00:00:00	10125	138
200903101127	2009-03-10 00:00:00	10126	206
200903101128	2009-03-10 00:00:00	10127	72
200903101129	2009-03-10 00:00:00	10128	119
200903101130	2009-03-10 00:00:00	10129	188
200903101131	2009-03-10 00:00:00	10130	167
200903101132	2009-03-10 00:00:00	10131	175
200903101133	2009-03-10 00:00:00	10132	119
200903101134	2009-03-10 00:00:00	10133	142
200903101135	2009-03-10 00:00:00	10134	102
200903101136	2009-03-10 00:00:00	10135	205
200903101137	2009-03-10 00:00:00	10136	83
200903101138	2009-03-10 00:00:00	10137	144
200903101139	2009-03-10 00:00:00	10138	62
200903101140	2009-03-10 00:00:00	10139	124
200903101141	2009-03-10 00:00:00	10140	160
200903101142	2009-03-10 00:00:00	10141	66
200903101143	2009-03-10 00:00:00	10142	154
200903101144	2009-03-10 00:00:00	10143	27
200903101145	2009-03-10 00:00:00	10144	164
200903101146	2009-03-10 00:00:00	10145	26
200903101147	2009-03-10 00:00:00	10146	26
200903101148	2009-03-10 00:00:00	10147	198
200903101149	2009-03-10 00:00:00	10148	207
200903101150	2009-03-10 00:00:00	10149	80
200903101151	2009-03-10 00:00:00	10150	36
200903101152	2009-03-10 00:00:00	10151	173
200903101153	2009-03-10 00:00:00	10152	156
200903101154	2009-03-10 00:00:00	10153	121
200903101155	2009-03-10 00:00:00	10154	64
200903101156	2009-03-10 00:00:00	10155	20
200903101157	2009-03-10 00:00:00	10156	74
200903101158	2009-03-10 00:00:00	10157	79
200903101159	2009-03-10 00:00:00	10158	164
200903101160	2009-03-10 00:00:00	10159	37
200903101161	2009-03-10 00:00:00	10160	25
200903101162	2009-03-10 00:00:00	10161	133
200903101163	2009-03-10 00:00:00	10162	125
200903101164	2009-03-10 00:00:00	10163	196
200903101165	2009-03-10 00:00:00	10164	42
200903101166	2009-03-10 00:00:00	10165	84
200903101167	2009-03-10 00:00:00	10166	161
200903101168	2009-03-10 00:00:00	10167	39
200903101169	2009-03-10 00:00:00	10168	116
200903101170	2009-03-10 00:00:00	10169	191
200903101171	2009-03-10 00:00:00	10170	54
200903101172	2009-03-10 00:00:00	10171	149
200903101173	2009-03-10 00:00:00	10172	139
200903101174	2009-03-10 00:00:00	10173	207
200903101175	2009-03-10 00:00:00	10174	85
200903101176	2009-03-10 00:00:00	10175	137
200903101177	2009-03-10 00:00:00	10176	68
200903101178	2009-03-10 00:00:00	10177	44
200903101179	2009-03-10 00:00:00	10178	78
200903101180	2009-03-10 00:00:00	10179	20
200903101181	2009-03-10 00:00:00	10180	118
200903101182	2009-03-10 00:00:00	10181	92
200903101183	2009-03-10 00:00:00	10182	123
200903101184	2009-03-10 00:00:00	10183	59
200903101185	2009-03-10 00:00:00	10184	174
200903101186	2009-03-10 00:00:00	10185	95
200903101187	2009-03-10 00:00:00	10186	33
200903101188	2009-03-10 00:00:00	10187	26
200903101189	2009-03-10 00:00:00	10188	10
200903101190	2009-03-10 00:00:00	10189	13
200903101191	2009-03-10 00:00:00	10190	62
200903101192	2009-03-10 00:00:00	10191	205
200903101193	2009-03-10 00:00:00	10192	194
200903101194	2009-03-10 00:00:00	10193	169
200903101195	2009-03-10 00:00:00	10194	180
200903101196	2009-03-10 00:00:00	10195	141
200903101197	2009-03-10 00:00:00	10196	148
200903101198	2009-03-10 00:00:00	10197	49
200903101199	2009-03-10 00:00:00	10198	128
200903101200	2009-03-10 00:00:00	10199	186
200903101201	2009-03-10 00:00:00	10200	46
200904101001	2009-04-10 00:00:00	10000	164
200904101002	2009-04-10 00:00:00	10001	118
200904101003	2009-04-10 00:00:00	10002	15
200904101004	2009-04-10 00:00:00	10003	50
